Scope,File,Column_Order,Column_Name,Required,Ownership,Notes
army,Unit_Profiles.csv,1,Unit_ID,YES,AUTHORITATIVE,Stable unique unit key; authoritative parent for unit relationships.
army,Unit_Profiles.csv,2,Unit Name,YES,AUTHORITATIVE,Visible unit name.
army,Unit_Profiles.csv,3,"M""",NO,AUTHORITATIVE,Unit movement value in the current HTML-compatible display format.
army,Unit_Profiles.csv,4,T,NO,AUTHORITATIVE,Unit Toughness characteristic.
army,Unit_Profiles.csv,5,SV,NO,AUTHORITATIVE,Unit save/invulnerable display value in the current HTML-compatible format.
army,Unit_Profiles.csv,6,W,NO,AUTHORITATIVE,Unit Wounds characteristic.
army,Unit_Profiles.csv,7,LD,NO,AUTHORITATIVE,Unit Leadership characteristic.
army,Unit_Profiles.csv,8,OC,NO,AUTHORITATIVE,Unit Objective Control characteristic.
army,Unit_Profiles.csv,9,Keywords,NO,AUTHORITATIVE,Current HTML-compatible comma-separated unit keywords.
army,Unit_Profiles.csv,10,Hyperlink,NO,AUTHORITATIVE,Source/reference hyperlink for the unit.
army,Unit_Abilities.csv,1,Unit_ID,YES,AUTHORITATIVE,Foreign key to Unit_Profiles.csv.
army,Unit_Abilities.csv,2,Ability_ID,YES,AUTHORITATIVE,Foreign key to army or Universal Abilities.
army,Unit_Abilities.csv,3,Ability_Type,YES,AUTHORITATIVE,ABILITY or CORE_ABILITY; preserves the source relationship class.
army,Unit_Weapons.csv,1,Unit_ID,YES,AUTHORITATIVE,Foreign key to Unit_Profiles.csv.
army,Unit_Weapons.csv,2,Weapon_ID,YES,AUTHORITATIVE,Foreign key to Weapon_Stats.csv.
army,Unit_Points.csv,1,Unit_ID,YES,AUTHORITATIVE,Foreign key to Unit_Profiles.csv.
army,Unit_Points.csv,2,Point_Option_ID,YES,AUTHORITATIVE,Stable point-slot key; currently point_1 through point_8.
army,Unit_Points.csv,3,Label,NO,AUTHORITATIVE,Exact legacy point label; blank is valid for single-cost units.
army,Unit_Points.csv,4,Cost,NO,AUTHORITATIVE,Exact legacy point cost; blank is valid when a label is loadout-driven.
