Ability_ID,Ability Name,Short_Description,Tiny_Description,Long_Description,Tags,Visibility_ID,Default_Active
ACROBATIC_ESCAPE,Acrobatic Escape,"If engaged, Fall Back D6"" at end of Fight. Can go to Reserves, then Ingress. [INGRESS]",Fall Back D6”; then Reserves,"At the end of the Fight phase, if this unit is engaged, this unit can make a Fall Back move of up to D6"". At the end of your opponent’s turn, if this unit is more than 3"" from all enemy units, you can use this ability. If you do: place this unit in Strategic Reserves. This unit must make an Ingress move in your next Movement phase (including in your first turn).",[INGRESS],2,
AQUILON_OPTICS,Aquilon Optics,"Ranged vs MONSTER/VEHICLE — re-roll Hit, Wound and Damage rolls.",Vs M/V: reroll Hit/W/Dmg,"Each time this unit makes a ranged attack that targets a MONSTER or VEHICLE unit, you can re-roll the Hit roll, you can re-roll the Wound roll and you can re-roll the Damage roll.",SHOOT,2,
ASSAULT_RAMP,Assault Ramp,"MOVEMENT — after UNIT ends normal move, embarked units can make assault disembark move.",Move: assault disembark,"In your Movement phase, when this unit ends a normal move, units embarked within this unit can make an assault disembark move.",,2,
RAPID_DISEMBARKATION,Rapid Disembarkation,"MOVEMENT — after UNIT Advances, embarked units can make a shock disembark move.",Advance - shock disembark,"In your Movement phase, when this unit ends an advance move, units embarked within this unit can make a shock disembark move.",,2,
ASTARTES_BANNER,Astartes Banner,+1 OC [+1 OC],+1 OC while leading,"While this model is leading a unit, add 1 to the Objective Control characteristic of models in that unit.",[STATS] [+1 OC],2,
ASTARTES_BANNER_ANCIENT,Astartes Banner (Ancient),+1 OC [+1 OC],+1 OC with Ancient,"Astartes Banner (Ravenwing Command - Ancient): While this unit contains a Ravenwing Ancient, add 1 to the Objective Control characteristic of models in this unit.",[STATS] [+1 OC],2,
ASTARTES_BANNER_CH,Astartes Banner (CH),+1 OC [+1 OC],+1 OC with Ancient,"While this unit contains an Ancient, add 1 to the Objective Control characteristic of models in this unit.",[STATS] [+1 OC],2,
ASTARTES_SHIELD,Astartes Shield,Invul Save: 4++ [INVULNERABLE SAVE 4+],Invulnerable save 4+,The bearer has a 4+ invulnerable save.,"SHOOT, MELEE, [INVULNERABLE SAVE 4+]",2,
BALLISTUS_STRIKE,Ballistus Strike,"RANGE vs enemy within 24"" — [SUSTAINED HITS 1].",24”: Sustained Hits 1,"This unit’s ranged attacks that target an enemy unit within 24"" of this unit have [SUSTAINED HITS 1].",[SHOOT] [WEAPONS] [ACTIVE] [SUSTAINED HITS 1],2,
BLACKWING_MANTLE,Blackwing Mantle,"1/PHASE/ARMY: HEROIC INTERVENTION on this unit
-1 CP; does not consume phase use",Heroic Intervention CP -1,"(Once per phase, per army) You can target this unit with the Heroic Intervention stratagem, regardless of any other uses of that stratagem this phase. If you do:
• That use is -1 CP.
• That use does not prevent any uses of that stratagem on other units this phase.",,2,1
