Detachment_ID,Army_Name,Detachment_Name,Rule_ID,Rule_Name,DP_Cost,Detachment_Disposition,Detachment_Disposition_2,Short_Description,Long_Description,Tags,Tag Categories,Default_Active,Required_Keywords,Any_Keywords,Excluded_Keywords
space_marines_gladius_task_force,Marines,GLADIUS TASK FORCE,space_marines_gladius_task_force_detachment_rule_codex_discipline,CODEX DISCIPLINE,3,,,Use combat doctrine one additional time.,You can select one combat doctrine one additional time per battle.,,,0,,,
space_marines_assault_brethren,Marines,ASSAULT BRETHREN,space_marines_assault_brethren_detachment_rule_assault_mastery,ASSAULT MASTERY,1,,,Use ASSAULT DOCTRINE an extra time,You can select the assault doctrine one additional time per battle.,,,0,,,
space_marines_tactical_brethren,Marines,TACTICAL BRETHREN,space_marines_tactical_brethren_detachment_rule_tactical_mastery,TACTICAL MASTERY,1,,,Use TACTICAL DOCTRINE an extra time,You can select the tactical doctrine one additional time per battle.,,,0,,,
space_marines_devastator_brethren,Marines,DEVASTATOR BRETHREN,space_marines_devastator_brethren_detachment_rule_devastator_mastery,DEVASTATOR MASTERY,1,,,Use DEVASTATOR DOCTRINE an extra time,You can select the devastator doctrine one additional time per battle.,,,0,,,
space_marines_terminator_stormforce,Marines,TERMINATOR STORMFORCE,space_marines_terminator_stormforce_detachment_rule_death_blow,DEATH BLOW,1,,,TERMINATOR: +1 CHARGE [+1 CHARGE],Friendly ADEPTUS ASTARTES TERMINATOR units have +1 to charge rolls.,[+1 CHARGE],[Movement Rules],0,ADEPTUS ASTARTES,"TERMINATOR, TERMINATORS",
space_marines_tacticus_attack_force,Marines,TACTICUS ATTACK FORCE,space_marines_tacticus_attack_force_detachment_rule_wrath_of_the_chapter,WRATH OF THE CHAPTER,1,,,TACTICUS: Re-roll ADVANCE,Friendly TACTICUS units can re-roll advance rolls.,,,0,,,
space_marines_tacticus_firestorm_force,Marines,TACTICUS FIRESTORM FORCE,space_marines_tacticus_firestorm_force_detachment_rule_codex_fire_patterns,CODEX FIRE-PATTERNS,1,,,TACTICUS: RAPID FIRE active at max range,Friendly TACTICUS units’ [RAPID FIRE] attacks benefit from [RAPID FIRE] when targeting units up to that attack’s maximum range.,,,0,,,
space_marines_phobos_shadow_force,Marines,PHOBOS SHADOW FORCE,space_marines_phobos_shadow_force_detachment_rule_shadow_masters,SHADOW MASTERS,1,,,"PHOBOS / SCOUT after SHOOTING:
Stay HIDDEN or Move D6""
If Move: Cannot CHARGE","When a friendly PHOBOS or SCOUT SQUAD unit has shot:
• Those attacks do not prevent that unit from being hidden.
• Or: That unit can make a normal move up to D6"". That unit is not eligible to declare a charge until the end of the turn.",,,0,,,
space_marines_phobos_shock_force,Marines,PHOBOS SHOCK FORCE,space_marines_phobos_shock_force_detachment_rule_vanguard_ambushers,VANGUARD AMBUSHERS,1,,,"End MOVEMENT: HIDDEN PHOBOS
Attacks: Re-roll WOUND 1s","At the end of your Movement phase, if a friendly PHOBOS unit is hidden, that unit’s attacks can re-roll wound rolls of 1 until the end of the turn.",,,0,,,
space_marines_gravis_linebreaker_force,Marines,GRAVIS LINEBREAKER FORCE,space_marines_gravis_linebreaker_force_detachment_rule_walking_fortress,WALKING FORTRESS,1,,,After NORMAL MOVE: RANGED lose HEAVY & +1 Hit,"In a turn a friendly GRAVIS unit made a normal move, that unit’s ranged attacks:
• Do not have [HEAVY].
• Have +1 to hit rolls.",,,0,,,
space_marines_gravis_siege_force,Marines,GRAVIS SIEGE FORCE,space_marines_gravis_siege_force_detachment_rule_indomitable_defence,INDOMITABLE DEFENCE,1,,,"GRAVIS on OBJECTIVE
vs S > T: -1 to Wound","While a friendly GRAVIS unit is within range of an objective, attacks that target that unit with a S greater than that unit’s T have -1 to wound rolls.",,,0,,,
space_marines_stormlance_task_force,Marines,STORMLANCE TASK FORCE,space_marines_stormlance_task_force_detachment_rule_lightning_fast_strike,LIGHTNING-FAST STRIKE,1,,,"MOUNTED / SPEEDER: +2"" M","Friendly ADEPTUS ASTARTES MOUNTED/SPEEDER units have +2"" M.",,,0,,,
