Loadout_Option_ID,Required_Group_ID,Compatible_Option_ID,Rule_Order,Option_Order
INTERCESSORS__SERGEANT_MELEE__KNIVES_AND_FISTS,SERGEANT_RIFLE,BOLT_RIFLE,1,1
INTERCESSORS__SERGEANT_MELEE__KNIVES_AND_FISTS,SERGEANT_RIFLE,CHAINSWORD,1,2
INTERCESSORS__SERGEANT_MELEE__KNIVES_AND_FISTS,SERGEANT_RIFLE,HAND_FLAMER,1,3
INTERCESSORS__SERGEANT_MELEE__KNIVES_AND_FISTS,SERGEANT_RIFLE,PLASMA_PISTOL,1,4
INTERCESSORS__SERGEANT_MELEE__KNIVES_AND_FISTS,SERGEANT_RIFLE,POWER_WEAPON,1,5
INTERCESSORS__SERGEANT_MELEE__CHAINSWORD,SERGEANT_RIFLE,BOLT_RIFLE,1,1
INTERCESSORS__SERGEANT_MELEE__CHAINSWORD,SERGEANT_RIFLE,CHAINSWORD,1,2
INTERCESSORS__SERGEANT_MELEE__CHAINSWORD,SERGEANT_RIFLE,HAND_FLAMER,1,3
INTERCESSORS__SERGEANT_MELEE__CHAINSWORD,SERGEANT_RIFLE,PLASMA_PISTOL,1,4
INTERCESSORS__SERGEANT_MELEE__CHAINSWORD,SERGEANT_RIFLE,POWER_WEAPON,1,5
INTERCESSORS__SERGEANT_MELEE__POWER_FIST,SERGEANT_RIFLE,BOLT_RIFLE,1,1
INTERCESSORS__SERGEANT_MELEE__POWER_FIST,SERGEANT_RIFLE,CHAINSWORD,1,2
INTERCESSORS__SERGEANT_MELEE__POWER_FIST,SERGEANT_RIFLE,HAND_FLAMER,1,3
INTERCESSORS__SERGEANT_MELEE__POWER_FIST,SERGEANT_RIFLE,PLASMA_PISTOL,1,4
INTERCESSORS__SERGEANT_MELEE__POWER_FIST,SERGEANT_RIFLE,POWER_WEAPON,1,5
INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,SERGEANT_RIFLE,BOLT_RIFLE,1,1
INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,SERGEANT_RIFLE,CHAINSWORD,1,2
INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,SERGEANT_RIFLE,HAND_FLAMER,1,3
INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,SERGEANT_RIFLE,PLASMA_PISTOL,1,4
INTERCESSORS__SERGEANT_MELEE__POWER_WEAPON,SERGEANT_RIFLE,POWER_WEAPON,1,5
INTERCESSORS__SERGEANT_MELEE__THUNDER_HAMMER,SERGEANT_RIFLE,BOLT_RIFLE,1,1
INTERCESSORS__SERGEANT_MELEE__THUNDER_HAMMER,SERGEANT_RIFLE,CHAINSWORD,1,2
INTERCESSORS__SERGEANT_MELEE__THUNDER_HAMMER,SERGEANT_RIFLE,HAND_FLAMER,1,3
INTERCESSORS__SERGEANT_MELEE__THUNDER_HAMMER,SERGEANT_RIFLE,PLASMA_PISTOL,1,4
INTERCESSORS__SERGEANT_MELEE__THUNDER_HAMMER,SERGEANT_RIFLE,POWER_WEAPON,1,5
VICTRIX_HONOUR_GUARD__CHAPTER_ANCIENT__NONE,CHAPTER_CHAMPION,NONE,1,1
VICTRIX_HONOUR_GUARD__CHAPTER_ANCIENT__NONE,CHAPTER_CHAMPION,CHAMPION,1,2
VICTRIX_HONOUR_GUARD__CHAPTER_ANCIENT__ANCIENT,CHAPTER_CHAMPION,NONE,1,1
VICTRIX_HONOUR_GUARD__CHAPTER_ANCIENT__ANCIENT,CHAPTER_CHAMPION,CHAMPION,1,2
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_DEFAULT,CAPTAIN_MELEE,CAPTAIN_MELEE_POWER_WEAPON,1,1
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_DEFAULT,CAPTAIN_MELEE,CAPTAIN_MELEE_POWER_FIST,1,2
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_VOLKITE,CAPTAIN_MELEE,CAPTAIN_MELEE_POWER_WEAPON,1,1
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_VOLKITE,CAPTAIN_MELEE,CAPTAIN_MELEE_POWER_FIST,1,2
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_PLASMA,CAPTAIN_MELEE,CAPTAIN_MELEE_POWER_WEAPON,1,1
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_PLASMA,CAPTAIN_MELEE,CAPTAIN_MELEE_POWER_FIST,1,2
CAPTAIN_FIST_PLASMA__CAPTAIN_RANGED__CAPTAIN_RANGED_SHIELD,CAPTAIN_MELEE,CAPTAIN_MELEE_POWER_WEAPON,1,1
