Loadout_Option_ID,Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Default,Sort_Order,Allocation_Mode,Allocation_Count,Max_Per_Unit,Points_Per_Model,Display_Section,Display_Order
DEATHWING_KNIGHTS__KNIGHT_MASTER_MELEE__DEATHWING_GREAT_WEAPON,DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,Knight Master Weapon,DEATHWING_GREAT_WEAPON,Great Weapon of the Unforgiven,TRUE,1,,,,,,
DEATHWING_KNIGHTS__KNIGHT_MASTER_MELEE__DEATHWING_RELIC_WEAPON,DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,Knight Master Weapon,DEATHWING_RELIC_WEAPON,Relic Weapon,FALSE,2,,,,,,
DEATHWING_KNIGHTS__KNIGHTS_MELEE__DEATHWING_MACE_OF_ABSOLUTION,DEATHWING_KNIGHTS,KNIGHTS_MELEE,Deathwing Knights Weapon,DEATHWING_MACE_OF_ABSOLUTION,Mace of Absolution,TRUE,1,,,,,,
DEATHWING_KNIGHTS__KNIGHTS_MELEE__DEATHWING_POWER_WEAPON,DEATHWING_KNIGHTS,KNIGHTS_MELEE,Deathwing Knights Weapon,DEATHWING_POWER_WEAPON,Power Weapon,FALSE,2,,,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_CYCLONE,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_CYCLONE,Cyclone Missile Launcher,TRUE,1,,,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_ASSAULT_CANNON,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_ASSAULT_CANNON,Assault Cannon,FALSE,2,,,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_HEAVY_FLAMER,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_HEAVY_FLAMER,Heavy Flamer,FALSE,3,,,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_PLASMA_CANNON,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_PLASMA_CANNON,Plasma Cannon,FALSE,4,,,,,,
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_NONE,DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,Heavy Weapon,DWT_NONE,None,FALSE,5,,,,,,
DEATHWING_TERMINATORS__MELEE_DWT__DWT_POWER_FIST,DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_POWER_FIST,Power Fist,TRUE,1,,,,,,
DEATHWING_TERMINATORS__MELEE_DWT__DWT_CHAINFIST,DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_CHAINFIST,Chainfist,FALSE,2,,,,,,
DEATHWING_TERMINATORS__MELEE_DWT__DWT_MIXED_FISTS,DEATHWING_TERMINATORS,MELEE_DWT,Terminator Melee,DWT_MIXED_FISTS,Power Fist + Chainfist,FALSE,3,,,,,,
INVADER_ATV__MAIN_GUN_INVADER_ATV__INVADER_ATV_GATLING,INVADER_ATV,MAIN_GUN_INVADER_ATV,Main Gun,INVADER_ATV_GATLING,Onslaught Gatling Cannon,TRUE,1,,,,,,
INVADER_ATV__MAIN_GUN_INVADER_ATV__INVADER_ATV_MULTI_MELTA,INVADER_ATV,MAIN_GUN_INVADER_ATV,Main Gun,INVADER_ATV_MULTI_MELTA,Multi-melta,FALSE,2,,,,,,
INVICTOR_TACTICAL_WARSUIT__MAIN_GUN_INVICTOR__INVICTOR_INCENDIUM_CANNON,INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,Main Gun,INVICTOR_INCENDIUM_CANNON,Incendium Cannon,TRUE,1,,,,,,
INVICTOR_TACTICAL_WARSUIT__MAIN_GUN_INVICTOR__INVICTOR_TWIN_IRONHAIL_AUTOCANNON,INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,Main Gun,INVICTOR_TWIN_IRONHAIL_AUTOCANNON,Twin Ironhail Autocannon,FALSE,2,,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_HBP,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_HBP,Heavy Bolt Pistol,TRUE,1,,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_PLASMA,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_PLASMA,Plasma Pistol,FALSE,2,,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_FLAMER,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,Ranged Weapon,CAPTAIN_JUMP_FLAMER,Hand Flamer,FALSE,3,,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_MELEE__CAPTAIN_JUMP_CHAIN,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_CHAIN,Astartes Chainsword,TRUE,1,,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_MELEE__CAPTAIN_JUMP_FIST,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_FIST,Power Fist,FALSE,2,,,,,,
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_MELEE__CAPTAIN_JUMP_RELIC,CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_MELEE,Melee Weapon,CAPTAIN_JUMP_RELIC,Relic Weapon,FALSE,3,,,,,,
CAPTAIN_IN_GRAVIS_ARMOUR__GRAVIS_CAPTAIN_LOADOUT__GRAVIS_CAPTAIN_DEFAULT,CAPTAIN_IN_GRAVIS_ARMOUR,GRAVIS_CAPTAIN_LOADOUT,Loadout,GRAVIS_CAPTAIN_DEFAULT,Master-crafted Heavy Bolt Rifle + Master-crafted Power Weapon,TRUE,1,UNIT,,,,,
CAPTAIN_IN_GRAVIS_ARMOUR__GRAVIS_CAPTAIN_LOADOUT__GRAVIS_CAPTAIN_CHAIN,CAPTAIN_IN_GRAVIS_ARMOUR,GRAVIS_CAPTAIN_LOADOUT,Loadout,GRAVIS_CAPTAIN_CHAIN,Boltstorm Gauntlet + Relic Chainsword,FALSE,2,UNIT,,,,,
CAPTAIN_IN_GRAVIS_ARMOUR__GRAVIS_CAPTAIN_LOADOUT__GRAVIS_CAPTAIN_BLADE,CAPTAIN_IN_GRAVIS_ARMOUR,GRAVIS_CAPTAIN_LOADOUT,Loadout,GRAVIS_CAPTAIN_BLADE,Boltstorm Gauntlet + Relic Blade,FALSE,3,UNIT,,,,,
CAPTAIN_IN_GRAVIS_ARMOUR__GRAVIS_CAPTAIN_LOADOUT__GRAVIS_CAPTAIN_FIST,CAPTAIN_IN_GRAVIS_ARMOUR,GRAVIS_CAPTAIN_LOADOUT,Loadout,GRAVIS_CAPTAIN_FIST,Boltstorm Gauntlet + Relic Power Fist,FALSE,4,UNIT,,,,,
CAPTAIN_IN_TERMINATOR_ARMOUR__CAPTAIN_TERM_RANGED__CAPTAIN_TERM_STORM,CAPTAIN_IN_TERMINATOR_ARMOUR,CAPTAIN_TERM_RANGED,Ranged Weapon,CAPTAIN_TERM_STORM,Storm Bolter,TRUE,1,UNIT,,,,,
CAPTAIN_IN_TERMINATOR_ARMOUR__CAPTAIN_TERM_RANGED__CAPTAIN_TERM_COMBI,CAPTAIN_IN_TERMINATOR_ARMOUR,CAPTAIN_TERM_RANGED,Ranged Weapon,CAPTAIN_TERM_COMBI,Combi-weapon,FALSE,2,UNIT,,,,,
CAPTAIN_IN_TERMINATOR_ARMOUR__CAPTAIN_TERM_MELEE__CAPTAIN_TERM_RELIC,CAPTAIN_IN_TERMINATOR_ARMOUR,CAPTAIN_TERM_MELEE,Melee Weapon,CAPTAIN_TERM_RELIC,Relic Weapon,TRUE,1,UNIT,,,,,
CAPTAIN_IN_TERMINATOR_ARMOUR__CAPTAIN_TERM_MELEE__CAPTAIN_TERM_FIST,CAPTAIN_IN_TERMINATOR_ARMOUR,CAPTAIN_TERM_MELEE,Melee Weapon,CAPTAIN_TERM_FIST,Relic Fist,FALSE,2,UNIT,,,,,
CHAPLAIN_WITH_JUMP_PACK__CHAPLAIN_JUMP_REPLACEMENT__CHAPLAIN_JUMP_BOLTGUN_OPT,CHAPLAIN_WITH_JUMP_PACK,CHAPLAIN_JUMP_REPLACEMENT,Bolt Pistol Replacement,CHAPLAIN_JUMP_BOLTGUN_OPT,Boltgun,FALSE,2,,,,,,
CHAPLAIN_WITH_JUMP_PACK__CHAPLAIN_JUMP_REPLACEMENT__CHAPLAIN_JUMP_COMBI,CHAPLAIN_WITH_JUMP_PACK,CHAPLAIN_JUMP_REPLACEMENT,Bolt Pistol Replacement,CHAPLAIN_JUMP_COMBI,Combi-weapon,FALSE,3,,,,,,
CHAPLAIN_WITH_JUMP_PACK__CHAPLAIN_JUMP_REPLACEMENT__CHAPLAIN_JUMP_GRAV,CHAPLAIN_WITH_JUMP_PACK,CHAPLAIN_JUMP_REPLACEMENT,Bolt Pistol Replacement,CHAPLAIN_JUMP_GRAV,Grav-pistol,FALSE,4,,,,,,
CHAPLAIN_WITH_JUMP_PACK__CHAPLAIN_JUMP_REPLACEMENT__CHAPLAIN_JUMP_FLAMER,CHAPLAIN_WITH_JUMP_PACK,CHAPLAIN_JUMP_REPLACEMENT,Bolt Pistol Replacement,CHAPLAIN_JUMP_FLAMER,Hand flamer,FALSE,5,,,,,,
CHAPLAIN_WITH_JUMP_PACK__CHAPLAIN_JUMP_REPLACEMENT__CHAPLAIN_JUMP_INFERNO,CHAPLAIN_WITH_JUMP_PACK,CHAPLAIN_JUMP_REPLACEMENT,Bolt Pistol Replacement,CHAPLAIN_JUMP_INFERNO,Inferno pistol,FALSE,6,,,,,,
CHAPLAIN_WITH_JUMP_PACK__CHAPLAIN_JUMP_REPLACEMENT__CHAPLAIN_JUMP_STORM,CHAPLAIN_WITH_JUMP_PACK,CHAPLAIN_JUMP_REPLACEMENT,Bolt Pistol Replacement,CHAPLAIN_JUMP_STORM,Storm bolter,FALSE,8,,,,,,
