Loadout_Option_ID,Weapon_ID,Weapon_Role,Sort_Order
DEATHWING_KNIGHTS__KNIGHT_MASTER_MELEE__DEATHWING_GREAT_WEAPON,GREAT_WEAPON_OF_THE_UNFORGIVEN,SELECTED,1
DEATHWING_KNIGHTS__KNIGHT_MASTER_MELEE__DEATHWING_RELIC_WEAPON,RELIC_WEAPON_KNIGHTS,SELECTED,1
DEATHWING_KNIGHTS__KNIGHTS_MELEE__DEATHWING_MACE_OF_ABSOLUTION,MACE_OF_ABSOLUTION,SELECTED,1
DEATHWING_KNIGHTS__KNIGHTS_MELEE__DEATHWING_POWER_WEAPON,POWER_WEAPON_KNIGHTS,SELECTED,1
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_CYCLONE,CYCLONE_MISSLINE_FRAG,SELECTED,1
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_CYCLONE,CYCLONE_MISSLINE_KRAK,SELECTED,2
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_ASSAULT_CANNON,ASSAULT_CANNON_DEATHWING_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_HEAVY_FLAMER,HEAVY_FLAMER_DEATHWING_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_PLASMA_CANNON,PLASMA_CANNON_STANDARD_DEATHWING_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS__HEAVY_WEAPON_DWT__DWT_PLASMA_CANNON,PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS,SELECTED,2
DEATHWING_TERMINATORS__MELEE_DWT__DWT_POWER_FIST,POWER_FIST_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS__MELEE_DWT__DWT_CHAINFIST,CHAINFIST,SELECTED,1
DEATHWING_TERMINATORS__MELEE_DWT__DWT_MIXED_FISTS,POWER_FIST_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS__MELEE_DWT__DWT_MIXED_FISTS,CHAINFIST,SELECTED,2
INVADER_ATV__MAIN_GUN_INVADER_ATV__INVADER_ATV_GATLING,ONSLAUGHT_GATLING_CANNON,SELECTED,1
INVADER_ATV__MAIN_GUN_INVADER_ATV__INVADER_ATV_MULTI_MELTA,MULTI_MELTA_ATV,SELECTED,1
INVICTOR_TACTICAL_WARSUIT__MAIN_GUN_INVICTOR__INVICTOR_INCENDIUM_CANNON,INCENDIUM_CANNON,SELECTED,1
INVICTOR_TACTICAL_WARSUIT__MAIN_GUN_INVICTOR__INVICTOR_TWIN_IRONHAIL_AUTOCANNON,TWIN_IRONHAIL_AUTOCANNON,SELECTED,1
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_HBP,HEAVY_BOLT_PISTOL_CAPTAIN,SELECTED,1
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_PLASMA,PLASMA_PISTOL_STANDARD_LEADER,SELECTED,1
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_PLASMA,PLASMA_PISTOL_SUPERCHARGE_LEADER,SELECTED,2
CAPTAIN_WITH_JUMP_PACK__CAPTAIN_JUMP_RANGED__CAPTAIN_JUMP_FLAMER,CAPTAIN_JUMP_HAND_FLAMER,SELECTED,1
