Unit_ID,Ability_ID,Ability_Type
ADRAX_AGATONE,UNTO_THE_ANVIL,ABILITY
ADRAX_AGATONE,LORD_OF_THE_PYROCLASTS,ABILITY
AETHON_SHAAN,MASTER_OF_SHADOWS,ABILITY
AETHON_SHAAN,BLACKWING_MANTLE,ABILITY
AETHON_SHAAN,UNPARALLELED_TACTICIAN,ABILITY
AETHON_SHAAN,CHAPTER_MASTER_OF_THE_RAVEN_GUARD,ABILITY
AETHON_SHAAN,DEEP_STRIKE,CORE_ABILITY
AETHON_SHAAN,LONE_OPERATIVE,CORE_ABILITY
AETHON_SHAAN,STEALTH,CORE_ABILITY
AGGRESSORS,CLOSE_QUARTERS_FIREPOWER,ABILITY
NEW_ANCIENT,NEW_RELIC_BANNER,ABILITY
NEW_ANCIENT,NEW_UNBREAKABLE_RESOLVE,ABILITY
NEW_ANCIENT,SUPPORT_ANCIENT,ABILITY
ANCIENT_IN_TERMINATOR_ARMOUR_HAMMER,ASTARTES_BANNER,ABILITY
ANCIENT_IN_TERMINATOR_ARMOUR_HAMMER,KEEP_THE_BANNER_HIGH,ABILITY
ANCIENT_IN_TERMINATOR_ARMOUR_HAMMER,SUPPORT_ANCIENT_IN_TERMINATOR_ARMOUR,ABILITY
ANCIENT_IN_TERMINATOR_ARMOUR_HAMMER,DEEP_STRIKE,CORE_ABILITY
ASSAULT_INTERCESSORS,SHOCK_ASSAULT,ABILITY
ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,HAMMER_OF_WRATH,ABILITY
ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,ASSAULT_INTERCESSORS_WITH_JUMP_PACKS_WARGEAR,ABILITY
ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,DEEP_STRIKE,CORE_ABILITY
AZRAEL,SUPREME_GRAND_MASTER,ABILITY
AZRAEL,THE_LION_HELM,ABILITY
AZRAEL,LEADER_AZRAEL,ABILITY
AZRAEL,MASTERFUL_TACTICIAN,ABILITY
BALLISTUS,BALLISTUS_STRIKE,ABILITY
BALLISTUS,DAMAGED_1_4,CORE_ABILITY
BALLISTUS,DEADLY_DEMISE_D3,CORE_ABILITY
BELIAL,GRAND_MASTER_OF_THE_DEATHWING,ABILITY
BELIAL,STRIKES_OF_RETRIBUTION,ABILITY
BELIAL,LEADER_BELIAL,ABILITY
BELIAL,DEEP_STRIKE,CORE_ABILITY
BLADEGUARD_VETS,BLADEGUARD,ABILITY
BRUTALIS,BRUTALIS_CHARGE,ABILITY
BRUTALIS,DEADLY_DEMISE_D3,CORE_ABILITY
CAANOK_VAR,COLD_AND_CALCULATING,ABILITY
CAANOK_VAR,CEREBREX_LOGIC_ENGINE,ABILITY
CAANOK_VAR,CAANOK_HAMMER,ABILITY
CAANOK_VAR,FEEL_NO_PAIN_5,CORE_ABILITY
CAANOK_VAR,DEEP_STRIKE,CORE_ABILITY
CALLIDUS_ASSASSIN,ACROBATIC_ESCAPE,ABILITY
CALLIDUS_ASSASSIN,REIGN_OF_CONFUSION,ABILITY
CALLIDUS_ASSASSIN,LONE_OPERATIVE,CORE_ABILITY
CALLIDUS_ASSASSIN,FIGHTS_FIRST,CORE_ABILITY
CALLIDUS_ASSASSIN,DEEP_STRIKE,CORE_ABILITY
CALLIDUS_ASSASSIN,INFILTRATORS,CORE_ABILITY
CAPTAIN_FIST_PLASMA,RITES_OF_BATTLE,ABILITY
CAPTAIN_FIST_PLASMA,FINEST_HOUR,ABILITY
CAPTAIN_FIST_PLASMA,LEADER_CAPTAIN,ABILITY
CAPTAIN_SWORD_SHIELD,RITES_OF_BATTLE,ABILITY
CAPTAIN_SWORD_SHIELD,FINEST_HOUR,ABILITY
CAPTAIN_SWORD_SHIELD,RELIC_SHIELD,ABILITY
CAPTAIN_SWORD_SHIELD,LEADER_CAPTAIN,ABILITY
CAPTAIN_IN_GRAVIS_ARMOUR,RITES_OF_BATTLE,ABILITY
CAPTAIN_IN_GRAVIS_ARMOUR,REFUSE_TO_YIELD,ABILITY
CAPTAIN_IN_GRAVIS_ARMOUR,LEADER_CAPTAIN_IN_GRAVIS_ARMOUR,ABILITY
CAPTAIN_IN_PHOBOS_ARMOUR,RITES_OF_BATTLE,ABILITY
