Unit_ID,Option_Group_ID,Option_ID,Weapon_ID,Weapon_Role,Sort_Order
DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,DEATHWING_GREAT_WEAPON,GREAT_WEAPON_OF_THE_UNFORGIVEN,SELECTED,1
DEATHWING_KNIGHTS,KNIGHT_MASTER_MELEE,DEATHWING_RELIC_WEAPON,RELIC_WEAPON_KNIGHTS,SELECTED,1
DEATHWING_KNIGHTS,KNIGHTS_MELEE,DEATHWING_MACE_OF_ABSOLUTION,MACE_OF_ABSOLUTION,SELECTED,1
DEATHWING_KNIGHTS,KNIGHTS_MELEE,DEATHWING_POWER_WEAPON,POWER_WEAPON_KNIGHTS,SELECTED,1
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,DWT_CYCLONE,CYCLONE_MISSLINE_FRAG,SELECTED,1
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,DWT_CYCLONE,CYCLONE_MISSLINE_KRAK,SELECTED,2
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,DWT_ASSAULT_CANNON,ASSAULT_CANNON_DEATHWING_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,DWT_HEAVY_FLAMER,HEAVY_FLAMER_DEATHWING_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,DWT_PLASMA_CANNON,PLASMA_CANNON_STANDARD_DEATHWING_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS,HEAVY_WEAPON_DWT,DWT_PLASMA_CANNON,PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS,SELECTED,2
DEATHWING_TERMINATORS,MELEE_DWT,DWT_POWER_FIST,POWER_FIST_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS,MELEE_DWT,DWT_CHAINFIST,CHAINFIST,SELECTED,1
DEATHWING_TERMINATORS,MELEE_DWT,DWT_MIXED_FISTS,POWER_FIST_TERMINATORS,SELECTED,1
DEATHWING_TERMINATORS,MELEE_DWT,DWT_MIXED_FISTS,CHAINFIST,SELECTED,2
INVADER_ATV,MAIN_GUN_INVADER_ATV,INVADER_ATV_GATLING,ONSLAUGHT_GATLING_CANNON,SELECTED,1
INVADER_ATV,MAIN_GUN_INVADER_ATV,INVADER_ATV_MULTI_MELTA,MULTI_MELTA_ATV,SELECTED,1
INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,INVICTOR_INCENDIUM_CANNON,INCENDIUM_CANNON,SELECTED,1
INVICTOR_TACTICAL_WARSUIT,MAIN_GUN_INVICTOR,INVICTOR_TWIN_IRONHAIL_AUTOCANNON,TWIN_IRONHAIL_AUTOCANNON,SELECTED,1
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,CAPTAIN_JUMP_HBP,CAPTAIN_JUMP_HEAVY_BOLT_PISTOL,SELECTED,1
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,CAPTAIN_JUMP_PLASMA,CAPTAIN_JUMP_PLASMA_PISTOL_STANDARD,SELECTED,1
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,CAPTAIN_JUMP_PLASMA,CAPTAIN_JUMP_PLASMA_PISTOL_SUPERCHARGE,SELECTED,2
CAPTAIN_WITH_JUMP_PACK,CAPTAIN_JUMP_RANGED,CAPTAIN_JUMP_FLAMER,CAPTAIN_JUMP_HAND_FLAMER,SELECTED,1
