Unit_ID,Point_Option_ID,Label,Cost,Sort_Order
ADRAX_AGATONE,point_1,,,1
AETHON_SHAAN,point_1,,,1
ANCIENT,point_1,,0,1
AZRAEL,point_1,,140,1
BELIAL,point_1,,75,1
CAANOK_VAR,point_1,,,1
CALLIDUS_ASSASSIN,point_1,,100,1
CAPTAIN_IN_GRAVIS_ARMOUR,point_1,,80,1
CAPTAIN_IN_PHOBOS_ARMOUR,point_1,,70,1
CAPTAIN_IN_TERMINATOR_ARMOUR,point_1,,85,1
CAPTAIN_WITH_JUMP_PACK,point_1,,75,1
CENTURION_DEVASTATOR_SQUAD,point_1,x3,175,1
CENTURION_DEVASTATOR_SQUAD,point_2,x6,365,2
CHAPLAIN_WITH_JUMP_PACK,point_1,,0,1
DEATHWING_KNIGHTS,point_1,5x1,240,1
DEATHWING_KNIGHTS,point_2,5x2,500,2
DEATHWING_TERMINATORS,point_1,x5,165,1
DEATHWING_TERMINATORS,point_2,x10,330,2
GLADIATOR_LANCER,point_1,,160,1
GLADIATOR_REAPER,point_1,,160,1
GLADIATOR_VALIANT,point_1,,150,1
INNER_CIRCLE_COMPANIONS,point_1,x3,80,1
INNER_CIRCLE_COMPANIONS,point_2,x6,160,2
INVADER_ATV,point_1,,60,1
IRON_FATHER_FEIRROS,point_1,,,1
KAYVAAN_SHRIKE,point_1,,,1
LAND_SPEEDER,point_1,,105,1
LAND_SPEEDER_VENGEANCE,point_1,,130,1
LIBRARIAN,point_1,,0,1
LIBRARIAN_IN_PHOBOS_ARMOUR,point_1,,0,1
LIBRARIAN_IN_TERMINATOR_ARMOUR,point_1,,0,1
LIEUTENANT_WITH_COMBI_WEAPON,point_1,,0,1
LIEUTENANT_IN_PHOBOS_ARMOUR,point_1,,0,1
LION_ELJONSON,point_1,,265,1
PREDATOR_DESTRUCTOR,point_1,,140,1
RAVENWING_COMMAND_SQUAD,point_1,,105,1
STORM_SPEEDER_HAILSTRIKE,point_1,,105,1
STORM_SPEEDER_HAMMERSTRIKE,point_1,,140,1
STORM_SPEEDER_THUNDERSTRIKE,point_1,,135,1
SUPPRESSOR_SQUAD,point_1,,85,1
URIEL_VENTRIS,point_1,,105,1
VICTRIX_HONOUR_GUARD,point_1,,,1
VULKAN_HESTAN,point_1,,,1
CAPTAIN_ON_BIKE,point_1,,0,1
LIEUTENANT,point_1,,0,1
CHAPLAIN,point_1,,0,1
CHAPLAIN_IN_TERMINATOR_ARMOUR,point_1,,0,1
CHAPLAIN_ON_BIKE,point_1,,0,1
BLADEGUARD_ANCIENT,point_1,,0,1
ANCIENT_IN_TERMINATOR_ARMOUR,point_1,,0,1
TECHMARINE,point_1,,0,1
JUDICIAR,point_1,,0,1
apothecary,point_1,,0,1
apothecary_biologis,point_1,,0,1
COMPANY_HEROES,point_1,,0,1
INTERCESSORS,point_1,x5,0,1
INTERCESSORS,point_2,x10,0,2
ASSAULT_INTERCESSORS,point_1,x5,0,1
ASSAULT_INTERCESSORS,point_2,x10,0,2
ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,point_1,x5,0,1
ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,point_2,x10,0,2
HEAVY_INTERCESSORS,point_1,x5,0,1
HEAVY_INTERCESSORS,point_2,x10,0,2
HELLBLASTER_SQUAD,point_1,x5,0,1
HELLBLASTER_SQUAD,point_2,x10,0,2
DESOLATION_SQUAD,point_1,x5,0,1
INFERNUS_SQUAD,point_1,x5,0,1
INFERNUS_SQUAD,point_2,x10,0,2
INFILTRATORS,point_1,x5,0,1
INFILTRATORS,point_2,x10,0,2
BLADEGUARD_VETS,point_1,x3,0,1
BLADEGUARD_VETS,point_2,x6,0,2
STERNGUARD_VETS,point_1,x5,0,1
STERNGUARD_VETS,point_2,x10,0,2
VANGUARD_VETERAN_SQUAD_WITH_JUMP_PACKS,point_1,x5,0,1
VANGUARD_VETERAN_SQUAD_WITH_JUMP_PACKS,point_2,x10,0,2
INCURSORS,point_1,x5,0,1
INCURSORS,point_2,x10,0,2
REIVERS,point_1,x5,0,1
REIVERS,point_2,x10,0,2
SCOUTS,point_1,x5,0,1
SCOUTS,point_2,x10,0,2
ELIMINATOR_SQUAD,point_1,x3,0,1
OUTRIDER_SQUAD,point_1,x3,0,1
OUTRIDER_SQUAD,point_2,x6,0,2
ERADICATOR_SQUAD_HEAVY_BOLTERS,point_1,x3,0,1
ERADICATOR_SQUAD_HEAVY_BOLTERS,point_2,x6,0,2
ERADICATOR_SQUAD_MELTA,point_1,x3,0,1
ERADICATOR_SQUAD_MELTA,point_2,x6,0,2
AGGRESSORS,point_1,x3,0,1
AGGRESSORS,point_2,x6,0,2
INCEPTORS_PLASMA,point_1,x3,0,1
INCEPTORS_PLASMA,point_2,x6,0,2
TERMINATOR_SQUAD,point_1,x5,0,1
TERMINATOR_SQUAD,point_2,x10,0,2
TERMINATOR_ASSAULT_SQUAD,point_1,x5,0,1
TERMINATOR_ASSAULT_SQUAD,point_2,x10,0,2
RHINO,point_1,,0,1
IMPULSOR_Orbital,point_1,,0,1
drop_pod,point_1,,0,1
FIRESTRIKE_SERVO_TURRETS,point_1,x1,0,1
FIRESTRIKE_SERVO_TURRETS,point_2,x2,0,2
REPULSOR,point_1,,0,1
REPULSOR_EXECUTIONER,point_1,,0,1
LAND_RAIDER,point_1,,0,1
LAND_RAIDER_CRUSADER,point_1,,0,1
LAND_RAIDER_REDEEMER,point_1,,0,1
REDEMPTOR_PLASMA,point_1,,0,1
BALLISTUS,point_1,,0,1
BRUTALIS,point_1,,0,1
INVICTOR_TACTICAL_WARSUIT,point_1,,0,1
