Unit_ID,Unit Name,"M""",T,SV,W,LD,OC,Keywords,Hyperlink
ADRAX_AGATONE,Adrax Agatone,"6""",4,2+ / 4++,5,6+,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, TACTICUS, CAPTAIN, ADRAX AGATONE",https://wahapedia.ru/wh40k11ed/factions/space-marines/Adrax-Agatone
AETHON_SHAAN,Aethon Shaan,"14""",4,3+ / 4++,5,6,1,"INFANTRY, CHARACTER, EPIC HERO, FLY, JUMP PACK, IMPERIUM, TACTICUS, CHAPTER MASTER, AETHON SHAAN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Aethon-Shaan
AGGRESSORS,Aggressors,"5""",6,3+,3,6,1,"INFANTRY, IMPERIUM, GRAVIS, AGGRESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Aggressor-Squad
ANCIENT,Ancient,"6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, ANCIENT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ancient
ANCIENT_IN_TERMINATOR_ARMOUR_HAMMER,Ancient Terminator,"5""",5,2+ / 4++,5,6+,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, ANCIENT, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ancient-In-Terminator-Armour
ASSAULT_INTERCESSORS,Assault Intercessors,"6""",4,3+,2,6,2,"INFANTRY, BATTLELINE, GRENADES, IMPERIUM, TACTICUS, ASSAULT INTERCESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Assault-Intercessor-Squad
ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,Assault Intercessors with Jump Packs,"12""",4,3+,2,6,1,"INFANTRY, GRENADES, JUMP PACK, FLY, IMPERIUM, TACTICUS, ASSAULT INTERCESSORS WITH JUMP PACKS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Assault-Intercessors-With-Jump-Packs
AZRAEL,Azrael,"6""",4,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, GRENADES, IMPERIUM, DEATHWING, TACTICUS, CHAPTER MASTER, AZRAEL",https://wahapedia.ru/wh40k11ed/factions/space-marines/Azrael
BALLISTUS,Ballistus,"8""",10,2+,12,6,4,"VEHICLE, WALKER, IMPERIUM, DREADNOUGHT, BALLISTUS DREADNOUGHT, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ballistus-Dreadnought
BELIAL,Belial,"5""",5,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, DEATHWING, TERMINATOR, CAPTAIN, BELIAL",https://wahapedia.ru/wh40k11ed/factions/space-marines/Belial
BLADEGUARD_VETS,Bladeguard Vets,"6""",4,3+ / 4++,3,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, BLADEGUARD VETERAN SQUAD, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Bladeguard-Veteran-Squad
BRUTALIS,Brutalis,"8""",10,2+,12,6,4,"VEHICLE, WALKER, IMPERIUM, DREADNOUGHT, BRUTALIS DREADNOUGHT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Brutalis-Dreadnought-UL
CAANOK_VAR,Caanok Var,"5""",5,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, TERMINATOR, CAPTAIN, CAANOK VAR",https://wahapedia.ru/wh40k11ed/factions/space-marines/Caanok-Var
CALLIDUS_ASSASSIN,Callidus Assassin,"7""",4,6+ / 4++,4,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, OFFICIO ASSASSINORUM, CALLIDUS ASSASSIN",https://wahapedia.ru/wh40k11ed/factions/imperial-agents/Callidus-Assassin
CAPTAIN_FIST_PLASMA,Captain,"6""",4,3+ / 4++,5,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain
CAPTAIN_SWORD_SHIELD,Captain (Shield),"6""",4,3+ / 4++,6,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain
CAPTAIN_IN_GRAVIS_ARMOUR,Captain in Gravis Armour,"5""",6,3+ / 4++,6,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, GRAVIS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-In-Gravis-Armour
CAPTAIN_IN_PHOBOS_ARMOUR,Captain in Phobos Armour,"6""",4,3+ / 4++,5,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, PHOBOS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-In-Phobos-Armour
CAPTAIN_IN_TERMINATOR_ARMOUR,Captain in Terminator Armour,"5""",5,2+ / 4++,6,6+,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, CAPTAIN, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-In-Terminator-Armour
CAPTAIN_WITH_JUMP_PACK_HAMMER_SHIELD,Captain with Jump Pack (Shield),"12""",4,3+ / 4++,6,6+,1,"INFANTRY, CHARACTER, JUMP PACK, FLY, GRENADES, IMPERIUM, TACTICUS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-With-Jump-Pack
CAPTAIN_WITH_JUMP_PACK,Captain with Jump Pack,"12""",4,3+ / 4++,5,6+,1,"INFANTRY, CHARACTER, JUMP PACK, FLY, GRENADES, IMPERIUM, TACTICUS, CAPTAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Captain-With-Jump-Pack
CENTURION_DEVASTATOR_SQUAD,Centurion Devs,"4""",7,2+,4,6,2,"INFANTRY, IMPERIUM, CENTURION, CENTURION DEVASTATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Centurion-Devastator-Squad
CHAPLAIN_BIKE,Chaplain on Bike,"12""",5,3+ / 4++,5,5+,1,"MOUNTED, CHARACTER, GRENADES, IMPERIUM, CHAPLAIN, RAVENWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Chaplain-On-Bike
CHAPLAIN_TERMINATOR,Chaplain in Terminator Armour,"5""",5,2+ / 4++,5,5+,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, CHAPLAIN, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Chaplain-In-Terminator-Armour
CHAPLAIN_TERMINATOR_SHIELD,Chaplain in Terminator Armour (Shield),"5""",5,2+ / 4++,6,5+,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, CHAPLAIN, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Chaplain-In-Terminator-Armour
CHAPLAIN_WITH_JUMP_PACK,Chaplain with Jump Pack,"12""",4,3+ / 4++,4,5+,1,"INFANTRY, CHARACTER, JUMP PACK, FLY, IMPERIUM, CHAPLAIN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Chaplain-With-Jump-Pack
COMPANY_HEROES,Company Heroes,"6""",4,3+,4,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, COMPANY HEROES, ANCIENT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Company-Heroes
DARNATH_LYSANDER,Darnath Lysander,"5""",5,2+ / 4++,7,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, TERMINATOR, CAPTAIN, DARNATH LYSANDER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Darnath-Lysander
DEATHWING_KNIGHTS,Deathwing Knights,"5""",5,2+ / 4++,4,6,1,"INFANTRY, IMPERIUM, DEATHWING, TERMINATOR, DEATHWING KNIGHTS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Deathwing-Knights
DEATHWING_TERMINATORS,Deathwing Terminators,"5""",5,2+ / 4++,3,6,1,"INFANTRY, IMPERIUM, DEATHWING, TERMINATOR, DEATHWING TERMINATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Deathwing-Terminator-Squad
DESOLATION_SQUAD,Desolation Squad,"6""",4,3+,2,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, DESOLATION SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Desolation-Squad
ELIMINATOR_SQUAD,Eliminators,"6""",4,3+,2,6,1,"INFANTRY, GRENADES, IMPERIUM, PHOBOS, ELIMINATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Eliminator-Squad
ERADICATOR_SQUAD_HEAVY_BOLTERS,Eradicators (Bolters),"5""",6,3+,3,6+,1,"INFANTRY, IMPERIUM, GRAVIS, ERADICATOR SQUAD, ERADICATOR SQUAD WITH HEAVY BOLTERS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Eradicator-Squad-with-Heavy-Bolters
ERADICATOR_SQUAD_MELTA,Eradicators (Meltas),"5""",6,3+,3,6+,1,"INFANTRY, GRENADES, IMPERIUM, GRAVIS, ERADICATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Eradicator-Squad
GLADIATOR_LANCER,Gladiator Lancer,"10""",10,3+,12,6,3,"VEHICLE, SMOKE, IMPERIUM, GLADIATOR LANCER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Gladiator-Lancer
GLADIATOR_REAPER,Gladiator Reaper,"10""",10,3+,12,6,3,"VEHICLE, SMOKE, IMPERIUM, GLADIATOR REAPER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Gladiator-Reaper
GLADIATOR_VALIANT,Gladiator Valiant,"10""",10,3+,12,6,3,"VEHICLE, SMOKE, IMPERIUM, GLADIATOR VALIANT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Gladiator-Valiant
HEAVY_INTERCESSORS,Heavy Intercessors,"5""",6,3+,3,6,2,"INFANTRY, BATTLELINE, GRENADES, IMPERIUM, GRAVIS, HEAVY INTERCESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Heavy-Intercessor-Squad
HELLBLASTER_SQUAD,Hellblasters,"6""",4,3+,2,6+,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, HELLBLASTER SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Hellblaster-Squad
IMPULSOR_Orbital,Impulsor,"12""",9,3+,11,6+,2,"VEHICLE, TRANSPORT, DEDICATED TRANSPORT, IMPERIUM, IMPULSOR",https://wahapedia.ru/wh40k11ed/factions/space-marines/Impulsor
INCEPTORS_PLASMA,Inceptors,"10""",6,3+,3,6,1,"INFANTRY, JUMP PACK, FLY, IMPERIUM, GRAVIS, INCEPTOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Inceptor-Squad
INCURSORS,Incursors,"6""",4,3+,2,6,1,"INFANTRY, GRENADES, SMOKE, IMPERIUM, PHOBOS, INCURSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Incursor-Squad
INFERNUS_SQUAD,Infernus,"6""",4,3+,2,6,1,"INFANTRY, GRENADES, IMPERIUM, TACTICUS, INFERNUS SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Infernus-Squad
INFILTRATORS,Infiltrators,"6""",4,3+,2,6,1,"INFANTRY, GRENADES, SMOKE, IMPERIUM, PHOBOS, INFILTRATOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Infiltrator-Squad
INNER_CIRCLE_COMPANIONS,Inner Circle Companions,"6""",4,3+,3,6,2,"INFANTRY, IMPERIUM, DEATHWING, TACTICUS, INNER CIRCLE COMPANIONS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Inner-Circle-Companions
INTERCESSORS,Intercessors,"6""",4,3+,2,6,2,"INFANTRY, BATTLELINE, GRENADES, IMPERIUM, TACTICUS, INTERCESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Intercessor-Squad
INVADER_ATV,Invader ATV,"12""",5,3+,8,6,2,"MOUNTED, GRENADES, IMPERIUM, INVADER ATV, RAVENWING, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Invader-ATV
INVICTOR_TACTICAL_WARSUIT,Invictor Tactical Warsuit,"8""",8,3+,12,6,4,"VEHICLE, WALKER, IMPERIUM, PHOBOS, INVICTOR TACTICAL WARSUIT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Invictor-Tactical-Warsuit
IRON_FATHER_FEIRROS,Iron Father Feirros,"5""",6,2+,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, GRAVIS, IRON FATHER FEIRROS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Iron-Father-Feirros
JUDICIAR,Judiciar,"6""",4,3+ / 4++,4,5+,1,"INFANTRY, CHARACTER, IMPERIUM, TACTICUS, JUDICIAR",https://wahapedia.ru/wh40k11ed/factions/space-marines/Judiciar
KAYVAAN_SHRIKE,Kayvaan Shrike,"12""",4,3+ / 4++,5,6,1,"INFANTRY, CHARACTER, EPIC HERO, FLY, JUMP PACK, IMPERIUM, PHOBOS, CHAPTER MASTER, KAYVAAN SHRIKE",https://wahapedia.ru/wh40k11ed/factions/space-marines/Kayvaan-Shrike
LAND_RAIDER_REDEEMER,Land Raider Redeemer,"12""",12,2+,16,6,5,"VEHICLE, SMOKE, GRENADES, TRANSPORT, IMPERIUM, LAND RAIDER REDEEMER, DEATHWING, FRAME, LAND RAIDER",https://wahapedia.ru/wh40k11ed/factions/space-marines/Land-Raider-Redeemer
LAND_SPEEDER,Land Speeder,"14""",8,3+,9,6,3,"VEHICLE, FLY, IMPERIUM, LAND SPEEDER, RAVENWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Land-Speeder
LAND_SPEEDER_VENGEANCE,Land Speeder Vengeance,"14""",8,3+ / 5++,10,6,3,"VEHICLE, FLY, IMPERIUM, RAVENWING, LAND SPEEDER VENGEANCE, FRAME",https://wahapedia.ru/wh40k11ed/factions/space-marines/Land-Speeder-Vengeance
LIBRARIAN,Librarian,"6""",4,3+ / 4++,4,6+,1,"INFANTRY, CHARACTER, GRENADES, PSYKER, IMPERIUM, TACTICUS, LIBRARIAN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Librarian
LIBRARIAN_IN_PHOBOS_ARMOUR,Librarian in Phobos Armour,"6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, GRENADES, PSYKER, IMPERIUM, PHOBOS, LIBRARIAN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Librarian-In-Phobos-Armour
LIBRARIAN_IN_TERMINATOR_ARMOUR,Librarian in Terminator Armour,"5""",5,2+ / 4++,5,6,1,"INFANTRY, CHARACTER, PSYKER, IMPERIUM, TERMINATOR, LIBRARIAN, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Librarian-In-Terminator-Armour
