Unit_ID,Unit Name,Ability_IDs,Core_Ability_IDs,Weapon_IDs,"M""",T,SV,W,LD,OC,Keywords,Hyperlink,Points_Label_1,Points_Cost_1,Points_Label_2,Points_Cost_2,Points_Label_3,Points_Cost_3,Points_Label_4,Points_Cost_4
ADRAX_AGATONE,Adrax Agatone,"UNTO_THE_ANVIL, LORD_OF_THE_PYROCLASTS",,"DRAKKIS, MALLEUS_NOCTUM","6""",4,2+ / 4++,5,6+,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, TACTICUS, CAPTAIN, ADRAX AGATONE",https://wahapedia.ru/wh40k11ed/factions/space-marines/Adrax-Agatone,,80,,,,,,
AETHON_SHAAN,Aethon Shaan,"MASTER_OF_SHADOWS, BLACKWING_MANTLE, UNPARALLELED_TACTICIAN, CHAPTER_MASTER_OF_THE_RAVEN_GUARD","DEEP_STRIKE, LONE_OPERATIVE, STEALTH","HEAVY_BOLT_PISTOL_AETHON, CLAWS_OF_SEVERAX","14""",4,3+ / 4++,5,6,1,"INFANTRY, CHARACTER, EPIC HERO, FLY, JUMP PACK, IMPERIUM, TACTICUS, CHAPTER MASTER, AETHON SHAAN",https://wahapedia.ru/wh40k11ed/factions/space-marines/Aethon-Shaan,,100,,,,,,
AGGRESSORS,Aggressors,CLOSE_QUARTERS_FIREPOWER,,"FLAMESTORM_GAUNTLETS, TWIN_POWER_FISTS","5""",6,3+,3,6,1,"INFANTRY, IMPERIUM, GRAVIS, AGGRESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Aggressor-Squad,,80,,,,,,
NEW_ANCIENT,Ancient (New),"NEW_RELIC_BANNER, NEW_UNBREAKABLE_RESOLVE, SUPPORT_ANCIENT",,"NEW_BOLT_PISTOL, BOLT_RIFLE_INTERCESSORS, NEW_CLOSE_COMBAT_WEAPON_ANCIENT","6""",4,3+,4,6+,1,"INFANTRY, CHARACTER, GRENADES, IMPERIUM, TACTICUS, ANCIENT",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ancient,,40,,,,,,
ANCIENT_IN_TERMINATOR_ARMOUR_FIST,Ancient Terminator (Fist),"ASTARTES_BANNER, KEEP_THE_BANNER_HIGH, TERMINATOR_STORM_SHIELD, SUPPORT_ANCIENT_IN_TERMINATOR_ARMOUR",DEEP_STRIKE,"STORM_BOLTER_TERMINATORS, POWER_FIST_ANCIENT","5""",5,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, ANCIENT, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ancient-In-Terminator-Armour,,65,,,,,,
ANCIENT_IN_TERMINATOR_ARMOUR_HAMMER,Ancient Terminator (Thunder Hammer),"ASTARTES_BANNER, KEEP_THE_BANNER_HIGH, TERMINATOR_STORM_SHIELD, SUPPORT_ANCIENT_IN_TERMINATOR_ARMOUR",DEEP_STRIKE,"STORM_BOLTER_TERMINATORS, THUNDER_HAMMER_ANCIENT","5""",5,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, IMPERIUM, TERMINATOR, ANCIENT, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ancient-In-Terminator-Armour,,65,,,,,,
ASSAULT_INTERCESSORS,Assault Intercessors,SHOCK_ASSAULT,,"HEAVY_BOLT_PISTOL, ASTARTES_CHAINSWORD_INTERCESSORS, PLASMA_PISTOL_STANDARD_TROOPS, PLASMA_PISTOL_SUPERCHARGE_TROOPS, POWER_FIST_TROOPS","6""",4,3+,2,6,2,"INFANTRY, BATTLELINE, GRENADES, IMPERIUM, TACTICUS, ASSAULT INTERCESSOR SQUAD",https://wahapedia.ru/wh40k11ed/factions/space-marines/Assault-Intercessor-Squad,x5,75,x10,150,,,,
ASSAULT_INTERCESSORS_WITH_JUMP_PACKS,Assault Intercessors with Jump Packs,"HAMMER_OF_WRATH, ASSAULT_INTERCESSORS_WITH_JUMP_PACKS_WARGEAR",DEEP_STRIKE,"HEAVY_BOLT_PISTOL, ASTARTES_CHAINSWORD_INTERCESSORS, PLASMA_PISTOL_STANDARD_TROOPS, PLASMA_PISTOL_SUPERCHARGE_TROOPS, POWER_FIST_TROOPS","12""",4,3+,2,6,1,"INFANTRY, GRENADES, JUMP PACK, FLY, IMPERIUM, TACTICUS, ASSAULT INTERCESSORS WITH JUMP PACKS",https://wahapedia.ru/wh40k11ed/factions/space-marines/Assault-Intercessors-With-Jump-Packs,x5,85,x10,160,,,,
AZRAEL,Azrael,"SUPREME_GRAND_MASTER, THE_LION_HELM, LEADER_AZRAEL, MASTERFUL_TACTICIAN",,"LIONS_WRATH, THE_SWORD_OF_SECRETS","6""",4,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, GRENADES, IMPERIUM, DEATHWING, TACTICUS, CHAPTER MASTER, AZRAEL",https://wahapedia.ru/wh40k11ed/factions/space-marines/Azrael,,140,,,,,,
BALLISTUS,Ballistus,BALLISTUS_STRIKE,"DAMAGED_1_4, DEADLY_DEMISE_D3","BALLISTUS_LASCANNON, BALLISTUS_MISSILE_LAUNCHER_FRAG, BALLISTUS_MISSILE_LAUNCHER_KRAK, TWIN_STORM_BOLTER, ARMOURED_FEET","8""",10,2+,12,6,4,"VEHICLE, WALKER, IMPERIUM, DREADNOUGHT, BALLISTUS DREADNOUGHT, DEATHWING",https://wahapedia.ru/wh40k11ed/factions/space-marines/Ballistus-Dreadnought,x1,150,x2,300,,,,
BELIAL,Belial,"GRAND_MASTER_OF_THE_DEATHWING, STRIKES_OF_RETRIBUTION, LEADER_BELIAL",DEEP_STRIKE,"MASTER_CRAFTED_STORM_BOLTER_BELIAL, THE_SWORD_OF_SILENCE","5""",5,2+ / 4++,6,6,1,"INFANTRY, CHARACTER, EPIC HERO, IMPERIUM, DEATHWING, TERMINATOR, CAPTAIN, BELIAL",https://wahapedia.ru/wh40k11ed/factions/space-marines/Belial,,75,,,,,,
