Weapon_ID,Weapon_Ability_ID,Ability_Type,Target,Value,Condition,Separator_Before,Sort_Order
ARMA_LUMINIS_BOLT,ARMA_LUMINIS_BOLT:ability_1,PISTOL,,,,,1
ARMA_LUMINIS_PLASMA,ARMA_LUMINIS_PLASMA:ability_1,PISTOL,,,,,1
ACCELERATOR_AUTOCANNON,ACCELERATOR_AUTOCANNON:ability_1,HEAVY,,,,,1
ASTARTES_GRENADE_LAUNCHER_FRAG,ASTARTES_GRENADE_LAUNCHER_FRAG:ability_1,BLAST,,,,,1
AXE_MORKAI_STRIKE,AXE_MORKAI_STRIKE:ability_1,NONE,,,,,1
AXE_MORKAI_SWEEP,AXE_MORKAI_SWEEP:ability_1,NONE,,,,,1
BALLISTUS_MISSILE_LAUNCHER_FRAG,BALLISTUS_MISSILE_LAUNCHER_FRAG:ability_1,BLAST,,,,,1
BLACK_KNIGHT_COMBAT_WEAPON_APOTHECARY_ANCIENT,BLACK_KNIGHT_COMBAT_WEAPON_APOTHECARY_ANCIENT:ability_1,DEVASTATING WOUNDS,,,,,1
BLACKOUT,BLACKOUT:ability_1,CLOSE-QUARTERS,,,,,1
BLACKOUT,BLACKOUT:ability_2,PRECISION,,,,", ",2
BOLT_PISTOL_INTERCESSORS,BOLT_PISTOL_INTERCESSORS:ability_1,PISTOL,,,,,1
BOLT_PISTOL_LEADERS,BOLT_PISTOL_LEADERS:ability_1,CLOSE-QUARTERS,,,,,1
BOLT_RIFLE_INTERCESSORS,BOLT_RIFLE_INTERCESSORS:ability_1,ASSAULT,,,,,1
BOLT_RIFLE_INTERCESSORS,BOLT_RIFLE_INTERCESSORS:ability_2,HEAVY,,,,", ",2
BOLT_SNIPER_RIFLE,BOLT_SNIPER_RIFLE:ability_1,HEAVY,,,,,1
BOLT_SNIPER_RIFLE,BOLT_SNIPER_RIFLE:ability_2,PRECISION,,,,", ",2
BRUTALIS_TALONS_STRIKE,BRUTALIS_TALONS_STRIKE:ability_1,TWIN-LINKED,,,,,1
BRUTALIS_TALONS_SWEEP,BRUTALIS_TALONS_SWEEP:ability_1,TWIN-LINKED,,,,,1
CALIBANITE_GREATSWORD_STRIKE,CALIBANITE_GREATSWORD_STRIKE:ability_1,LETHAL HITS,,,,,1
CALIBANITE_GREATSWORD_SWEEP,CALIBANITE_GREATSWORD_SWEEP:ability_1,SUSTAINED HITS,,2,,,1
CENTURION_MISSILE_LAUNCHER,CENTURION_MISSILE_LAUNCHER:ability_1,BLAST,,,,,1
CENTURION_TWIN_LASCANNON,CENTURION_TWIN_LASCANNON:ability_1,TWIN-LINKED,,,,,1
CHAINFIST,CHAINFIST:ability_1,ANTI,VEHICLE,3+,,,1
CLAWS_OF_SEVERAX,CLAWS_OF_SEVERAX:ability_1,SUSTAINED HITS,,2,non-MONSTER/VEHICLE,,1
CLAWS_OF_SEVERAX,CLAWS_OF_SEVERAX:ability_2,TWIN-LINKED,,,,", ",2
COMBAT_KNIFE_REIVERS,COMBAT_KNIFE_REIVERS:ability_1,PRECISION,,,,,1
COMBI_WEAPON,COMBI_WEAPON:ability_1,ANTI,INFANTRY,4+,,,1
COMBI_WEAPON,COMBI_WEAPON:ability_2,DEVASTATING WOUNDS,,,,", ",2
COMBI_WEAPON,COMBI_WEAPON:ability_3,RAPID FIRE,,1,,", ",3
COMBI_WEAPON_LEADERS,COMBI_WEAPON_LEADERS:ability_1,ANTI,INFANTRY,4+,,,1
COMBI_WEAPON_LEADERS,COMBI_WEAPON_LEADERS:ability_2,DEVASTATING WOUNDS,,,,", ",2
COMBI_WEAPON_LEADERS,COMBI_WEAPON_LEADERS:ability_3,RAPID FIRE,,1,,", ",3
PLASMA_CANNON_STANDARD_DEATHWING_TERMINATORS,PLASMA_CANNON_STANDARD_DEATHWING_TERMINATORS:ability_1,BLAST,,,,,1
PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS,PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS:ability_1,BLAST,,,,,1
PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS,PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS:ability_2,HAZARDOUS,,,,", ",2
DRAKKIS,DRAKKIS:ability_2,CLOSE-QUARTERS,,,,,1
DRAKKIS,DRAKKIS:ability_3,TORRENT,,,,", ",2
EXECUTIONER_RELIC_BLADE,EXECUTIONER_RELIC_BLADE:ability_1,DEVASTATING WOUNDS,,,,,1
EXECUTIONER_RELIC_BLADE,EXECUTIONER_RELIC_BLADE:ability_2,PRECISION,,,,", ",2
FEALTY_STRIKE,FEALTY_STRIKE:ability_1,LETHAL HITS,,,,,1
FEALTY_SWEEP,FEALTY_SWEEP:ability_1,SUSTAINED HITS,,1,,,1
FLAMESTORM_CANNON_X2,FLAMESTORM_CANNON_X2:ability_1,IGNORES COVER,,,,,1
FLAMESTORM_CANNON_X2,FLAMESTORM_CANNON_X2:ability_2,TORRENT,,,,", ",2
FRAG_CANNON_X1,FRAG_CANNON_X1:ability_1,BLAST,,,,,1
FRAG_CANNON_X1,FRAG_CANNON_X1:ability_2,HEAVY,,,,", ",2
FRAG_CANNON_X1,FRAG_CANNON_X1:ability_3,RAPID FIRE,,D3,,", ",3
FRAG_CANNON_X2,FRAG_CANNON_X2:ability_1,BLAST,,,,,1
FRAG_CANNON_X2,FRAG_CANNON_X2:ability_2,HEAVY,,,,", ",2
FRAG_CANNON_X2,FRAG_CANNON_X2:ability_3,RAPID FIRE,,D3,,", ",3
GAUNTLET_OF_THE_FORGE,GAUNTLET_OF_THE_FORGE:ability_2,CLOSE-QUARTERS,,,,,1
GAUNTLET_OF_THE_FORGE,GAUNTLET_OF_THE_FORGE:ability_3,TORRENT,,,,", ",2
GORGONS_WRATH,GORGONS_WRATH:ability_1,SUSTAINED HITS,,2,,", ",2
GRAV_PISTOL,GRAV_PISTOL:ability_1,ANTI,VEHICLE,2+,,,1
GRAV_PISTOL,GRAV_PISTOL:ability_2,CLOSE-QUARTERS,,,,", ",2
GREAT_WEAPON_OF_THE_UNFORGIVEN,GREAT_WEAPON_OF_THE_UNFORGIVEN:ability_1,DEVASTATING WOUNDS,,,,,1
GREAT_WEAPON_OF_THE_UNFORGIVEN,GREAT_WEAPON_OF_THE_UNFORGIVEN:ability_2,SUSTAINED HITS,,1,,", ",2
HEAVY_BOLT_PISTOL_CAPTAIN,HEAVY_BOLT_PISTOL_CAPTAIN:ability_1,CLOSE-QUARTERS,,,,,1
HEAVY_BOLT_PISTOL_X2,HEAVY_BOLT_PISTOL_X2:ability_1,PISTOL,,,,,1
HEAVY_BOLTER_INVICTOR,HEAVY_BOLTER_INVICTOR:ability_1,SUSTAINED HITS,,1,,,1
HEAVY_BOLTERS_X2_PREDATOR,HEAVY_BOLTERS_X2_PREDATOR:ability_1,SUSTAINED HITS,,1,,,1
HEAVY_FLAMER_LAND_SPEEDER,HEAVY_FLAMER_LAND_SPEEDER:ability_1,TORRENT,,,,,1
HEAVY_LASER_DESTROYER,HEAVY_LASER_DESTROYER:ability_1,HEAVY,,,,,1
HEAVY_ONSLAUGHT_GATLING_CANNON,HEAVY_ONSLAUGHT_GATLING_CANNON:ability_1,DEVASTATING WOUNDS,,,,,1
HUNTER_SLAYER_MISSILE,HUNTER_SLAYER_MISSILE:ability_1,INDIRECT FIRE,,,,,1
HUNTER_SLAYER_MISSILE,HUNTER_SLAYER_MISSILE:ability_2,ONE SHOT,,,,", ",2
ICARUS_ROCKET_POD,ICARUS_ROCKET_POD:ability_1,ANTI,FLY,2+,,,1
INCENDIUM_CANNON,INCENDIUM_CANNON:ability_1,IGNORES COVER,,,,,1
INCENDIUM_CANNON,INCENDIUM_CANNON:ability_2,TORRENT,,,,", ",2
IRONHAIL_HEAVY_STUBBER,IRONHAIL_HEAVY_STUBBER:ability_1,RAPID FIRE,,3,,,1
KAELS_SMITE_FOCUSED_WITCHFIRE,KAELS_SMITE_FOCUSED_WITCHFIRE:ability_1,DEVASTATING WOUNDS,,,,,1
KAELS_SMITE_FOCUSED_WITCHFIRE,KAELS_SMITE_FOCUSED_WITCHFIRE:ability_2,HAZARDOUS,,,,", ",2
KAELS_SMITE_FOCUSED_WITCHFIRE,KAELS_SMITE_FOCUSED_WITCHFIRE:ability_3,PSYCHIC,,,,", ",3
KAELS_SMITE_WITCHFIRE,KAELS_SMITE_WITCHFIRE:ability_1,PSYCHIC,,,,,1
LANCER_LASER_DESTROYER,LANCER_LASER_DESTROYER:ability_1,HEAVY,,,,,1
LAS_FUSIL,LAS_FUSIL:ability_1,HEAVY,,,,,1
LIONS_WRATH,LIONS_WRATH:ability_1,ANTI,INFANTRY,4+,,,1
LIONS_WRATH,LIONS_WRATH:ability_2,DEVASTATING WOUNDS,,,,", ",2
MACE_OF_ABSOLUTION,MACE_OF_ABSOLUTION:ability_1,ANTI,MONSTER,4+,,,1
MACE_OF_ABSOLUTION,MACE_OF_ABSOLUTION:ability_2,ANTI,VEHICLE,4+,,", ",2
MACRO_PLASMA_INCINERATOR_STANDARD,MACRO_PLASMA_INCINERATOR_STANDARD:ability_1,BLAST,,,,,1
MACRO_PLASMA_INCINERATOR_SUPERCHARGE,MACRO_PLASMA_INCINERATOR_SUPERCHARGE:ability_1,BLAST,,,,,1
MACRO_PLASMA_INCINERATOR_SUPERCHARGE,MACRO_PLASMA_INCINERATOR_SUPERCHARGE:ability_2,HAZARDOUS,,,,", ",2
MASTER_CRAFTED_HEAVY_BOLT_RIFLE,MASTER_CRAFTED_HEAVY_BOLT_RIFLE:ability_1,ASSAULT,,,,,1
MASTER_CRAFTED_HEAVY_BOLT_RIFLE,MASTER_CRAFTED_HEAVY_BOLT_RIFLE:ability_2,HEAVY,,,,", ",2
MASTER_CRAFTED_STORM_BOLTER_BELIAL,MASTER_CRAFTED_STORM_BOLTER_BELIAL:ability_1,PRECISION,,,,,1
MASTER_CRAFTED_STORM_BOLTER_BELIAL,MASTER_CRAFTED_STORM_BOLTER_BELIAL:ability_2,RAPID FIRE,,2,,", ",2
MEDUSAN_MANIPULI,MEDUSAN_MANIPULI:ability_1,EXTRA ATTACKS,,,,,1
MELTA_DESTROYER,MELTA_DESTROYER:ability_1,MELTA,,2,,,1
MELTA_RIFLE_X2,MELTA_RIFLE_X2:ability_1,HEAVY,,,,,1
MELTA_RIFLE_X2,MELTA_RIFLE_X2:ability_2,MELTA,,2,,", ",2
MONGOL_BOW,MONGOL_BOW:ability_1,ASSAULT,,,,,1
MONGOL_BOW,MONGOL_BOW:ability_2,PRECISION,,,,", ",2
MULTI_MELTA_ATV,MULTI_MELTA_ATV:ability_1,MELTA,,2,,,1
MULTI_MELTA_VEHICLE,MULTI_MELTA_VEHICLE:ability_1,MELTA,,2,,,1
NEURAL_SHREDDER,NEURAL_SHREDDER:ability_1,ANTI,INFANTRY,2+,,,1
NEURAL_SHREDDER,NEURAL_SHREDDER:ability_2,PRECISION,,,,", ",2
NEURAL_SHREDDER,NEURAL_SHREDDER:ability_3,TORRENT,,,,", ",3
OCCULUS_BOLT_CARBINE,OCCULUS_BOLT_CARBINE:ability_1,ASSAULT,,,,,1
OCCULUS_BOLT_CARBINE,OCCULUS_BOLT_CARBINE:ability_2,IGNORES COVER,,,,", ",2
ONSLAUGHT_GATLING_CANNON,ONSLAUGHT_GATLING_CANNON:ability_1,DEVASTATING WOUNDS,,,,,1
