Weapon_ID,Weapon Name,"R""",A,WS,St,AP,D
ABSOLVOR_BOLT_PISTOL,Absolvor bolt pistol,"18""",1,3,5,-1,2
ARMA_LUMINIS_BOLT,Arma Luminis – bolt,"12""",4,2,4,-1,2
ARMA_LUMINIS_PLASMA,Arma Luminis – plasma,"12""",2,2,8,-3,2
ARMORED_TRACKS_LAND_RAIDER,Armored Tracks (Land Raider),-,6,4,8,0,1
ARMOURED_FEET,Armoured feet,-,5,3,7,0,1
ARMOURED_HULL,Armoured hull,-,3,4,6,0,1
ACCELERATOR_AUTOCANNON,Accelerator autocannon,"48""",3,4,8,-1,2
ARMOURED_HULL_REPULSOR,Armoured hull,-,6,4,8,0,1
ARMOURED_TRACKS,Armoured tracks,-,3,4,6,0,1
ASSAULT_BOLTERS,Assault bolters,"18""",3,3,5,-1,2
ASTARTES_CHAINSWORD_INTERCESSORS,Astartes chainsword,-,4,3,4,-1,1
ASTARTES_CHAINSWORD_SCOUTS_SGT,Astartes chainsword (Sgt),-,4,3,4,-1,1
ASTARTES_GRENADE_LAUNCHER_FRAG,Astartes grenade launcher – frag,"24""",D3,3,4,0,1
ASTARTES_GRENADE_LAUNCHER_KRAK,Astartes grenade launcher – krak,"24""",1,3,9,-2,D3
ASTARTES_SHOTGUN_SCOUTS,Astartes shotgun,"18""",2,3,4,0,1
AXE_MORKAI_STRIKE,Axe Morkai – strike,-,6,2,8,-2,3
AXE_MORKAI_SWEEP,Axe Morkai – sweep,-,10,2,6,-2,1
AXIOM_STRIKE,Axiom – strike,-,5,2,8,-2,2
AXIOM_SWEEP,Axiom – sweep,-,10,2,5,-2,1
BALLISTUS_LASCANNON,Ballistus lascannon,"48""",2,3,12,-3,D6+1
BALLISTUS_MISSILE_LAUNCHER_FRAG,Ballistus missile launcher – frag,"48""",2D6,3,5,0,1
BALLISTUS_MISSILE_LAUNCHER_KRAK,Ballistus missile launcher – krak,"48""",2,3,10,-2,D6
BLACK_KNIGHT_COMBAT_WEAPON_APOTHECARY_ANCIENT,Black Knight combat weapon (Apothecary & Ancient),-,3,3,5,-2,1
BLACKOUT,Blackout,"18""",2,2,5,-1,2
BLADES_OF_HONOUR_CHAMPION,Blades of honour,-,6,2,5,-2,2
BOLT_PISTOL_INTERCESSORS,Bolt Pistol,"12""",1,3,4,0,1
BOLT_PISTOL_LEADERS,Bolt pistol,"12""",1,2,4,0,1
BOLT_RIFLE_INTERCESSORS,Bolt Rifle,"24""",2,3,4,-1,1
BOLT_SNIPER_RIFLE,Bolt sniper rifle,"36""",1,3,5,-2,3
BOLTSTORM_GAUNTLET,Boltstorm gauntlet,"12""",3,2,4,-1,1
BRUTALIS_TALONS_STRIKE,Brutalis talons – strike,-,6,3,12,-2,3
BRUTALIS_TALONS_SWEEP,Brutalis talons – sweep,-,10,3,7,-2,1
CALIBANITE_GREATSWORD_STRIKE,Calibanite greatsword - strike,-,4,3,6,-2,2
CALIBANITE_GREATSWORD_SWEEP,Calibanite greatsword - sweep,-,5,3,6,-2,1
CASTELLAN_LAUNCHER,Castellan launcher,"36""",D3,3,4,0,1
CENTURION_FISTS,Centurion fists,-,3,4,5,-1,2
CENTURION_MISSILE_LAUNCHER,Centurion missile launcher,"36""",D3,3,9,-2,D3
CENTURION_TWIN_LASCANNON,Centurion Twin lascannon,"48""",1,3,12,-3,D6+1
CHAINFIST,Chainfist,-,3,4,8,-2,2
CLAWS_OF_SEVERAX,Claws of Severax,-,7,2,5,-2,2
CLOSE_COMBAT_WEAPON_ATV,Close combat weapon,-,5,3,4,0,1
CLOSE_COMBAT_WEAPON_INTERCESSORS,Close combat weapon,-,3,3,4,0,1
CLOSE_COMBAT_WEAPON_SPEEDERS,Close combat weapon,-,4,3,4,0,1
CLOSE_COMBAT_WEAPON_STERNGUARD,Close combat weapon,-,4,3,4,0,1
COMBAT_KNIFE_LIEUTENANT_REIVERS,Combat knife,-,6,2,4,-1,1
COMBAT_KNIFE_REIVERS,Combat knife,-,4,3,4,-1,1
COMBAT_KNIFE_SCOUTS,Combat knife,-,3,3,4,-1,1
COMBI_WEAPON,Combi-weapon,"24""",1,4,4,0,1
COMBI_WEAPON_LEADERS,Combi-weapon,"24""",1,3,4,0,1
CROZIUS_ARCANUM,Crozius arcanum,-,5,2,6,-1,2
CYCLONE_MISSLINE_FRAG,Cyclone missline - frag,"36""",2D6,3,4,0,1
CYCLONE_MISSLINE_KRAK,Cyclone missline - krak,"36""",2,3,9,-2,D6
ASSAULT_CANNON_DEATHWING_TERMINATORS,Assault cannon,"24""",6,3,6,0,1
HEAVY_FLAMER_DEATHWING_TERMINATORS,Heavy flamer,"12""",D6,N/A,5,-1,1
PLASMA_CANNON_STANDARD_DEATHWING_TERMINATORS,Plasma cannon - standard,"36""",D3,3,7,-2,1
PLASMA_CANNON_SUPERCHARGE_DEATHWING_TERMINATORS,Plasma cannon - supercharge,"36""",D3,3,8,-3,2
DRAKKIS,Drakkis,"12""",D6+3,N/A,4,-1,1
EXECUTIONER_RELIC_BLADE,Executioner relic blade,-,5,2,7,-2,2
FEALTY_STRIKE,Fealty – strike,-,8,2,12,-4,4
FEALTY_SWEEP,Fealty – sweep,-,16,2,6,-3,2
FIST_OF_DORN,Fist of Dorn,-,5,2,10,-3,3
FLAMESTORM_CANNON_X2,Flamestorm cannon x2,"12""",2D6+6,N/A,6,-2,2
FLAMESTORM_GAUNTLETS,Flamestorm gauntlets,"12""",D6+1,N/A,4,0,1
FORCE_WEAPON,Force weapon,-,4,3,6,-1,D3
FORGE_BOLTER,Forge Bolter,"24""",3,2,5,-1,2
FRAG_CANNON_X1,Frag cannon x1,"18""",D3,4,7,-1,2
FRAG_CANNON_X2,Frag cannon x2,"18""",D3,4,7,-1,2
FRAGSTORM_GRENADE_LAUNCHER,Fragstorm grenade launcher,"18""",D6,3,4,0,1
GAUNTLET_OF_THE_FORGE,Gauntlet of the Forge,"12""",D6+3,N/A,6,-1,1
GAUNTLETS_OF_ULTRAMAR_MELEE,Gauntlets of Ultramar - Melee,-,6,2,8,-3,3
GAUNTLETS_OF_ULTRAMAR_RANGE,Gauntlets of Ultramar - Range,"18""",4,1,4,-1,2
GORGONS_WRATH,Gorgon’s Wrath,"36""",3,2,5,-1,2
GRAV_PISTOL,Grav-pistol,"12""",1,2,4,-1,2
GREAT_WEAPON_OF_THE_UNFORGIVEN,Great weapon of the Unforgiven,-,5,2,6,-2,2
HAMMERSTRIKE_MISSILE_LAUNCHER,Hammerstrike missile launcher,"36""",2,3,9,-3,D6
HARROWHAND,Harrowhand,-,6,3,7,-2,2
HEAVY_BOLT_PISTOL,Heavy bolt pistol,"18""",1,3,4,-1,1
HEAVY_BOLT_PISTOL_LEADERS,Heavy bolt pistol,"18""",1,3,4,-1,1
HEAVY_BOLT_PISTOL_CAPTAIN,Heavy bolt pistol,"18""",1,2,4,-1,1
HEAVY_BOLT_PISTOL_X2,Heavy bolt pistol x2,"18""",1,3,4,-1,1
HEAVY_BOLT_RIFLE,Heavy bolt rifle,"30""",2,3+,5,-1,2
HEAVY_BOLTER_ERADICATORS,Heavy bolter,"36""",3,3,5,-1,2
HEAVY_BOLTER_HEAVY_INTERCESSORS,Heavy bolter,"36""",3,3,5,-1,2
HEAVY_BOLTER_INVICTOR,Heavy bolter,"36""",3,3,5,-1,2
HEAVY_BOLTER_SCOUTS,Heavy bolter,"36""",3,4,5,-1,2
HEAVY_BOLTERS_X2_PREDATOR,Heavy Bolters x2 (Predator),"36""",6,3,5,-1,2
HEAVY_FLAMER_LAND_SPEEDER,Heavy flamer,"12""",D6,N/A,5,-1,1
HEAVY_LASER_DESTROYER,Heavy laser destroyer,"72""",2,3,16,-4,D6+4
HEAVY_ONSLAUGHT_GATLING_CANNON,Heavy Onslaught Gatling Cannon,"24""",12,3,6,0,1
HUNTER_KILLER_MISSILE,Hunter-killer missile,"48""",1,2,14,-3,D6
HUNTER_SLAYER_MISSILE,Hunter-slayer missile,"48""",1,2,14,-3,D6
ICARUS_ROCKET_POD,Icarus rocket pod,"24""",D3,3,8,-1,2
INVICTOR_FIST,Invictor Fist,-,5,3,14,-2,3
INCENDIUM_CANNON,Incendium cannon,"12""",D6+3,-,6,-1,1
INVICTUS,Invictus,"24""",2,2,4,-1,2
IRONHAIL_HEAVY_STUBBER,Ironhail heavy stubber,"36""",3,3,4,0,1
KAELS_SMITE_FOCUSED_WITCHFIRE,Kael's Smite - focused witchfire,"24""",D6,3,7,-2,D3+1
KAELS_SMITE_WITCHFIRE,Kael's Smite - witchfire,"24""",D6,3,6,-1,D3+1
KRAKSTORM_GRENADE_LAUNCHER_X2,Krakstorm grenade launcher x2,"18""",2,3,9,-1,D3
LANCER_LASER_DESTROYER,Lancer laser destroyer,"72""",2,3,14,-4,D6+3
LAS_FUSIL,Las fusil,"36""",1,3,9,-3,D6
LAS_TALON,Las-talon,"36""",2,3,10,-3,D6+1
LASCANNONS_X2_PREDATOR,Lascannons,"48""",2,3,12,-3,D6+1
LIONS_WRATH,Lion’s Wrath,"24""",2,2,8,-3,2
MACE_OF_ABSOLUTION,Mace of absolution,-,4,2,6,-2,2
MACRO_PLASMA_INCINERATOR_STANDARD,Macro plasma incinerator – standard,"36""",D6+1,3,8,-3,2
MACRO_PLASMA_INCINERATOR_SUPERCHARGE,Macro plasma incinerator – supercharge,"36""",D6+1,3,9,-4,3
MALLEUS_NOCTUM,Malleus Noctum,-,5,2,10,-2,3
MARKSMAN_BOLT_CARBINE,Marksman bolt carbine,"24""",2,3,4,0,1
MASTER_CRAFTED_BOLT_CARBINE_VITRIX_ONLY,Master-crafted bolt carbine,"24""",2,2,4,-1,2
MASTER_CRAFTED_BOLTGUN,Master-crafted boltgun,"24""",2,2,4,-1,2
MASTER_CRAFTED_HEAVY_BOLT_RIFLE,Master-crafted heavy bolt rifle,"30""",2,2,5,-1,3
MASTER_CRAFTED_POWER_WEAPON_ANCIENT_AND_VITRIX_ONLY,Master-crafted power weapon (Ancient and Vitrix only),-,5,2,5,-2,2
MASTER_CRAFTED_POWER_WEAPON_BLADEGUARD,Master-crafted power weapon (BLADEGUARD),-,4,3,5,-2,2
MASTER_CRAFTED_POWER_WEAPON_CHAMPION,Master-crafted power weapon,-,6,2,5,-2,2
MASTER_CRAFTED_STORM_BOLTER_BELIAL,Master-crafted storm bolter,"24""",2,2,4,0,2
MEDUSAN_MANIPULI,Medusan manipuli,-,2,3,8,-2,3
MELTA_DESTROYER,Melta destroyer,"18""",3,3,9,-4,D6
MELTA_RIFLE,Melta rifle,"18""",1,3,9,-4,D6
MELTA_RIFLE_X2,Melta rifle x2,"18""",1,3,9,-4,D6
