Ability_ID,Ability Name,Short_Description,Long_Description,Tags,Tag Categories,Visibility_ID,Default_Active
ADAPTABLE_PREDATORS,Adaptable Predators,"Fall back, Shoot and Charge [FALL BACK AND SHOOT] [FALL BACK AND CHARGE]",This unit is eligible to shoot and declare a charge in a turn in which it Fell Back.,[FALL BACK AND SHOOT] [FALL BACK AND CHARGE],[Movement Rules] [Movement Rules],2,
ADAPTIVE_INSTINCTS,Adaptive Instincts,"MELEE. Once per turn. 
When Targetted or selected to Fight (pick one): 
- +1 S melee
- +1 T [+1 S] [+1 T]","Once per turn, per unit: In the Fight phase, when this unit is selected to fight or when an enemy unit targets this unit, you can select one of the following:
- This unit’s melee attacks have +1 S.
- This unit has +1 T.",[+1 S] [+1 T],[Melee - Weapon Stats] [Unit Stats],2,
ALPHA_INVADER,Alpha Invader,SUSTAIN HITS 1 [SUSTAINED HITS 1] [SUSTAINED HITS 1],Weapons equipped by models in this unit have the [SUSTAINED HITS 1] ability.,[SUSTAINED HITS 1] [SUSTAINED HITS 1],[Melee - Weapon Rules] [Range - Weapon Rules],2,
ALPHA_LEADER,Alpha Leader,Leading = Unit re-rolls the Hit roll. [RE-ROLL ALL HITS] [RE-ROLL ALL HITS],"While this model is leading a unit, each time a model in that unit makes an attack, you can re-roll the Hit roll.",[RE-ROLL ALL HITS] [RE-ROLL ALL HITS],[Melee - Combat Modifiers] [Range - Combat Modifiers],2,
ALPHA_WARRIOR,Alpha Warrior,Unit gains SUSTAINED HITS 1 ability. [SUSTAINED HITS 1] [SUSTAINED HITS 1],"While this model is leading a unit, weapons equipped by models in that unit have the [SUSTAINED HITS 1] ability.",[SUSTAINED HITS 1] [SUSTAINED HITS 1],[Melee - Weapon Rules] [Range - Weapon Rules],2,
BIO_STIMULUS,Bio-stimulus,"Shoot an enemy, then, in MELEE, 
ALL Tyranids have extra -1 AP [+1 AP]","In your Shooting phase, after this model has shot, select one enemy unit hit by one or more of those attacks. Until the end of the turn, each time a friendly Tyranids unit makes a melee attack that targets that enemy unit, improve the Armour Penetration characteristic of that attack by 1. The same enemy unit can only be affected by this ability once per turn.",[+1 AP],[Melee - Weapon Stats],2,
BLISTERING_ASSAULT,Blistering Assault,"Enemy SHOOTING: Lose a wound → Surge up to D6+2""","In your opponent’s Shooting phase, when an enemy unit has shot, if a model in this unit lost a wound as a result of those attacks, this unit can make a surge move of up to D6+2"".",,,2,
BOUNDING_LEAP,Bounding Leap,Advance and Charge. [ADVANCE AND CHARGE],This unit is eligible to declare a charge in a turn in which it Advanced.,[ADVANCE AND CHARGE],[Movement Rules],2,
BROOD_PROGENITOR_AURA_AND_PSYCHIC,Brood Progenitor (Aura and Psychic),"Termagant 6"" RANGED have LETHAL HITS [LETHAL HITS]","While a friendly Termagants unit is within 6"" of this model, ranged weapons equipped by models in that unit have the [LETHAL HITS] ability.",[LETHAL HITS],[Range - Weapon Rules],2,
BURNING_SPRAY,Burning Spray,Hit enemy loses Benefit of Cover this Shooting phase. [IGNORES COVER],"In your Shooting phase, after this unit has shot, select one enemy unit hit by one or more of those attacks. Until the end of the phase, that enemy unit cannot have the Benefit of Cover.",[IGNORES COVER],[Range - Weapon Rules],2,
DEATH_BLOW,Death Blow,"If destroyed by - and if it has not fought, roll one D6: on a 4+, it can fight before it's removed.","If this model is destroyed by a melee attack, if it has not fought this phase, roll one D6: on a 4+, do not remove it from play. The destroyed model can fight after the attacking model’s unit has finished making its attacks, and is then removed from play.",,,2,
DEATH_FROM_BELOW,Death From Below,"At the end of enemy turn, if not within Engagement, remove from battlefield and place into Strategic Reserves. [STRATEGIC RESERVES]","At the end of your opponent’s turn, if this unit is not within Engagement Range of one or more enemy units, you can remove it from the battlefield and place it into Strategic Reserves.",[STRATEGIC RESERVES],[Movement Rules],2,
DEATH_SCREAM,Death Scream,"In Shooting, after shooting, select one enemy to take Battle-shock with -1.","In your Shooting phase, after this model has shot, select one unit hit by one or more of those attacks. That unit must take a Battle-shock test, subtracting 1 from that test.",,,2,
DEFENSIVE_STANCE,Defensive Stance,Overwatch on 5+ or 4+ if on objective. [OVERWATCH],"Each time you target this unit with the Fire Overwatch Stratagem, while resolving that Stratagem, hits are scored on unmodified Hit rolls of 5+, or unmodified Hit rolls of 4+ instead if this unit is within range of an objective marker.",[OVERWATCH],[Range - Weapon Rules],2,
DOMINATION_OF_THE_HIVE_MIND_AURA,Domination of the Hive Mind (Aura),"9"" have Synapse","While a friendly Tyranids unit is within 9"" of this model, that unit is within your army’s Synapse Range.",,,2,
