Detachment_ID,Army_Name,Detachment_Name,Rule_ID,Rule_Name,DP_Cost,Detachment_Disposition,Detachment_Disposition_2,Short_Description,Long_Description
tyranids_ambush_predators,Tyranids,Ambush Predators,tyranids_ambush_predators_detachment_rule_mindhunger,MINDHUNGER,1,Disruption,,"DEATHLEAPER / LICTOR / NEUROLICTOR have Deep Strike. 

LICTOR / NEUROLICTOR re-roll hit rolls of 1 vs CHARACTER units.","Friendly DEATHLEAPER/LICTOR/NEUROLICTOR units have Deep Strike.

Friendly LICTOR/NEUROLICTOR units’ attacks that target a CHARACTER unit can re-roll hit rolls of 1."
tyranids_subterranean_assault,Tyranids,Subterranean Assault,tyranids_subterranean_assault_detachment_rule_detachment_rule,SURPRISE ASSAULT,3,Disruption,,"SURPRISE ASSAULT:
- Re-rolls 1 To Hit
- BURROWERS allow 6"" Charge","Each time a Tyranids model from your army makes an attack, re-roll a Hit roll of 1.

Each time a Burrower unit from your army is set up on the battlefield from Reserves, place a circular 40mm Tunnel Marker anywhere on the battlefield within 1"" of that unit and more than 3"" horizontally away from all enemy units.

In the Reinforcements step of your Movement phase, when you set up a unit on the battlefield from Reserves, you can set that unit up wholly within 9"" of one of your Tunnel Markers and more than 6"" horizontally away from any enemy units.

If an enemy model (excluding Aircraft) ends any kind of move within 3"" of one of your Tunnel Markers, that Tunnel Marker is removed from the battlefield."
tyranids_vanguard_onslaught,Tyranids,Vanguard Onslaught,tyranids_vanguard_onslaught_detachment_rule_detachment_rule,VANGUARD INVADERS,2,Recon,,"VANGUARD INVADERS
- Advance and Charge.
ALL UNITS: Fall back and Charge

Deathleaper can be Warlord","TYRANIDS units with this ability are eligible to charge in a turn in which they Fell Back.

VANGUARD INVADER units with this ability are eligible to charge in a turn in which they Advanced.

DEATHLEAPER loses the Hunter Organism rule and can be your WARLORD."
tyranids_invasion_fleet,Tyranids,Invasion Fleet,tyranids_invasion_fleet_detachment_rule_detachment_rule,HYPER-ADAPTATIONS,3,Take and Hold,,"Swarming Instincts: Sustain 1
Hyper-Aggression: Lethal Hits
Hive Predators: Precision","At the start of the first battle round, select one of the following Hyper-adaptations to be active for TYRANIDS units from your army until the end of the battle.

Swarming Instincts: Each time a TYRANIDS model with this Hyper-adaptation makes an attack that targets an INFANTRY or SWARM unit, that attack has the [SUSTAINED HITS 1] ability.

Hyper-aggression: Each time a TYRANIDS model with this Hyper-adaptation makes an attack that targets a MONSTER or VEHICLE unit, that attack has the [LETHAL HITS] ability.

Hive Predators: Each time a TYRANIDS model with this Hyper-adaptation makes an attack that targets a CHARACTER unit, on a Critical Hit, that attack has the [PRECISION] ability."
tyranids_talons_of_the_norn_queen,Tyranids,Talons of the Norn Queen,tyranids_talons_of_the_norn_queen_detachment_rule_higher_imperatives,HIGHER IMPERATIVES,1,Take and Hold,,"Friendly NORN EMISSARY/NORN ASSIMILATOR units: once per battle per unit, in your Command phase, you can make a new selection for its Singular Purpose ability.","Friendly NORN EMISSARY/NORN ASSIMILATOR units have the following ability: Protean Purpose – (Once per battle, per unit) In your Command phase, you can use this ability. If you do, this unit can make a selection for its Singular Purpose ability (this replaces the previous selection)."
tyranids_warrior_bioform_onslaught,Tyranids,Warrior Bioform Onslaught,tyranids_warrior_bioform_onslaught_detachment_rule_leader_beasts,LEADER‑BEASTS,1,Take and Hold,,"WARRIORS gain Battleline

Also, WARRIORS, TYRANID PRIME (both types) have a 5+ invulnerable save.","Friendly TYRANID WARRIORS WITH RANGED BIO‑WEAPONS/TYRANID WARRIORS WITH MELEE BIO‑WEAPONS units have: TYRANID WARRIORS and BATTLELINE.

TYRANID WARRIORS/TYRANID PRIME WITH LASH WHIP/WINGED TYRANID PRIME models from your army have 5+ InSv."
tyranids_crusher_stampede,Tyranids,Crusher Stampede,tyranids_crusher_stampede_detachment_rule_enraged_behemoths,ENRAGED BEHEMOTHS,2,Purge the Foe,,MONSTER: +1 To Hit below Starting Strength; also +1 To Wound below Half. At Starting Strength: +2 OC.,"Each time a TYRANIDS MONSTER model attacks, add 1 to the Hit roll if its unit is below Starting Strength and add 1 to the Wound roll as well if its unit is Below Half-strength. While a TYRANIDS MONSTER unit is at Starting Strength and is not Battle-shocked, add 2 to the Objective Control of models in that unit."
tyranids_unending_swarm,Tyranids,Unending Swarm,tyranids_unending_swarm_detachment_rule_insurmountable_odds,INSURMOUNTABLE ODDS,2,Take and Hold,,"ENDLESS MULTITUDE: If enemy Shooting destroys a model, unit can Surge D6 inches.","In your opponent’s Shooting phase, after an enemy unit has shot, if those attacks destroyed a model from a friendly ENDLESS MULTITUDE unit, that friendly unit can make a surge move of up to D6 inches."
tyranids_assimilation_swarm,Tyranids,Assimilation Swarm,tyranids_assimilation_swarm_detachment_rule_feed_the_swarm,FEED THE SWARM,2,Priority Assets,,"COMMAND: Each HARVESTER regenerates 1 nearby unit: heal D3+1 W, return 1 INFANTRY, or 3 ENDLESS MULTITUDE.","In your Command phase, each HARVESTER unit can Regenerate one friendly TYRANIDS unit within 6 inches. A unit can only be regenerated once per phase. Regenerate by healing one model D3+1 wounds, returning one destroyed INFANTRY model excluding CHARACTERS, or returning up to 3 models instead if it is an ENDLESS MULTITUDE unit."
tyranids_synaptic_nexus,Tyranids,Synaptic Nexus,tyranids_synaptic_nexus_detachment_rule_synaptic_imperatives,SYNAPTIC IMPERATIVES,2,Disruption,,"Start battle round, pick ONCE: Synapse units get 5++, +1 Advance and Charge, or MELEE +1 To Hit.","At the start of each battle round, select one Synaptic Imperative not previously selected. Until end of the battle round, TYRANIDS units within Synapse Range benefit from it: Synaptic Augmentation gives 5+ invulnerable saves; Surging Vitality gives +1 to Advance and Charge rolls; Goaded to Slaughter gives +1 to melee Hit rolls."
