Detachment_ID,Army_Name,Detachment_Name,Item_Type,Item_ID,Item_Name,Points,CP_Cost,DP_Cost,Detachment_Disposition,Short_Description,Long_Description
tyranids_ambush_predators,Tyranids,Ambush Predators,DETACHMENT_RULE,tyranids_ambush_predators_detachment_rule_mindhunger,Mindhunger,,,1,Disruption,DEATHLEAPER/LICTOR/NEUROLICTOR have Deep Strike; LICTOR/NEUROLICTOR re-roll hit rolls of 1 vs CHARACTER units.,"Friendly DEATHLEAPER/LICTOR/NEUROLICTOR units have Deep Strike.

Friendly LICTOR/NEUROLICTOR units’ attacks that target a CHARACTER unit can re-roll hit rolls of 1."
tyranids_subterranean_assault,Tyranids,Subterranean Assault,DETACHMENT_RULE,tyranids_subterranean_assault_detachment_rule_detachment_rule,Detachment Rule,,,3,Disruption,"SURPRISE ASSAULT:
- Re-rolls 1 To Hit
- BURROWERS allow 6"" Charge","Each time a Tyranids model from your army makes an attack, re-roll a Hit roll of 1.

Each time a Burrower unit from your army is set up on the battlefield from Reserves, place a circular 40mm Tunnel Marker anywhere on the battlefield within 1"" of that unit and more than 3"" horizontally away from all enemy units.

In the Reinforcements step of your Movement phase, when you set up a unit on the battlefield from Reserves, you can set that unit up wholly within 9"" of one of your Tunnel Markers and more than 6"" horizontally away from any enemy units.

If an enemy model (excluding Aircraft) ends any kind of move within 3"" of one of your Tunnel Markers, that Tunnel Marker is removed from the battlefield."
tyranids_vanguard_onslaught,Tyranids,Vanguard Onslaught,DETACHMENT_RULE,tyranids_vanguard_onslaught_detachment_rule_detachment_rule,Detachment Rule,,,2,Recon,"Vanguard Invaders: Advance and Charge.
All units: Fall back and Charge

Deathleaper can be Warlord","TYRANIDS units with this ability are eligible to charge in a turn in which they Fell Back.

VANGUARD INVADER units with this ability are eligible to charge in a turn in which they Advanced.

DEATHLEAPER loses the Hunter Organism rule and can be your WARLORD."
tyranids_invasion_fleet,Tyranids,Invasion Fleet,DETACHMENT_RULE,tyranids_invasion_fleet_detachment_rule_detachment_rule,Detachment Rule,,,3,Take and Hold,"Swarming Instincts: Sustain 1
Hyper-Aggression: Lethal Hits
Hive Predators: Precision","At the start of the first battle round, select one of the following Hyper-adaptations to be active for TYRANIDS units from your army until the end of the battle.

Swarming Instincts: Each time a TYRANIDS model with this Hyper-adaptation makes an attack that targets an INFANTRY or SWARM unit, that attack has the [SUSTAINED HITS 1] ability.

Hyper-aggression: Each time a TYRANIDS model with this Hyper-adaptation makes an attack that targets a MONSTER or VEHICLE unit, that attack has the [LETHAL HITS] ability.

Hive Predators: Each time a TYRANIDS model with this Hyper-adaptation makes an attack that targets a CHARACTER unit, on a Critical Hit, that attack has the [PRECISION] ability."
tyranids_talons_of_the_norn_queen,Tyranids,Talons of the Norn Queen,DETACHMENT_RULE,tyranids_talons_of_the_norn_queen_detachment_rule_higher_imperatives,Higher Imperatives,,,1,Take and Hold,"Friendly NORN EMISSARY/NORN ASSIMILATOR units: once per battle per unit, in your Command phase, you can make a new selection for its Singular Purpose ability.","Friendly NORN EMISSARY/NORN ASSIMILATOR units have the following ability: Protean Purpose – (Once per battle, per unit) In your Command phase, you can use this ability. If you do, this unit can make a selection for its Singular Purpose ability (this replaces the previous selection)."
tyranids_warrior_bioform_onslaught,Tyranids,Warrior Bioform Onslaught,DETACHMENT_RULE,tyranids_warrior_bioform_onslaught_detachment_rule_leader_beasts,Leader‑Beasts,,,1,Take and Hold,"Friendly TYRANID WARRIORS with ranged or melee bio‑weapons gain the TYRANID WARRIORS keyword and become Battleline, and TYRANID WARRIORS, Tyranid Prime with Lash Whip, and Winged Tyranid Prime models have a 5+ invulnerable save.","Friendly TYRANID WARRIORS WITH RANGED BIO‑WEAPONS/TYRANID WARRIORS WITH MELEE BIO‑WEAPONS units have: TYRANID WARRIORS and BATTLELINE.

TYRANID WARRIORS/TYRANID PRIME WITH LASH WHIP/WINGED TYRANID PRIME models from your army have 5+ InSv."
tyranids_ambush_predators,,Ambush Predators,ENHANCEMENT,tyranids_ambush_predators_enhancement_encircling_horrors,Encircling Horrors,,,,,"In your opponent’s Movement phase, when an enemy ends a move within 8"" of a NEUROLICTOR/LICTOR/VON RYAN’S LEAPERS unit, that unit can move up to D3+3"".","NEUROLICTOR/LICTOR/VON RYAN’S LEAPERS unit only. In your opponent’s Movement phase, when an enemy unit ends a move within 8"" of this unit, this unit can make a normal move of up to D3+3""."
tyranids_ambush_predators,,Ambush Predators,ENHANCEMENT,tyranids_ambush_predators_enhancement_cryptophotaic_camouflage,Cryptophotaic Camouflage,,,,,"VON RYAN’S LEAPERS: −3"" detection range.","VON RYAN’S LEAPERS unit only. This unit has −3"" detection range."
tyranids_ambush_predators,,Ambush Predators,STRATAGEM,tyranids_ambush_predators_stratagem_counterpredation_1cp,Counterpredation,,1,,,FIGHT: Attacks against a hidden unit have +1 Strength and AP.,"WHEN: Fight phase, when a friendly DEATHLEAPER/LICTOR/NEUROLICTOR/VON RYAN’S LEAPERS unit is selected to fight.

TARGET: That unit.

EFFECT: Your unit’s attacks that target a hidden unit have +1 Strength and AP."
tyranids_ambush_predators,,Ambush Predators,STRATAGEM,tyranids_ambush_predators_stratagem_hypersensory_adaptations_1cp,Hypersensory Adaptations,,1,,,"SHOOTING: Select a visible enemy within 12""; it has +6"" detection range until your unit has shot.","WHEN: Start of your Shooting phase.

TARGET: One friendly DEATHLEAPER/LICTOR/NEUROLICTOR/VON RYAN’S LEAPERS unit.

EFFECT: Select one visible enemy unit within 12"" of your unit. That enemy unit has +6"" detection range."
