Enhancement_ID,Detachment_ID,Enhancement_Name,Points,Short_Description,Long_Description,Tags
tyranids_ambush_predators_enhancement_encircling_horrors,tyranids_ambush_predators,Encircling Horrors,20,"In your opponent’s Movement phase, when an enemy ends a move within 8"" of a NEUROLICTOR/LICTOR/VON RYAN’S LEAPERS unit, that unit can move up to D3+3"".","NEUROLICTOR/LICTOR/VON RYAN’S LEAPERS unit only. In your opponent’s Movement phase, when an enemy unit ends a move within 8"" of this unit, this unit can make a normal move of up to D3+3"".",
tyranids_ambush_predators_enhancement_cryptophotaic_camouflage,tyranids_ambush_predators,Cryptophotaic Camouflage,15,"VON RYAN’S LEAPERS: −3"" detection range.","VON RYAN’S LEAPERS unit only. This unit has −3"" detection range.",
tyranids_invasion_fleet_enhancement_adaptive_biology,tyranids_invasion_fleet,Adaptive Biology,25,"FNP 5+. If it starts the turn with less than starting wounds, then FNP 4+.","Tyranids model only. The bearer has the Feel No Pain 5+ ability. At the start of any turn, if the bearer has fewer than its starting number of wounds remaining, until the end of the battle, it has the Feel No Pain 4+ ability instead.",
tyranids_invasion_fleet_enhancement_alien_cunning,tyranids_invasion_fleet,Alien Cunning,30,"After deployment, up to three units can redeploy. Can also put in Strategic Reserves, regardless of how many units are already in Strategic Reserves.","Tyranids model only. After both players have deployed their armies, select up to three Tyranids units from your army and redeploy them. When doing so, you can set those units up in Strategic Reserves if you wish, regardless of how many units are already in Strategic Reserves.",
tyranids_invasion_fleet_enhancement_perfectly_adapted,tyranids_invasion_fleet,Perfectly Adapted,15,"Each Turn, re-roll one To Hit, To Wound, Damage, Advance, Charge or one Save throw made for the bearer.","Tyranids model only. Once per turn, you can re-roll one Hit roll, one Wound roll, one Damage roll, one Advance roll, one Charge roll or one saving throw made for the bearer.",
tyranids_invasion_fleet_enhancement_synaptic_linchpin,tyranids_invasion_fleet,Synaptic Linchpin,20,"Synapse 9""","Tyranids model only. While a friendly Tyranids unit is within 9"" of the bearer, that unit is within Synapse Range of your army.",
tyranids_subterranean_assault_enhancement_synaptic_strategy,tyranids_subterranean_assault,Synaptic Strategy,15,Free Rapid Ingress,"Tyranids model only. Once per battle, you can target the bearer’s unit with the Rapid Ingress stratagem for 0CP, and can do so even if you have already targeted a different unit with that Stratagem this phase.",
tyranids_subterranean_assault_enhancement_tremor_senses,tyranids_subterranean_assault,Tremor Senses,20,3 units redeploy or go to reserves.,"Tyranids model only. After both players have deployed their armies, select up to three friendly Tyranids units from your army and redeploy them. When doing so, you can set those units up in Strategic Reserves, regardless of how many units are already in Strategic Reserves.",
tyranids_subterranean_assault_enhancement_vanguard_intellect,tyranids_subterranean_assault,Vanguard Intellect,15,Deepstrike Turn 1,"Tyranids model with the Deep Strike ability only. The bearer’s unit can be set up using the Deep Strike ability in the Reinforcements step of your first, second or third Movement phase, regardless of any mission rules.",
tyranids_subterranean_assault_enhancement_trygon_prime,tyranids_subterranean_assault,Trygon Prime,20,"Trygon get SYNAPSE, CHARACTER, +1 Strength and +1 BS. Points and Stat changes are already included in the Trygon Prime profile.","Trygon model only. The bearer gains the Synapse keyword. Improve the Strength and Weapon Skill characteristics of melee weapons equipped by the bearer by 1.

Stat changes are already included in the Trygon Prime profile.",
tyranids_talons_of_the_norn_queen_enhancement_destabilising_predation,tyranids_talons_of_the_norn_queen,Destabilising Predation,20,NORN EMISSARY unit only. Ranged attacks have [ANTI‑CHARACTER 2+].,NORN EMISSARY unit only. This unit’s ranged attacks have [ANTI‑CHARACTER 2+].,
tyranids_talons_of_the_norn_queen_enhancement_synapto_prescience,tyranids_talons_of_the_norn_queen,Synapto Prescience,30,NORN ASSIMILATOR unit only. This unit has a 4+ invulnerable save.,NORN ASSIMILATOR unit only. This unit has 4+ InSv.,
tyranids_vanguard_onslaught_enhancement_hunting_grounds,tyranids_vanguard_onslaught,Hunting Grounds,30,Enemy from Reserves take Battle-shock,"TYRANIDS model only. While the bearer is on the battlefield, each time your opponent sets up a Reserves unit on the battlefield, roll one D6: on a 2+, that unit must take a Battle-shock test.",
tyranids_vanguard_onslaught_enhancement_chameleonic,tyranids_vanguard_onslaught,Chameleonic,15,VANGUARD INVADER model gets Stealth,VANGUARD INVADER model only. This unit has the Stealth ability.,
tyranids_vanguard_onslaught_enhancement_stalker,tyranids_vanguard_onslaught,Stalker,10,Select Enemy = +1 To Hit and +1 To Wound,"VANGUARD INVADER model only. At the start of the battle, select one enemy unit. Each time the bearer makes an attack that targets that enemy unit, add 1 to the Hit roll and add 1 to the Wound roll.",
tyranids_vanguard_onslaught_enhancement_neuronode,tyranids_vanguard_onslaught,Neuronode,20,Redeploy units,"TYRANIDS model only. After both players have deployed their armies, you can select up to three VANGUARD INVADER units from your army and redeploy all of those units. When doing so, any of those units can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves.",
tyranids_warrior_bioform_onslaught_enhancement_elevated_might,tyranids_warrior_bioform_onslaught,Elevated Might,30,"TYRANID PRIME model (both types) only.
Melee re‑roll wound rolls and have +1 AP.",WINGED TYRANID PRIME/TYRANID PRIME WITH LASH WHIP model only. This model’s melee attacks can re‑roll wound rolls and have +1 AP.,
tyranids_warrior_bioform_onslaught_enhancement_ocular_adaptation,tyranids_warrior_bioform_onslaught,Ocular Adaptation,20,"TYRANID PRIME model (both types) only.
Melee attacks have +1 to hit rolls.",WINGED TYRANID PRIME/TYRANID PRIME WITH LASH WHIP model only. This unit’s melee attacks have +1 to hit rolls.,
