Loadout_Option_ID,Required_Group_ID,Compatible_Option_ID,Rule_Order,Option_Order,Compatibility_ID
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS,SCYTHING_TALONS,CARNIFEX_SCYTHING_TALONS,1,1,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS__TO__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS,SCYTHING_TALONS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,1,2,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS__TO__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS,SCYTHING_TALONS,DEVOURERS_WITH_BRAINLEECH_WORMS,1,3,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS__TO__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS,SCYTHING_TALONS,CARNIFEX_CRUSHING_CLAWS,1,4,CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS__TO__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,SCYTHING_TALONS,CARNIFEX_SCYTHING_TALONS,1,1,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS__TO__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,SCYTHING_TALONS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,1,2,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS__TO__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,SCYTHING_TALONS,DEVOURERS_WITH_BRAINLEECH_WORMS,1,3,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS__TO__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,SCYTHING_TALONS,CARNIFEX_CRUSHING_CLAWS,1,4,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS__TO__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,SCYTHING_TALONS,CARNIFEX_SCYTHING_TALONS,1,1,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS__TO__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,SCYTHING_TALONS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,1,2,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS__TO__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,SCYTHING_TALONS,DEVOURERS_WITH_BRAINLEECH_WORMS,1,3,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS__TO__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,SCYTHING_TALONS,CARNIFEX_CRUSHING_CLAWS,1,4,CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS__TO__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS
