Loadout_Option_ID,Weapon_ID,Weapon_Role,Sort_Order
TYRANNOFEX__MAIN_WEAPON__TYRANNOFEX_FLESHBORER_HIVE,FLESHBORER_HIVE_TYRANNOFEX,SELECTED,1
TYRANNOFEX__MAIN_WEAPON__TYRANNOFEX_ACID_SPRAY,ACID_SPRAY_TYRANNOFEX,SELECTED,1
TYRANNOFEX__MAIN_WEAPON__TYRANNOFEX_RUPTURE_CANNON,RUPTURE_CANNON,SELECTED,1
TYRANT_GUARD__TYRANT_GUARD_WEAPON__TYRANT_GUARD_CRUSHING_CLAWS,CRUSHING_CLAWS_AND_RENDING_CLAWS,SELECTED,1
TYRANT_GUARD__TYRANT_GUARD_WEAPON__TYRANT_GUARD_BONE_CLEAVER,BONE_CLEAVER_WITH_LASH_WHIP_AND_RENDING_CLAWS,SELECTED,1
TYRANT_GUARD__TYRANT_GUARD_WEAPON__TYRANT_GUARD_SCYTHING_TALONS,SCYTHING_TALONS_AND_RENDING_CLAWS,SELECTED,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_EXTRA_SCYTHING_TALONS,CARNIFEX_EXTRA_SCYTHING_TALONS,SELECTED,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,SELECTED,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,DEVOURERS_WITH_BRAINLEECH_WORMS,SELECTED,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__HEAVY_VENOM_CANNON,HEAVY_VENOM_CANNON,SELECTED,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__STRANGLETHORN_CANNON,STRANGLETHORN_CANNON,SELECTED,1
CARNIFEXES__EXTRA_SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,CARNIFEX_CRUSHING_CLAWS,SELECTED,1
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_SCYTHING_TALONS,CARNIFEX_SCYTHING_TALONS,SELECTED,1
CARNIFEXES__SCYTHING_TALONS__DEATHSPITTERS_WITH_SLIMER_MAGGOTS,DEATHSPITTERS_WITH_SLIMER_MAGGOTS,SELECTED,1
CARNIFEXES__SCYTHING_TALONS__DEVOURERS_WITH_BRAINLEECH_WORMS,DEVOURERS_WITH_BRAINLEECH_WORMS,SELECTED,1
CARNIFEXES__SCYTHING_TALONS__CARNIFEX_CRUSHING_CLAWS,CARNIFEX_CRUSHING_CLAWS,SELECTED,1
