Unit_ID,Ability_ID,Ability_Type
BIOVORE,SEED_SPORE_MINES,ABILITY
BIOVORE,SPORE_MINES,ABILITY
BIOVORE,DEADLY_DEMISE_1,CORE_ABILITY
BROODLORD,VICIOUS_INSIGHT,ABILITY
BROODLORD,HYPNOTIC_GAZE_PSYCHIC,ABILITY
BROODLORD,LEADER_BROODLORD,ABILITY
BROODLORD,SCOUTS_8,CORE_ABILITY
CARNIFEX_VENOM_CANNON_CRUSHING_CLAWS,BLISTERING_ASSAULT,ABILITY
CARNIFEX_VENOM_CANNON_CRUSHING_CLAWS,DEADLY_DEMISE_1,CORE_ABILITY
CARNIFEXES,BLISTERING_ASSAULT,ABILITY
CARNIFEXES,DEADLY_DEMISE_1,CORE_ABILITY
DEATHLEAPER,FEEDER_TENDRILS,ABILITY
DEATHLEAPER,FEAR_OF_THE_UNSEEN_AURA,ABILITY
DEATHLEAPER,FIGHTS_FIRST,CORE_ABILITY
DEATHLEAPER,INFILTRATORS,CORE_ABILITY
DEATHLEAPER,LONE_OPERATIVE,CORE_ABILITY
DEATHLEAPER,STEALTH,CORE_ABILITY
EXOCRINE,SYMBIOTIC_TARGETING,ABILITY
EXOCRINE,DEADLY_DEMISE_D3,CORE_ABILITY
EXOCRINE,DAMAGED_1_5,CORE_ABILITY
GARGOYLES,WINGED_SWARM,ABILITY
GARGOYLES,DEEP_STRIKE,CORE_ABILITY
GENESTEALERS,VANGUARD_PREDATOR,ABILITY
GENESTEALERS,SCOUTS_8,CORE_ABILITY
HARUSPEX,GRISLY_SPECTACLE,ABILITY
HARUSPEX,DEADLY_DEMISE_D3,CORE_ABILITY
HARUSPEX,DAMAGED_1_5,CORE_ABILITY
HIVE_GUARD,DEFENSIVE_STANCE,ABILITY
HIVE_TYRANT,WILL_OF_THE_HIVE_MIND,ABILITY
HIVE_TYRANT,ONSLAUGHT_AURA_PSYCHIC,ABILITY
HIVE_TYRANT,LEADER_HIVE_TYRANT,ABILITY
HIVE_TYRANT,DEADLY_DEMISE_D3,CORE_ABILITY
HORMAGAUNTS,BOUNDING_LEAP,ABILITY
HYPERADAPTED_RAVENERS,ALPHA_INVADER,ABILITY
HYPERADAPTED_RAVENERS,HYPERSENSORY_ARRAY,ABILITY
HYPERADAPTED_RAVENERS,RAVENER_PRIME,ABILITY
HYPERADAPTED_RAVENERS,LEADER_HYPERADAPTED_RAVENERS,ABILITY
HYPERADAPTED_RAVENERS,DEEP_STRIKE,CORE_ABILITY
LICTOR,FEEDER_TENDRILS,ABILITY
LICTOR,PHEROMONE_TRAIL,ABILITY
LICTOR,FIGHTS_FIRST,CORE_ABILITY
LICTOR,INFILTRATORS,CORE_ABILITY
LICTOR,LONE_OPERATIVE,CORE_ABILITY
LICTOR,STEALTH,CORE_ABILITY
MALECEPTOR,ENCEPHALIC_DIFFUSION_AURA_AND_PSYCHIC,ABILITY
MALECEPTOR,DEADLY_DEMISE_D3,CORE_ABILITY
MALECEPTOR,DAMAGED_1_5,CORE_ABILITY
MAWLOC,TERROR_FROM_THE_DEEP,ABILITY
MAWLOC,DEEP_STRIKE,CORE_ABILITY
MAWLOC,DAMAGED_1_5,CORE_ABILITY
NEUROGAUNTS,NEUROCYTES,ABILITY
NEUROLICTOR,FEEDER_TENDRILS,ABILITY
NEUROLICTOR,NEURAL_DISRUPTION,ABILITY
NEUROLICTOR,PSYCHOLOGICAL_SABOTEUR_AURA,ABILITY
NEUROLICTOR,INFILTRATORS,CORE_ABILITY
NEUROLICTOR,LONE_OPERATIVE,CORE_ABILITY
NEUROLICTOR,STEALTH,CORE_ABILITY
NEUROTYRANT,NODE_LASH_PSYCHIC,ABILITY
NEUROTYRANT,PSYCHIC_TERROR_PSYCHIC,ABILITY
NEUROTYRANT,NEUROLOIDS,ABILITY
NEUROTYRANT,LEADER_NEUROTYRANT,ABILITY
NORN_ASSIMILATOR,SINGULAR_PURPOSE,ABILITY
NORN_ASSIMILATOR,HARPOON_BARBS,ABILITY
NORN_ASSIMILATOR,DEADLY_DEMISE_D6,CORE_ABILITY
NORN_ASSIMILATOR,DAMAGED_1_5,CORE_ABILITY
NORN_EMISSARY,SINGULAR_PURPOSE,ABILITY
NORN_EMISSARY,UNNATURAL_RESILIENCE,ABILITY
NORN_EMISSARY,DEADLY_DEMISE_D6,CORE_ABILITY
NORN_EMISSARY,DAMAGED_1_5,CORE_ABILITY
OLD_ONE_EYE,ALPHA_LEADER,ABILITY
OLD_ONE_EYE,UNSTOPPABLE_MONSTER,ABILITY
OLD_ONE_EYE,LEADER_OLD_ONE_EYE,ABILITY
OLD_ONE_EYE,FEEL_NO_PAIN_5,CORE_ABILITY
PSYCHOPHAGE,BIO_STIMULUS,ABILITY
PSYCHOPHAGE,FEEDING_FRENZY,ABILITY
PSYCHOPHAGE,DEADLY_DEMISE_1,CORE_ABILITY
PSYCHOPHAGE,FEEL_NO_PAIN_5,CORE_ABILITY
PYROVORE,BURNING_SPRAY,ABILITY
PYROVORE,DEADLY_DEMISE_1,CORE_ABILITY
RAVENERS,DEATH_FROM_BELOW,ABILITY
RAVENERS,DEEP_STRIKE,CORE_ABILITY
SCREAMER_KILLER,DEATH_SCREAM,ABILITY
SCREAMER_KILLER,DEADLY_DEMISE_1,CORE_ABILITY
TERMAGANTS,SKULKING_HORRORS,ABILITY
TERVIGON,SPAWN_TERMAGANTS,ABILITY
TERVIGON,BROOD_PROGENITOR_AURA_AND_PSYCHIC,ABILITY
TERVIGON,DEADLY_DEMISE_D6,CORE_ABILITY
TERVIGON,DAMAGED_1_5,CORE_ABILITY
THE_RED_TERROR,SWALLOW_WHOLE,ABILITY
THE_RED_TERROR,SUBTERRANEAN_HUNTER,ABILITY
THE_RED_TERROR,SERPENTINE_FIEND,ABILITY
THE_RED_TERROR,DEEP_STRIKE,CORE_ABILITY
THE_SWARMLORD,HIVE_COMMANDER,ABILITY
THE_SWARMLORD,MALIGN_PRESENCE_AURA,ABILITY
THE_SWARMLORD,DOMINATION_OF_THE_HIVE_MIND_AURA,ABILITY
THE_SWARMLORD,LEADER_THE_SWARMLORD,ABILITY
THE_SWARMLORD,DEADLY_DEMISE_D3,CORE_ABILITY
TOXICRENE,GRASPING_TENDRILS,ABILITY
TOXICRENE,HYPERTOXIC_MIASMA_AURA,ABILITY
TOXICRENE,DEADLY_DEMISE_D3,CORE_ABILITY
TRYGON,SUBTERRANEAN_TUNNELS,ABILITY
TRYGON,DEEP_STRIKE,CORE_ABILITY
TRYGON,DAMAGED_1_5,CORE_ABILITY
TRYGON_HQ,SUBTERRANEAN_TUNNELS,ABILITY
TRYGON_HQ,DEEP_STRIKE,CORE_ABILITY
TRYGON_HQ,DAMAGED_1_5,CORE_ABILITY
TRYGON_PRIME,SUBTERRANEAN_TUNNELS,ABILITY
TRYGON_PRIME,TRYGON_PRIME,ABILITY
TRYGON_PRIME,DEEP_STRIKE,CORE_ABILITY
TRYGON_PRIME,DAMAGED_1_5,CORE_ABILITY
TYRANID_WARRIORS_WITH_MELEE_BIO_WEAPONS,ADAPTIVE_INSTINCTS,ABILITY
TYRANID_WARRIORS_WITH_RANGED_BIO_WEAPONS,ADAPTABLE_PREDATORS,ABILITY
TYRANNOFEX,RESILIENT_ORGANISM,ABILITY
TYRANNOFEX,DEADLY_DEMISE_D6,CORE_ABILITY
TYRANNOFEX,DAMAGED_1_5,CORE_ABILITY
TYRANT_GUARD,GUARDIAN_ORGANISM,ABILITY
VENOMTHROPES,FOUL_SPORES_AURA,ABILITY
VENOMTHROPES,STEALTH,CORE_ABILITY
VON_RYANS_LEAPERS,POUNCING_LEAP,ABILITY
VON_RYANS_LEAPERS,FIGHTS_FIRST,CORE_ABILITY
VON_RYANS_LEAPERS,INFILTRATORS,CORE_ABILITY
VON_RYANS_LEAPERS,STEALTH,CORE_ABILITY
WINGED_HIVE_TYRANT,WILL_OF_THE_HIVE_MIND,ABILITY
WINGED_HIVE_TYRANT,PAROXYSM_PSYCHIC,ABILITY
WINGED_HIVE_TYRANT,DEEP_STRIKE,CORE_ABILITY
WINGED_HIVE_TYRANT,DEADLY_DEMISE_D3,CORE_ABILITY
WINGED_TYRANID_PRIME,ALPHA_WARRIOR,ABILITY
WINGED_TYRANID_PRIME,DEATH_BLOW,ABILITY
WINGED_TYRANID_PRIME,LEADER_WINGED_TYRANID_PRIME,ABILITY
WINGED_TYRANID_PRIME,DEEP_STRIKE,CORE_ABILITY
ZOANTHROPES,SPIRIT_LEECH_AURA_AND_PSYCHIC,ABILITY
ZOANTHROPES,WARP_FIELD_AURA_AND_PSYCHIC,ABILITY
TYRANID_PRIME_WITH_LASH_WHIP,ALPHA_WARRIOR_TYRANID_PRIME_WITH_LASH_WHIP,ABILITY
TYRANID_PRIME_WITH_LASH_WHIP,AGGRESSIVE_LEADER_BEAST,ABILITY
TYRANID_PRIME_WITH_LASH_WHIP,LEADER_TYRANID_PRIME_WITH_LASH_WHIP,ABILITY
