Unit_ID,Point_Option_ID,Label,Cost,Sort_Order
BIOVORE,point_1,,60,1
BROODLORD,point_1,x1,80,1
BROODLORD,point_2,x2,160,2
CARNIFEX_VENOM_CANNON_CRUSHING_CLAWS,point_1,x1,90,1
CARNIFEX_VENOM_CANNON_CRUSHING_CLAWS,point_2,x2,180,2
CARNIFEXES,point_1,,90,1
DEATHLEAPER,point_1,,80,1
EXOCRINE,point_1,x1,140,1
EXOCRINE,point_2,x2,280,2
GARGOYLES,point_1,x10,80,1
GARGOYLES,point_2,10x2,160,2
GARGOYLES,point_3,20x1,155,3
GENESTEALERS,point_1,x10,140,1
GENESTEALERS,point_2,10x2,280,2
GENESTEALERS,point_3,5x1,75,3
GENESTEALERS,point_4,5x2,150,4
HARUSPEX,point_1,,125,1
HIVE_GUARD,point_1,x3,80,1
HIVE_GUARD,point_2,x6,160,2
HIVE_TYRANT,point_1,,195,1
HORMAGAUNTS,point_1,x10,70,1
HORMAGAUNTS,point_2,10x2,140,2
HORMAGAUNTS,point_3,x20,120,3
HYPERADAPTED_RAVENERS,point_1,x5,165,1
HYPERADAPTED_RAVENERS,point_2,5x2,330,2
HYPERADAPTED_RAVENERS,point_3,5x3,505,3
LICTOR,point_1,x1,60,1
LICTOR,point_2,x2,120,2
LICTOR,point_3,x3,180,3
MALECEPTOR,point_1,x1,180,1
MALECEPTOR,point_2,x2,360,2
MAWLOC,point_1,,135,1
NEUROGAUNTS,point_1,x11,45,1
NEUROGAUNTS,point_2,x22,90,2
NEUROLICTOR,point_1,,80,1
NEUROTYRANT,point_1,,115,1
NORN_ASSIMILATOR,point_1,1st,250,1
NORN_ASSIMILATOR,point_2,2nd+,270,2
NORN_EMISSARY,point_1,,250,1
OLD_ONE_EYE,point_1,,140,1
PSYCHOPHAGE,point_1,,110,1
PYROVORE,point_1,,45,1
RAVENERS,point_1,x5,125,1
RAVENERS,point_2,5x2,250,2
RAVENERS,point_3,5x3,385,3
SCREAMER_KILLER,point_1,,125,1
TERMAGANTS,point_1,x10,60,1
TERMAGANTS,point_2,10x2,120,2
TERMAGANTS,point_3,10x3,180,3
TERMAGANTS,point_4,x20,110,4
TERMAGANTS,point_5,20x2,240,5
TERVIGON,point_1,,160,1
THE_RED_TERROR,point_1,,130,1
THE_SWARMLORD,point_1,,210,1
TOXICRENE,point_1,,135,1
TRYGON,point_1,,140,1
TRYGON_HQ,point_1,,140,1
TRYGON_PRIME,point_1,,160,1
TYRANID_WARRIORS_WITH_MELEE_BIO_WEAPONS,point_1,x3,75,1
TYRANID_WARRIORS_WITH_MELEE_BIO_WEAPONS,point_2,x6,150,2
TYRANID_WARRIORS_WITH_RANGED_BIO_WEAPONS,point_1,x3,60,1
TYRANNOFEX,point_1,,170,1
TYRANT_GUARD_BONE_CLEAVER,point_1,,80,1
TYRANT_GUARD_CLAWS,point_1,x3,80,1
TYRANT_GUARD_CLAWS,point_2,x6,160,2
VENOMTHROPES,point_1,,55,1
VON_RYANS_LEAPERS,point_1,,60,1
WINGED_HIVE_TYRANT,point_1,,185,1
WINGED_TYRANID_PRIME,point_1,,65,1
ZOANTHROPES,point_1,x3,100,1
ZOANTHROPES,point_2,x6,200,2
ZOANTHROPES,point_3,3x2,200,3
