Unit_ID,Unit Name,"M""",T,SV,W,LD,OC,Keywords,Hyperlink
BIOVORE,Biovore,"5""",6,3+,5,8,1,"INFANTRY, GREAT DEVOURER, BIOVORES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Biovores
BROODLORD,Broodlord,"8""",5,4+ / 4++,6,7,1,"INFANTRY, CHARACTER, PSYKER, GREAT DEVOURER, SYNAPSE, VANGUARD INVADER, BROODLORD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Broodlord
CARNIFEX_VENOM_CANNON_CRUSHING_CLAWS,"Carnifex: Venom cannon, Crushing claws","8""",9,2+,8,8,3,"MONSTER, GREAT DEVOURER, CARNIFEXES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Carnifexes
CARNIFEXES,Carnifexes,"8""",9,2+,8,8,3,"MONSTER, GREAT DEVOURER, CARNIFEXES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Carnifexes
DEATHLEAPER,Deathleaper,"8""",6,3+ / 4++,7,7,1,"INFANTRY, CHARACTER, EPIC HERO, GREAT DEVOURER, VANGUARD INVADER, DEATHLEAPER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Deathleaper
EXOCRINE,Exocrine,"8""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, EXOCRINE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Exocrine
GARGOYLES,Gargoyles,"12""",3,6+,1,8,2,"INFANTRY, BATTLELINE, FLY, GREAT DEVOURER, ENDLESS MULTITUDE, VANGUARD INVADER, GARGOYLES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Gargoyles
GENESTEALERS,Genestealers,"8""",4,5+ / 5++,2,7,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Genestealers
HARUSPEX,Haruspex,"8""",11,3+,14,8,4,"MONSTER, GREAT DEVOURER, HARVESTER, HARUSPEX",https://wahapedia.ru/wh40k11ed/factions/tyranids/Haruspex
HIVE_GUARD,Hive Guard,"6""",7,3+,4,8,1,"INFANTRY, GREAT DEVOURER, HIVE GUARD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hive-Guard
HIVE_TYRANT,Hive Tyrant,"8""",10,2+ / 4++,10,7,3,"MONSTER, CHARACTER, PSYKER, GREAT DEVOURER, SYNAPSE, HIVE TYRANT",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hive-Tyrant
HORMAGAUNTS,Hormagaunts,"10""",3,5+,1,8,2,"INFANTRY, BATTLELINE, GREAT DEVOURER, ENDLESS MULTITUDE, HORMAGAUNTS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hormagaunts
HYPERADAPTED_RAVENERS,Hyperadapted Raveners,"10""",5,4+,3,7,1,"ALL MODELS: INFANTRY, GREAT DEVOURER, VANGUARD INVADER, BURROWERS, HYPERADAPTED RAVENERS
RAVENER PRIME: CHARACTER, SYNAPSE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hyperadapted-Raveners
LICTOR,Lictor,"8""",6,4+,6,7,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, LICTOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Lictor
MALECEPTOR,Maleceptor,"8""",11,3+ / 4++,14,7,4,"MONSTER, PSYKER, GREAT DEVOURER, SYNAPSE, MALECEPTOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Maleceptor
MAWLOC,Mawloc,"10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, MAWLOC, BURROWER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Mawloc
NEUROGAUNTS,Neurogaunts,"6""",3,6+,1,8,1,"INFANTRY, GREAT DEVOURER, ENDLESS MULTITUDE, NEUROGAUNTS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Neurogaunts
NEUROLICTOR,Neurolictor,"8""",5,4+ / 4++,7,7,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, SYNAPSE, NEUROLICTOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Neurolictor
NEUROTYRANT,Neurotyrant,"6""",8,4+ / 4++,9,7,3,"MONSTER, CHARACTER, FLY, PSYKER, GREAT DEVOURER, SYNAPSE, NEUROTYRANT",https://wahapedia.ru/wh40k11ed/factions/tyranids/Neurotyrant
NORN_ASSIMILATOR,Norn Assimilator,"10""",11,2+,16,7+,5,"MONSTER, GREAT DEVOURER, SYNAPSE, HARVESTER, NORN ASSIMILATOR",https://wahapedia.ru/wh40k11ed/factions/tyranids/Norn-Assimilator
NORN_EMISSARY,Norn Emissary,"10""",11,2+ / 4++,16,7,5,"MONSTER, PSYKER, GREAT DEVOURER, SYNAPSE, NORN EMISSARY",https://wahapedia.ru/wh40k11ed/factions/tyranids/Norn-Emissary
OLD_ONE_EYE,Old One Eye,"8""",9,2+,9,8,3,"MONSTER, CHARACTER, EPIC HERO, GREAT DEVOURER, OLD ONE EYE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Old-One-Eye
PSYCHOPHAGE,Psychophage,"12""",9,3+,10,8,3,"MONSTER, GREAT DEVOURER, SMOKE, HARVESTER, PSYCHOPHAGE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Psychophage
PYROVORE,Pyrovore,"5""",6,3+,5,8,1,"INFANTRY, GREAT DEVOURER, HARVESTER, PYROVORES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Pyrovores
RAVENERS,Raveners,"10""",5,4+,3,8,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, RAVENERS, BURROWERS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Raveners
SCREAMER_KILLER,Screamer-Killer,"8""",9,2+,10,8,3,"MONSTER, GREAT DEVOURER, SCREAMER-KILLER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Screamer-killer
TERMAGANTS,Termagants,"6""",3,5+,1,8,2,"INFANTRY, BATTLELINE, GREAT DEVOURER, ENDLESS MULTITUDE, TERMAGANTS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Termagants
TERVIGON,Tervigon,"8""",11,2+,16,7,5,"MONSTER, CHARACTER, PSYKER, GREAT DEVOURER, SYNAPSE, TERVIGON",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tervigon
THE_RED_TERROR,The Red Terror,"10""",8,3+,9,8,3,"CHARACTER, EPIC HERO, GREAT DEVOURER, MONSTER, BURROWER, VANGUARD INVADER, THE RED TERROR",https://wahapedia.ru/wh40k11ed/factions/tyranids/The-Red-Terror
THE_SWARMLORD,The Swarmlord,"8""",10,2+ / 4++,10,7,3,"MONSTER, CHARACTER, EPIC HERO, PSYKER, GREAT DEVOURER, SYNAPSE, HIVE TYRANT, THE SWARMLORD",https://wahapedia.ru/wh40k11ed/factions/tyranids/The-Swarmlord
TOXICRENE,Toxicrene,"8""",11,3+,14,8,1,"MONSTER, GREAT DEVOURER, TOXICRENE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Toxicrene
TRYGON,Trygon,"10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, TRYGON",https://wahapedia.ru/wh40k11ed/factions/tyranids/Trygon
TRYGON_HQ,Trygon HQ,"10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, TRYGON, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Trygon
TRYGON_PRIME,Trygon Prime,"10""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, VANGUARD INVADER, TRYGON, CHARACTER, SYNAPSE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Trygon
TYRANID_WARRIORS_WITH_MELEE_BIO_WEAPONS,Tyranid Warriors With Melee Bio-weapons,"6""",5,4+,3,7,2,"INFANTRY, GREAT DEVOURER, SYNAPSE, TYRANID WARRIORS WITH MELEE BIO-WEAPONS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyranid-Warriors-With-Melee-Bio-weapons
TYRANID_WARRIORS_WITH_RANGED_BIO_WEAPONS,Tyranid Warriors With Ranged Bio-weapons,"6""",5,4+,3,7,2,"INFANTRY, GREAT DEVOURER, SYNAPSE, TYRANID WARRIORS WITH RANGED BIO-WEAPONS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyranid-Warriors-With-Ranged-Bio-weapons
TYRANNOFEX,Tyrannofex,"9""",12,2+,16,8,5,"MONSTER, GREAT DEVOURER, TYRANNOFEX",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyrannofex
TYRANT_GUARD_BONE_CLEAVER,Tyrant Guard - Bone cleaver,"6""",8,3+,4,8,1,"INFANTRY, GREAT DEVOURER, TYRANT GUARD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyrant-Guard
TYRANT_GUARD_CLAWS,Tyrant Guard - Claws,"6""",8,3+,4,8,1,"INFANTRY, GREAT DEVOURER, TYRANT GUARD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Tyrant-Guard
VENOMTHROPES,Venomthropes,"6""",5,4+,3,8,1,,https://wahapedia.ru/wh40k11ed/factions/tyranids/Venomthropes
VON_RYANS_LEAPERS,Von Ryan's Leapers,"10""",5,4+ / 6++,3,8,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER, VON RYAN’S LEAPERS",https://wahapedia.ru/wh40k11ed/factions/tyranids/Von-Ryan-s-Leapers
WINGED_HIVE_TYRANT,Winged Hive Tyrant,"12""",9,2+ / 4++,10,7,3,"MONSTER, CHARACTER, PSYKER, FLY, GREAT DEVOURER, SYNAPSE, VANGUARD INVADER, HIVE TYRANT, WINGED HIVE TYRANT",https://wahapedia.ru/wh40k11ed/factions/tyranids/Winged-Hive-Tyrant
WINGED_TYRANID_PRIME,Winged Tyranid Prime,"12""",5,4+,6,7,1,"INFANTRY, CHARACTER, FLY, GREAT DEVOURER, SYNAPSE, VANGUARD INVADER, WINGED TYRANID PRIME",https://wahapedia.ru/wh40k11ed/factions/tyranids/Winged-Tyranid-Prime
ZOANTHROPES,Zoanthropes,"5""",5,5+ / 4++,3,7,1,"INFANTRY, PSYKER, FLY, GREAT DEVOURER, SYNAPSE, ZOANTHROPES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Zoanthropes
