Unit_ID,Layout_Row_ID,Weapon_ID,Row_Type,Row_Label,Sort_Order,Quantity
BIOVORE,,SPORE_MINE_LAUNCHER,,,,
BIOVORE,,CHITIN_BARBED_LIMBS,,,,
BROODLORD,,BROODLORD_CLAWS_AND_TALONS,,,,
CARNIFEXES,,CHITINOUS_CLAWS_AND_TEETH,,,,
DEATHLEAPER,,LICTOR_CLAWS_AND_TALONS,,,,
EXOCRINE,,BIO_PLASMIC_CANNON,,,,
EXOCRINE,,POWERFUL_LIMBS_EXOCRINE,,,,
GARGOYLES,,FLESHBORER,,,,
GARGOYLES,,BLINDING_VENOM,,,,
GENESTEALERS,,GENESTEALER_CLAWS_AND_TALONS,,,,
HARUSPEX,,GRASPING_TONGUE,,,,
HARUSPEX,,RAVENOUS_MAW,,,,
HARUSPEX,,SHOVELLING_CLAWS,,,,
HIVE_GUARD,,SHOCKCANNON,,,,
HIVE_GUARD,,CHITINOUS_CLAWS_AND_TEETH_HIVE_GUARD,,,,
HIVE_TYRANT,,MONSTROUS_BONESWORD_AND_LASH_WHIP,,,,
HIVE_TYRANT,,MONSTROUS_SCYTHING_TALONS,,,,
HORMAGAUNTS,,HORMAGAUNT_TALONS,,,,
HYPERADAPTED_RAVENERS,,VENOM_BOLT,,,,
HYPERADAPTED_RAVENERS,,RAVENER_HEAVY_CLAWS_AND_TALONS,,,,
HYPERADAPTED_RAVENERS,,PRIME_CLAWS_AND_TALONS,,,,
LICTOR,,LICTOR_CLAWS_AND_TALONS,,,,
MALECEPTOR,,PSYCHIC_OVERLOAD,,,,
MALECEPTOR,,MASSIVE_SCYTHING_TALONS_STRIKE_MALECEPTOR,,,,
MALECEPTOR,,MASSIVE_SCYTHING_TALONS_SWEEP_MALECEPTOR,,,,
MAWLOC,,DISTENSIBLE_JAW,,,,
MAWLOC,,MAWLOC_SCYTHING_TALONS,,,,
NEUROGAUNTS,,CHITINOUS_CLAWS_AND_TEETH,,,,
NEUROLICTOR,,PIERCING_CLAWS_AND_TALONS,,,,
NEUROTYRANT,,PSYCHIC_SCREAM,,,,
