Unit_ID,Unit Name,Ability_IDs,Core_Ability_IDs,Weapon_IDs,"M""",T,SV,W,LD,OC,Keywords,Hyperlink,Points_Label_1,Points_Cost_1,Points_Label_2,Points_Cost_2,Points_Label_3,Points_Cost_3,Points_Label_4,Points_Cost_4,Points_Label_5,Points_Cost_5
BIOVORE,Biovore,"SEED_SPORE_MINES, SPORE_MINES",DEADLY_DEMISE_1,"SPORE_MINE_LAUNCHER, CHITIN_BARBED_LIMBS","5""",6,3+,5,8,1,"INFANTRY, GREAT DEVOURER, BIOVORES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Biovores,,60,,,,,,,,
BROODLORD,Broodlord,"VICIOUS_INSIGHT, HYPNOTIC_GAZE_PSYCHIC, LEADING_GENESTEALERS, LEADER_BROODLORD",SCOUTS_8,BROODLORD_CLAWS_AND_TALONS,"8""",5,4+ / 4++,6,7,1,"INFANTRY, CHARACTER, PSYKER, GREAT DEVOURER, SYNAPSE, VANGUARD INVADER, BROODLORD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Broodlord,x1,80,x2,160,,,,,,
CARNIFEX_VENOM_CANNON_CRUSHING_CLAWS,"Carnifex: Venom cannon, Crushing claws",BLISTERING_ASSAULT,DEADLY_DEMISE_1,"HEAVY_VENOM_CANNON, BIO_PLASMA, SPINE_BANKS, CARNIFEX_CRUSHING_CLAWS, CHITINOUS_CLAWS_AND_TEETH","8""",9,2+,8,8,3,"MONSTER, GREAT DEVOURER, CARNIFEXES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Carnifexes,x1,90,x2,180,,,,,,
CARNIFEXES,Carnifexes,BLISTERING_ASSAULT,DEADLY_DEMISE_1,"BIO_PLASMA, SPINE_BANKS, CARNIFEX_SCYTHING_TALONS, CARNIFEX_EXTRA_SCYTHING_TALONS, CHITINOUS_CLAWS_AND_TEETH","8""",9,2+,8,8,3,"MONSTER, GREAT DEVOURER, CARNIFEXES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Carnifexes,,90,,,,,,,,
DEATHLEAPER,Deathleaper,"FEEDER_TENDRILS, FEAR_OF_THE_UNSEEN_AURA","FIGHTS_FIRST, INFILTRATORS, LONE_OPERATIVE, STEALTH",LICTOR_CLAWS_AND_TALONS,"8""",6,3+ / 4++,7,7,1,"INFANTRY, CHARACTER, EPIC HERO, GREAT DEVOURER, VANGUARD INVADER, DEATHLEAPER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Deathleaper,,80,,,,,,,,
EXOCRINE,Exocrine,SYMBIOTIC_TARGETING,"DEADLY_DEMISE_D3, DAMAGED_1_5","BIO_PLASMIC_CANNON, POWERFUL_LIMBS_EXOCRINE","8""",10,3+,14,8,4,"MONSTER, GREAT DEVOURER, EXOCRINE",https://wahapedia.ru/wh40k11ed/factions/tyranids/Exocrine,x1,140,x2,280,,,,,,
GARGOYLES,Gargoyles,WINGED_SWARM,DEEP_STRIKE,"FLESHBORER, BLINDING_VENOM","12""",3,6+,1,8,2,"INFANTRY, BATTLELINE, FLY, GREAT DEVOURER, ENDLESS MULTITUDE, VANGUARD INVADER, GARGOYLES",https://wahapedia.ru/wh40k11ed/factions/tyranids/Gargoyles,x10,80,10x2,160,20x1,155,,,,
GENESTEALERS,Genestealers,VANGUARD_PREDATOR,SCOUTS_8,GENESTEALER_CLAWS_AND_TALONS,"8""",4,5+ / 5++,2,7,1,"INFANTRY, GREAT DEVOURER, VANGUARD INVADER",https://wahapedia.ru/wh40k11ed/factions/tyranids/Genestealers,x10,140,10x2,280,5x1,75,5x2,150,,
HARUSPEX,Haruspex,GRISLY_SPECTACLE,"DEADLY_DEMISE_D3, DAMAGED_1_5","GRASPING_TONGUE, RAVENOUS_MAW, SHOVELLING_CLAWS","8""",11,3+,14,8,4,"MONSTER, GREAT DEVOURER, HARVESTER, HARUSPEX",https://wahapedia.ru/wh40k11ed/factions/tyranids/Haruspex,,125,,,,,,,,
HIVE_GUARD,Hive Guard,DEFENSIVE_STANCE,,"SHOCKCANNON, CHITINOUS_CLAWS_AND_TEETH_HIVE_GUARD","6""",7,3+,4,8,1,"INFANTRY, GREAT DEVOURER, HIVE GUARD",https://wahapedia.ru/wh40k11ed/factions/tyranids/Hive-Guard,x3,80,x6,160,,,,,,
