Weapon_ID,Weapon_Ability_ID,Ability_Type,Target,Value,Condition,Separator_Before,Sort_Order
ACID_SPRAY_TYRANNOFEX,ACID_SPRAY_TYRANNOFEX:ability_1,TORRENT,,,,,1
BIO_ELECTRIC_PULSE,BIO_ELECTRIC_PULSE:ability_1,SUSTAINED HITS,,2,,,1
BIO_PLASMA,BIO_PLASMA:ability_1,ASSAULT,,,,,1
BIO_PLASMA,BIO_PLASMA:ability_2,BLAST,,,,", ",2
BIO_PLASMIC_CANNON,BIO_PLASMIC_CANNON:ability_1,BLAST,,,,,1
BIO_PLASMIC_CANNON,BIO_PLASMIC_CANNON:ability_2,HEAVY,,,,", ",2
BIO_PLASMIC_SCREAM,BIO_PLASMIC_SCREAM:ability_1,ASSAULT,,,,,1
BIO_PLASMIC_SCREAM,BIO_PLASMIC_SCREAM:ability_2,BLAST,,,,", ",2
BONE_SABRES,BONE_SABRES:ability_1,TWIN-LINKED,,,,,1
BROODLORD_CLAWS_AND_TALONS,BROODLORD_CLAWS_AND_TALONS:ability_1,DEVASTATING WOUNDS,,,,,1
BROODLORD_CLAWS_AND_TALONS,BROODLORD_CLAWS_AND_TALONS:ability_2,TWIN-LINKED,,,,", ",2
CARNIFEX_EXTRA_SCYTHING_TALONS,CARNIFEX_EXTRA_SCYTHING_TALONS:ability_1,EXTRA ATTACKS,,,,,1
CHITINOUS_CLAWS_AND_TEETH_RIPPERS,CHITINOUS_CLAWS_AND_TEETH_RIPPERS:ability_1,SUSTAINED HITS,,1,,,1
CRUSHING_CLAWS_AND_RENDING_CLAWS,CRUSHING_CLAWS_AND_RENDING_CLAWS:ability_1,TWIN-LINKED,,,,,1
DISTENSIBLE_JAW,DISTENSIBLE_JAW:ability_1,ANTI,INFANTRY,4+,,,1
DISTENSIBLE_JAW,DISTENSIBLE_JAW:ability_2,DEVASTATING WOUNDS,,,,", ",2
DISTENSIBLE_JAW,DISTENSIBLE_JAW:ability_3,EXTRA ATTACKS,,,,", ",3
FLAMESPURT,FLAMESPURT:ability_1,IGNORES COVER,,,,,1
FLAMESPURT,FLAMESPURT:ability_2,TORRENT,,,,", ",2
FLAMESPURT,FLAMESPURT:ability_3,TWIN-LINKED,,,,", ",3
FLESHBORER,FLESHBORER:ability_1,ASSAULT,,,,,1
GAPING_MAW_RED_TERROR,GAPING_MAW_RED_TERROR:ability_1,EXTRA ATTACKS,,,,,1
GAPING_MAW_RED_TERROR,GAPING_MAW_RED_TERROR:ability_2,DEVASTATING WOUNDS,,,,", ",2
GAPING_MAW_RED_TERROR,GAPING_MAW_RED_TERROR:ability_3,PRECISION,,,,", ",3
GRASPING_TONGUE,GRASPING_TONGUE:ability_1,PRECISION,,,,,1
HEAVY_VENOM_CANNON,HEAVY_VENOM_CANNON:ability_1,BLAST,,,,,1
LICTOR_CLAWS_AND_TALONS,LICTOR_CLAWS_AND_TALONS:ability_1,PRECISION,,,,,1
MASSIVE_TOXIC_LASHES_MELEE,MASSIVE_TOXIC_LASHES_MELEE:ability_1,ANTI,INFANTRY,2+,,,1
MASSIVE_TOXIC_LASHES_RANGE,MASSIVE_TOXIC_LASHES_RANGE:ability_1,ANTI,INFANTRY,2+,,,1
MONSTROUS_BONESWORD_AND_LASH_WHIP,MONSTROUS_BONESWORD_AND_LASH_WHIP:ability_1,TWIN-LINKED,,,,,1
MONSTROUS_RENDING_CLAWS_NORN,MONSTROUS_RENDING_CLAWS_NORN:ability_1,EXTRA ATTACKS,,,,,1
MONSTROUS_SCYTHING_TALONS,MONSTROUS_SCYTHING_TALONS:ability_1,EXTRA ATTACKS,,,,,1
PIERCING_CLAWS_AND_TALONS,PIERCING_CLAWS_AND_TALONS:ability_1,PRECISION,,,,,1
PRIME_CLAWS_AND_TALONS,PRIME_CLAWS_AND_TALONS:ability_1,ANTI,MONSTER,5+,,,1
PRIME_CLAWS_AND_TALONS,PRIME_CLAWS_AND_TALONS:ability_2,ANTI,VEHICLE,5+,,", ",2
PRIME_CLAWS_AND_TALONS,PRIME_CLAWS_AND_TALONS:ability_3,TWIN-LINKED,,,,", ",3
PSYCHIC_OVERLOAD,PSYCHIC_OVERLOAD:ability_1,BLAST,,,,,1
PSYCHIC_OVERLOAD,PSYCHIC_OVERLOAD:ability_2,PSYCHIC,,,,", ",2
PSYCHIC_SCREAM,PSYCHIC_SCREAM:ability_1,IGNORES COVER,,,,,1
PSYCHIC_SCREAM,PSYCHIC_SCREAM:ability_2,PSYCHIC,,,,", ",2
PSYCHIC_SCREAM,PSYCHIC_SCREAM:ability_3,TORRENT,,,,", ",3
PSYCHIC_TENDRIL_NEUROBLAST,PSYCHIC_TENDRIL_NEUROBLAST:ability_1,BLAST,,,,,1
PSYCHIC_TENDRIL_NEUROBLAST,PSYCHIC_TENDRIL_NEUROBLAST:ability_2,PSYCHIC,,,,", ",2
PSYCHIC_TENDRIL_NEUROLANCE,PSYCHIC_TENDRIL_NEUROLANCE:ability_1,MELTA,,2,,,1
PSYCHIC_TENDRIL_NEUROLANCE,PSYCHIC_TENDRIL_NEUROLANCE:ability_2,PSYCHIC,,,,", ",2
PSYCHIC_TENDRIL_NEUROPARASITE,PSYCHIC_TENDRIL_NEUROPARASITE:ability_1,PRECISION,,,,,1
PSYCHIC_TENDRIL_NEUROPARASITE,PSYCHIC_TENDRIL_NEUROPARASITE:ability_2,PSYCHIC,,,,",",2
PSYCHOCLASTIC_TORRENT,PSYCHOCLASTIC_TORRENT:ability_1,IGNORES COVER,,,,,1
PSYCHOCLASTIC_TORRENT,PSYCHOCLASTIC_TORRENT:ability_2,TORRENT,,,,", ",2
RAVENER_CLAWS_AND_TALONS,RAVENER_CLAWS_AND_TALONS:ability_1,TWIN-LINKED,,,,,1
RAVENER_HEAVY_CLAWS_AND_TALONS,RAVENER_HEAVY_CLAWS_AND_TALONS:ability_1,ANTI,MONSTER,5+,,,1
RAVENER_HEAVY_CLAWS_AND_TALONS,RAVENER_HEAVY_CLAWS_AND_TALONS:ability_2,ANTI,VEHICLE,5+,,",",2
RAVENER_HEAVY_CLAWS_AND_TALONS,RAVENER_HEAVY_CLAWS_AND_TALONS:ability_3,TWIN-LINKED,,,,",",3
RUPTURE_CANNON,RUPTURE_CANNON:ability_1,HEAVY,,,,,1
SHOCKCANNON,SHOCKCANNON:ability_1,ANTI,VEHICLE,2+,,,1
SPINE_BANKS,SPINE_BANKS:ability_1,ASSAULT,,,,,1
SPINEMAWS_RIPPERS,SPINEMAWS_RIPPERS:ability_1,PISTOL,,,,,1
SPORE_MINE_LAUNCHER,SPORE_MINE_LAUNCHER:ability_1,BLAST,,,,,1
SPORE_MINE_LAUNCHER,SPORE_MINE_LAUNCHER:ability_2,DEVASTATING WOUNDS,,,,", ",2
SPORE_MINE_LAUNCHER,SPORE_MINE_LAUNCHER:ability_3,HEAVY,,,,", ",3
SPORE_MINE_LAUNCHER,SPORE_MINE_LAUNCHER:ability_4,INDIRECT FIRE,,,,", ",4
SYNAPTIC_PULSE,SYNAPTIC_PULSE:ability_1,PSYCHIC,,,,,1
SYNAPTIC_PULSE,SYNAPTIC_PULSE:ability_2,TORRENT,,,,",",2
TALONS_AND_BETENTACLED_MAW,TALONS_AND_BETENTACLED_MAW:ability_1,ANTI,PSYKER,4+,,,1
TALONS_AND_BETENTACLED_MAW,TALONS_AND_BETENTACLED_MAW:ability_2,DEVASTATING WOUNDS,,,,", ",2
TOXIC_LASHES,TOXIC_LASHES:ability_1,ANTI,INFANTRY,2+,,,1
TYRANID_WARRIOR_CLAWS_AND_TALONS_MELEE_WARRIORS,TYRANID_WARRIOR_CLAWS_AND_TALONS_MELEE_WARRIORS:ability_1,TWIN-LINKED,,,,,1
VENOM_BOLT,VENOM_BOLT:ability_1,ASSAULT,,,,,1
VENOM_BOLT,VENOM_BOLT:ability_2,IGNORES COVER,,,,", ",2
VENOM_BOLT,VENOM_BOLT:ability_3,TORRENT,,,,", ",3
WARP_BLAST_FOCUSED_WITCHFIRE,WARP_BLAST_FOCUSED_WITCHFIRE:ability_1,LETHAL HITS,,,,,1
WARP_BLAST_FOCUSED_WITCHFIRE,WARP_BLAST_FOCUSED_WITCHFIRE:ability_2,PSYCHIC,,,,", ",2
WARP_BLAST_WITCHFIRE,WARP_BLAST_WITCHFIRE:ability_1,BLAST,,,,,1
WARP_BLAST_WITCHFIRE,WARP_BLAST_WITCHFIRE:ability_2,PSYCHIC,,,,", ",2
TOXINJECTOR_HARPOON,TOXINJECTOR_HARPOON:ability_1,HARPOONED,,,,,1
TOXINJECTOR_HARPOON_MELEE,TOXINJECTOR_HARPOON_MELEE:ability_1,EXTRA ATTACKS,,,,,1
FLESHBORER_HIVE_TYRANNOFEX,FLESHBORER_HIVE_TYRANNOFEX:ability_1,HEAVY,,,,,1
FLESHBORER_HIVE_TYRANNOFEX,FLESHBORER_HIVE_TYRANNOFEX:ability_2,SUSTAINED HITS,,1,,", ",2
FLESHBORER_HIVE_TYRANNOFEX,FLESHBORER_HIVE_TYRANNOFEX:ability_3,TWIN-LINKED,,,,", ",3
