Ability_ID,Ability Name,Short Description,Long Description
RAMSHACKLE_BUT_RUGGED,Ramshackle but Rugged,-1 AP vs this model,"Ramshackle but Rugged: Each time an attack is allocated to this model, worsen the Armour Penetration characteristic of that attack by 1."
RED_SKULL_KOMMANDOS,Red Skull Kommandos,Kommandos get Cover,"Red Skull Kommandos: While this model is leading a unit, models in that unit have the Benefit of Cover."
REFUSE_TO_YIELD,Refuse to Yield,Receives 1/2 Damage,
RUNTHERD,Runtherd,"Runtherd: T:5, Sv:5+, W:2, Ld:7, OC:1","Runtherd: Saves: 5+ Wounds: 2 Leadership: 7+ Objective Control: 2 While this unit contains one or more Gretchin models, each time an attack targets this unit, Runtherd models in this unit have a Toughness characteristic of 2."
SAWBONEZ,Sawbonez,"Heals 3 Wounds within 3"" of Beast Snagga character","Sawbonez: At the end of your Movement phase, select one friendly BEAST SNAGGA CHARACTER model within 3"" of this model. That model is healed and regains up to 3 lost wounds. Each model can only be healed once per turn."
SHOKK_BOOSTA,Shokk-boosta,"Advance can be 6"", move through models, then hazard per model.","Shokk-boosta: In your Movement phase, when this unit is selected to make an advance move, you can use this ability. If you do: • This unit can change that advance roll to a 6. • This unit can move through all types of model. • When this unit ends that advance move, make a hazard roll for each model in this unit."
SHOOTY_POWER_TRIP,Shooty Power Trip,"Roll D6: 5+ = +1 Attacks in RANGE 3+ = +1 Strength in RANGE 1,2 = D3 Mortals","Shooty Power Trip: Each time this unit is selected to shoot, you can roll one D6: On a 1-2, this unit suffers D3 mortal wounds. On a 3-4, until the end of the phase, add 1 to the Strength characteristic of ranged weapons equipped by models in this unit. On a 5-6, until the end of the phase, add 1 to the Attacks characteristic of ranged weapons equipped by models in this unit."
SINGLE_MINDED_PREDATOR,Single-minded Predator,"Heroic = 0CP, even if used","Single-minded Predator: You can target this model's unit with the Heroic Intervention Stratagem for 0CP, and can do so even if you have already targeted a different unit with that Stratagem this phase."
SNAGGED,SNAGGED,Hit MONSTER/VEHICLE: Add +2 to Charge and blocks Overwatch,"SNAGGED: Each time this weapon scores a hit against a MONSTER or VEHICLE unit, until the end of the turn, if the bearer selects that unit as a charge target, add 2 to that Charge roll and that enemy unit cannot fire Overwatch at the bearer."
SNAGGED_STIKKA_KANNON,Snagged (Stikka kannon),"Hit MONSTER, VEHICLE = +2 to Charge","Snagged: Each time this weapon scores a hit against a MONSTER or VEHICLE unit, until the end of the turn, if the bearer selects that unit as a target of a charge, add 2 to Charge rolls made for the bearer and enemy units cannot use the Fire Overwatch Stratagem to shoot at the bearer."
SNAGGED_STIKKA_KANNON_2,Snagged Stikka kannon,"Charge +2"" Targetted Monster/Vehicle","Snagged: Each time this weapon scores a hit against an enemy MONSTER or VEHICLE unit, until the end of the turn, if the bearer selects that unit as a target of a charge, add 2 to Charge rolls made for the bearer."
SNEAKY_SURPRISE,Sneaky Surprise,Cannot be Overwatched,Sneaky Surprise: Enemy units cannot use the Fire Overwatch Stratagem to shoot at this unit.
SOMETHIN_TO_PROVE,Somethin' to Prove,This unit's melee attacks have +1 to hit rolls.,Somethin' to Prove: This unit's melee attacks have +1 to hit rolls.
SPECIAL_DOSE,Special Dose,"WAAAGH! = +6"" to Movement","Special Dose: When you call a Waaagh!, until the start of the next battle round, add 6"" to the Move characteristic of models in this model’s unit."
SPEEDBOSS,Speedboss,Leading = +1 To Hit,"Speedboss: While this model is leading a unit, each time a model in that unit makes a melee attack, add 1 to the Hit roll."
SPIRIT_OF_GORK,Spirit of Gork,"Fight phase = +1 Strength, on 6s + LETHAL HITS","Spirit of Gork (Psychic): At the start of the Fight phase, you can select one friendly Orks unit within 12"" of this model and roll one D6: on a 1, this model suffers D3 mortal wounds; on a 2-5, until the end of the phase, add 1 to the Strength characteristic of melee weapons equipped by models in that unit; on a 6, until the end of the phase, add 1 to the Strength characteristic of melee weapons equipped by models in that unit and those weapons have the [LETHAL HITS] ability."
SPIRIT_OF_GORK_PSYCHIC,Spirit of Gork (Psychic),"Figth: 2-5 +1 Strenght to Orks within 12""","Spirit of Gork (Psychic): At the start of the Fight phase, you can select one friendly ORKS unit within 12"" of this model and roll one D6: On a 2-5, until the end of the phase, add 1 to the Strength characteristic of - weapons equipped by models in that unit. On a 6, until the end of the phase, add 1 to the Strength characteristic of - weapons equipped by models in that unit and those weapons have the [LETHAL HITS] ability. On a 1, this model suffers D3 mortal wounds."
STOMPIN_FORWARD,Stompin’ Forward,"Move over non-TITANIC models and terrain 4"" or lower","Stompin’ Forward: Each time this model makes a Normal, Advance or Fall Back move, it can move over models, excluding TITANIC models, and terrain features that are 4"" or less in height as if they were not there."
SUPER_RUNTS,Super Runts,"This unit is riled up. Scavenged Shivs +1 A, WS and S.","Super Runts: • This unit is riled up. • This unit's Scavenged Shivs weapons have +1 A, WS and S."
SUPPORT_BANNERNOB,Support: Bannernob,"SUPPORT: BOYZ, BREAKA BOYZ, BURNA BOYZ, FLASH GITZ, LOOTAS, NOBZ, TANKBUSTAS",Support: This model can be attached to the following units: Boyz; Breaka Boyz; Burna Boyz; Flash Gitz; Lootas; Nobz; Tankbustas.
NEW_SUPPORT_PAINBOY,Support: Painboy,"Can attach to Boyz, Breaka Boyz, Burna Boyz, Lootas, Nobz, or Tankbustas",Support: This model can be attached to the following units: Boyz; Breaka Boyz; Burna Boyz; Lootas; Nobz; Tankbustas.
SUPPORT_PAINBOY,Support: Painboy,"SUPPORT: BOYZ, BREAKA BOYZ, BURNA BOYZ, LOOTAS, NOBZ, TANKBUSTAS","SUPPORT: BOYZ, BREAKA BOYZ, BURNA BOYZ, LOOTAS, NOBZ, TANKBUSTAS"
SUPPORT_WARBIKERS,Support: Warbikers,Can attach to Warbikers,Support: This model can be attached to Warbikers units.
TANK_HUNTERS,Tank Hunters,UNIT: +1 To Hit & Wound vs Monster/Vehicles,"Tank Hunters: Each time a model in this unit makes a ranged attack that targets a MONSTER or VEHICLE unit, add 1 to the Hit roll and add 1 to the Wound roll."
TANKBUSTAS_LETHALITY,Tankbustas Lethality,With Pulsa Rokkit: T9 vehicle = 6.25 damage T10 vehicle = 5 damage Wounding on 2s or 3s Damage after 4+ Saves,
TANKBUSTAS_WARGEAR,Tankbustas Wargear,Nob with Smash hammer & Pulsa rokkit. 5 Rokkit launcha x CCW,
THIEVIN_SCAVENGERS,Thievin’ Scavengers,"If controlling an objective at end of Movement, it is secured.","Thievin' Scavengers: At the end of your Movement phase, if this unit is controlling an objective, that objective is secured."
THROTTLEROCKKIT_SHOKKA_ENGINE,Throttlerokkit Shokka Engine,"Command: choose - Turbo Engine: Adv or Fallback and Charge - Shokk Attack: Back to Reserves - Pulse Jet: Auto 6"" Adv + Move thru models and Terrain","Throttlerokkit Shokka Engine: In your Command phase, select one of the abilities in the Throttlerokkit Shokka Engine section. Until the start of your next Command phase, this model has that ability.   Turbo Engine: This unit is eligible to declare a charge in a turn in which it Advanced or Fell Back.   Shokk Attack Engine: In your Command phase, if this unit is unengaged, you can use this ability. If you do: - Place this unit in strategic reserves. _x0007_- This unit can make an ingress move in your next Movement phase (including in your first turn).  Pulse Jet: Each time this unit Advances, do not make an Advance roll for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in this unit and models in this unit can move through models and terrain features.;"
THUNDERING_STAMPEDE,Thundering Stampede,"Aura: friendly Beast Snagga within 6"" +1 to charge rolls.","Thundering Stampede (Aura): Friendly BEAST SNAGGA units within 6"" of this unit have +1 to charge rolls."
