Loadout_Option_ID,Required_Group_ID,Compatible_Option_ID,Rule_Order,Option_Order,Compatibility_ID
BOYZ__NOB_MELEE__KUSTOM_CHOPPA,NOB_RANGED,KOMBI_SKORCHA,1,1,BOYZ__NOB_MELEE__KUSTOM_CHOPPA__TO__NOB_RANGED__KOMBI_SKORCHA
BOYZ__NOB_MELEE__KUSTOM_CHOPPA,NOB_RANGED,KOMBI_ROKKIT,1,2,BOYZ__NOB_MELEE__KUSTOM_CHOPPA__TO__NOB_RANGED__KOMBI_ROKKIT
BOYZ__NOB_MELEE__KUSTOM_CHOPPA,NOB_RANGED,KUSTOM_SHOOTA,1,3,BOYZ__NOB_MELEE__KUSTOM_CHOPPA__TO__NOB_RANGED__KUSTOM_SHOOTA
BOYZ__NOB_MELEE__POWER_KLAW,NOB_RANGED,KOMBI_SKORCHA,1,1,BOYZ__NOB_MELEE__POWER_KLAW__TO__NOB_RANGED__KOMBI_SKORCHA
BOYZ__NOB_MELEE__POWER_KLAW,NOB_RANGED,KOMBI_ROKKIT,1,2,BOYZ__NOB_MELEE__POWER_KLAW__TO__NOB_RANGED__KOMBI_ROKKIT
BOYZ__NOB_MELEE__POWER_KLAW,NOB_RANGED,KUSTOM_SHOOTA,1,3,BOYZ__NOB_MELEE__POWER_KLAW__TO__NOB_RANGED__KUSTOM_SHOOTA
BOYZ__NOB_MELEE__BIG_CHOPPA,NOB_RANGED,NONE,1,1,BOYZ__NOB_MELEE__BIG_CHOPPA__TO__NOB_RANGED__NONE
MEGANOBZ__MELEE__POWER_KLAW,MEGANOBZ_RANGED,KOMBI_WEAPON,1,1,MEGANOBZ__MELEE__POWER_KLAW__TO__MEGANOBZ_RANGED__KOMBI_WEAPON
MEGANOBZ__MELEE__POWER_KLAW,MEGANOBZ_RANGED,KUSTOM_SHOOTA,1,2,MEGANOBZ__MELEE__POWER_KLAW__TO__MEGANOBZ_RANGED__KUSTOM_SHOOTA
MEGANOBZ__MELEE__KILLSAW,MEGANOBZ_RANGED,KOMBI_WEAPON,1,1,MEGANOBZ__MELEE__KILLSAW__TO__MEGANOBZ_RANGED__KOMBI_WEAPON
