Loadout_Option_ID,Legacy_Unit_ID,Sort_Order
GUNWAGON__MAIN_GUN__KILLKANNON,GUNWAGON_KILLKANNON,1
GUNWAGON__MAIN_GUN__ZZAP_GUN,GUNWAGON_ZZAP_GUN,1
GUNWAGON__MAIN_GUN__KANNON_FRAG,GUNWAGON_KANNON,1
BOYZ__RANGED_NOB__NOB_KOMBI_SKORCHA,BOYZ_OPT_1,1
BOYZ__RANGED_NOB__NOB_KOMBI_ROKKIT,BOYZ_OPT_2,1
BOYZ__RANGED_NOB__NOB_SLUGGA,BOYZ_OPT_3,1
BOYZ__MELEE_NOB__NOB_KUSTOM_CHOPPA,BOYZ_OPT_1,1
BOYZ__MELEE_NOB__NOB_KUSTOM_CHOPPA,BOYZ_OPT_2,2
BOYZ__MELEE_NOB__NOB_BIG_CHOPPA,BOYZ_OPT_3,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_SKORCHA,WARBOSS_CHOPPA_SKORCHA,1
WARBOSS__MELEE_WARBOSS__WARBOSS_KUSTOM_CHOPPA,WARBOSS_CHOPPA_SKORCHA,1
TRUKK__RANGED_TRUKK__TRUKK_DUAL_BIG_SHOOTA,TRUKK_OPT_1,1
TRUKK__SIDE_TRUKK__TRUKK_BUZZSAW,TRUKK_OPT_1,1
