Loadout_Option_ID,Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Default,Sort_Order,Allocation_Mode,Allocation_Count,Max_Per_Unit,Points_Per_Model
GUNWAGON__MAIN_GUN__KILLKANNON,GUNWAGON,MAIN_GUN,Main Gun,KILLKANNON,Killkannon,TRUE,1,UNIT,,,
GUNWAGON__MAIN_GUN__ZZAP_GUN,GUNWAGON,MAIN_GUN,Main Gun,ZZAP_GUN,Zzap Gun,FALSE,2,UNIT,,,10
GUNWAGON__MAIN_GUN__KANNON_FRAG,GUNWAGON,MAIN_GUN,Main Gun,KANNON_FRAG,Kannon - Frag,FALSE,3,UNIT,,,
WARBOSS__RANGED_WARBOSS__WARBOSS_KUSTOM_SHOOTA,WARBOSS,RANGED_WARBOSS,Weapon 1,WARBOSS_KUSTOM_SHOOTA,Kustom Shoota,TRUE,1,UNIT,,,
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_ROKKIT,WARBOSS,RANGED_WARBOSS,Weapon 1,WARBOSS_KOMBI_ROKKIT,Kombi-rokkit,FALSE,2,UNIT,,,
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_SKORCHA,WARBOSS,RANGED_WARBOSS,Weapon 1,WARBOSS_KOMBI_SKORCHA,Kombi-skorcha,FALSE,3,UNIT,,,
WARBOSS__MELEE_WARBOSS__WARBOSS_KUSTOM_CHOPPA,WARBOSS,MELEE_WARBOSS,Weapon 2,WARBOSS_KUSTOM_CHOPPA,Kustom Choppa,TRUE,1,UNIT,,,
WARBOSS__MELEE_WARBOSS__WARBOSS_POWER_KLAW,WARBOSS,MELEE_WARBOSS,Weapon 2,WARBOSS_POWER_KLAW,Power Klaw,FALSE,2,UNIT,,,
TRUKK__RANGED_TRUKK__TRUKK_DUAL_BIG_SHOOTA,TRUKK,RANGED_TRUKK,Weapon 1,TRUKK_DUAL_BIG_SHOOTA,Dual Big Shoota,TRUE,1,UNIT,,,
TRUKK__RANGED_TRUKK__TRUKK_ROKKIT_LAUNCHA,TRUKK,RANGED_TRUKK,Weapon 1,TRUKK_ROKKIT_LAUNCHA,Rokkit Launcha,FALSE,2,UNIT,,,
TRUKK__SIDE_TRUKK__TRUKK_BUZZSAW,TRUKK,SIDE_TRUKK,Weapon 2,TRUKK_BUZZSAW,Buzzsaw,TRUE,1,UNIT,,,
TRUKK__SIDE_TRUKK__TRUKK_GRABBIN_KLAW,TRUKK,SIDE_TRUKK,Weapon 2,TRUKK_GRABBIN_KLAW,Grabbin' Klaw,FALSE,2,UNIT,,,
STORMBOYZ__NOB_MELEE_STORMBOYZ__STORMBOYZ_KUSTOM_CHOPPA,STORMBOYZ,NOB_MELEE_STORMBOYZ,Nob Melee Weapon,STORMBOYZ_KUSTOM_CHOPPA,Kustom Choppa,TRUE,1,UNIT,,,
STORMBOYZ__NOB_MELEE_STORMBOYZ__STORMBOYZ_POWER_KLAW,STORMBOYZ,NOB_MELEE_STORMBOYZ,Nob Melee Weapon,STORMBOYZ_POWER_KLAW,Power Klaw,FALSE,2,UNIT,,,
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_KUSTOM_MEGA_BLASTA,BIG_MEK,RANGED_BIG_MEK,Weapon 1,BIG_MEK_KUSTOM_MEGA_BLASTA,Kustom mega-blasta,FALSE,1,UNIT,,,
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_TRAKTOR_BLASTA,BIG_MEK,RANGED_BIG_MEK,Weapon 1,BIG_MEK_TRAKTOR_BLASTA,Traktor blasta,TRUE,2,UNIT,,,
BIG_MEK__MELEE_BIG_MEK__BIG_MEK_POWER_KLAW,BIG_MEK,MELEE_BIG_MEK,Weapon 2,BIG_MEK_POWER_KLAW,Power klaw,FALSE,1,UNIT,,,
BIG_MEK__MELEE_BIG_MEK__BIG_MEK_DRILLA,BIG_MEK,MELEE_BIG_MEK,Weapon 2,BIG_MEK_DRILLA,Drilla,TRUE,2,UNIT,,,
TANKBUSTAS__NOB_ROKKIT_PISTOL_TANKBUSTAS__TANKBUSTAS_ROKKIT_PISTOL_X1,TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,Nob Rokkit Pistol,TANKBUSTAS_ROKKIT_PISTOL_X1,Rokkit Pistol x1,TRUE,1,UNIT,,,
TANKBUSTAS__NOB_ROKKIT_PISTOL_TANKBUSTAS__TANKBUSTAS_ROKKIT_PISTOL_X2,TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,Nob Rokkit Pistol,TANKBUSTAS_ROKKIT_PISTOL_X2,Rokkit Pistol x2,FALSE,2,UNIT,,,
BOYZ__NOB_MELEE__KUSTOM_CHOPPA,BOYZ,NOB_MELEE,Nob Weapon 1,KUSTOM_CHOPPA,Kustom Choppa,TRUE,1,PER_MODEL,,,
BOYZ__NOB_MELEE__POWER_KLAW,BOYZ,NOB_MELEE,Nob Weapon 1,POWER_KLAW,Power Klaw,FALSE,2,PER_MODEL,,,
BOYZ__NOB_MELEE__BIG_CHOPPA,BOYZ,NOB_MELEE,Nob Weapon 1,BIG_CHOPPA,Big Choppa,FALSE,3,PER_MODEL,,,
BOYZ__NOB_RANGED__KOMBI_SKORCHA,BOYZ,NOB_RANGED,Nob Weapon 2,KOMBI_SKORCHA,Kombi-skorcha,TRUE,1,PER_MODEL,,,
BOYZ__NOB_RANGED__KOMBI_ROKKIT,BOYZ,NOB_RANGED,Nob Weapon 2,KOMBI_ROKKIT,Kombi-rokkit,FALSE,2,PER_MODEL,,,
BOYZ__NOB_RANGED__KUSTOM_SHOOTA,BOYZ,NOB_RANGED,Nob Weapon 2,KUSTOM_SHOOTA,Kustom Shoota,FALSE,3,PER_MODEL,,,
BOYZ__NOB_RANGED__NONE,BOYZ,NOB_RANGED,Nob Weapon 2,NONE,None,FALSE,4,PER_MODEL,,,
MEGANOBZ__MELEE__POWER_KLAW,MEGANOBZ,MEGANOBZ_MELEE,Weapon 1,POWER_KLAW,Power Klaw,TRUE,1,PER_MODEL,,,
MEGANOBZ__MELEE__KILLSAW,MEGANOBZ,MEGANOBZ_MELEE,Weapon 1,KILLSAW,Killsaw,FALSE,2,PER_MODEL,,,5
MEGANOBZ__MELEE__TWIN_KILLSAWS,MEGANOBZ,MEGANOBZ_MELEE,Weapon 1,TWIN_KILLSAWS,Twin Killsaws,FALSE,3,PER_MODEL,,,5
MEGANOBZ__RANGED__KOMBI_WEAPON,MEGANOBZ,MEGANOBZ_RANGED,Weapon 2,KOMBI_WEAPON,Kombi-weapon,TRUE,1,PER_MODEL,,,
MEGANOBZ__RANGED__KUSTOM_SHOOTA,MEGANOBZ,MEGANOBZ_RANGED,Weapon 2,KUSTOM_SHOOTA,Kustom Shoota,FALSE,2,PER_MODEL,,,
MEGANOBZ__RANGED__NONE,MEGANOBZ,MEGANOBZ_RANGED,Weapon 2,NONE,None,FALSE,3,PER_MODEL,,,
NOBZ__MELEE__KUSTOM_KRUMPA,NOBZ,NOBZ_MELEE,Weapon 1,KUSTOM_KRUMPA,Kustom Krumpa,TRUE,1,PER_MODEL,,,
NOBZ__MELEE__KUSTOM_CHOPPA,NOBZ,NOBZ_MELEE,Weapon 1,KUSTOM_CHOPPA,Kustom Choppa,FALSE,2,PER_MODEL,,,
NOBZ__MELEE__BIG_CHOPPA,NOBZ,NOBZ_MELEE,Weapon 1,BIG_CHOPPA,Big Choppa,FALSE,3,PER_MODEL,,,
NOBZ__SECOND__KUSTOM_SHOOTA,NOBZ,NOBZ_SECOND,Weapon 2,KUSTOM_SHOOTA,Kustom Shoota,TRUE,1,PER_MODEL,,,
NOBZ__SECOND__KOMBI_ROKKIT,NOBZ,NOBZ_SECOND,Weapon 2,KOMBI_ROKKIT,Kombi-rokkit,FALSE,2,PER_MODEL,,,
NOBZ__SECOND__BIG_SKORCHA,NOBZ,NOBZ_SECOND,Weapon 2,BIG_SKORCHA,Big Skorcha,FALSE,3,PER_MODEL,,,
NOBZ__SECOND__KUSTOM_BIG_SHOOTA,NOBZ,NOBZ_SECOND,Weapon 2,KUSTOM_BIG_SHOOTA,Kustom Big Shoota,FALSE,4,PER_MODEL,,,
NOBZ__SECOND__PAIRED_KRUMPAS,NOBZ,NOBZ_SECOND,Weapon 2,PAIRED_KRUMPAS,Paired Krumpas,FALSE,5,PER_MODEL,,,5
NOBZ__SECOND__NONE,NOBZ,NOBZ_SECOND,Weapon 2,NONE,None,FALSE,6,PER_MODEL,,,
BEAST_SNAGGA_BOYZ__THUMP_GUN__NONE,BEAST_SNAGGA_BOYZ,THUMP_GUN,Thump Gun,NONE,None,TRUE,1,UNIT,,,
BEAST_SNAGGA_BOYZ__THUMP_GUN__THUMP_GUN,BEAST_SNAGGA_BOYZ,THUMP_GUN,Thump Gun,THUMP_GUN,Thump Gun,FALSE,2,UNIT,,,
