Loadout_Option_ID,Weapon_ID,Weapon_Role,Sort_Order
GUNWAGON__MAIN_GUN__KILLKANNON,KILLKANNON,SELECTED,1
GUNWAGON__MAIN_GUN__ZZAP_GUN,ZZAP_GUN,SELECTED,1
GUNWAGON__MAIN_GUN__KANNON_FRAG,KANNON_FRAG,SELECTED,1
GUNWAGON__MAIN_GUN__KANNON_FRAG,KANNON_SHELL,SELECTED,2
BOYZ__RANGED_NOB__NOB_KOMBI_SKORCHA,KOMBI_SKORCHA_SHOOTA,SELECTED,1
BOYZ__RANGED_NOB__NOB_KOMBI_SKORCHA,KOMBI_SKORCHA_SKORCHA,SELECTED,2
BOYZ__RANGED_NOB__NOB_KOMBI_ROKKIT,KOMBI_ROKKIT_BUSTA,SELECTED,1
BOYZ__RANGED_NOB__NOB_KOMBI_ROKKIT,KOMBI_ROKKIT_SHOOTA,SELECTED,2
BOYZ__RANGED_NOB__NOB_KUSTOM_SHOOTA,KUSTOM_SHOOTA,SELECTED,1
BOYZ__RANGED_NOB__NOB_SLUGGA,SLUGGA,SELECTED,1
BOYZ__RANGED_NOB__NOB_SLUGGA,SLUGGA,PRESERVE,1
BOYZ__MELEE_NOB__NOB_KUSTOM_CHOPPA,KUSTOM_CHOPPA,SELECTED,1
BOYZ__MELEE_NOB__NOB_POWER_KLAW,POWER_KLAW,SELECTED,1
BOYZ__MELEE_NOB__NOB_BIG_CHOPPA,BIG_CHOPPA,SELECTED,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KUSTOM_SHOOTA,KUSTOM_SHOOTA,SELECTED,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_ROKKIT,KOMBI_ROKKIT_BUSTA,SELECTED,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_ROKKIT,KOMBI_ROKKIT_SHOOTA,SELECTED,2
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_SKORCHA,KOMBI_SKORCHA_SHOOTA,SELECTED,1
WARBOSS__RANGED_WARBOSS__WARBOSS_KOMBI_SKORCHA,KOMBI_SKORCHA_SKORCHA,SELECTED,2
WARBOSS__MELEE_WARBOSS__WARBOSS_KUSTOM_CHOPPA,KUSTOM_CHOPPA_WARBOSS,SELECTED,1
WARBOSS__MELEE_WARBOSS__WARBOSS_POWER_KLAW,POWER_KLAW_WARBOSS,SELECTED,1
TRUKK__RANGED_TRUKK__TRUKK_DUAL_BIG_SHOOTA,DUAL_BIG_SHOOTA,SELECTED,1
TRUKK__RANGED_TRUKK__TRUKK_ROKKIT_LAUNCHA,ROKKIT_LAUNCHA_BLASTA,SELECTED,1
TRUKK__RANGED_TRUKK__TRUKK_ROKKIT_LAUNCHA,ROKKIT_LAUNCHA_BUSTA,SELECTED,2
TRUKK__SIDE_TRUKK__TRUKK_BUZZSAW,BUZZSAW,SELECTED,1
TRUKK__SIDE_TRUKK__TRUKK_GRABBIN_KLAW,GRABBIN_KLAW,SELECTED,1
STORMBOYZ__NOB_MELEE_STORMBOYZ__STORMBOYZ_KUSTOM_CHOPPA,KUSTOM_CHOPPA,SELECTED,1
STORMBOYZ__NOB_MELEE_STORMBOYZ__STORMBOYZ_POWER_KLAW,POWER_KLAW,SELECTED,1
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_KUSTOM_MEGA_BLASTA,KUSTOM_MEGA_BLASTA_MEK,SELECTED,1
BIG_MEK__RANGED_BIG_MEK__BIG_MEK_TRAKTOR_BLASTA,TRAKTOR_BLASTA,SELECTED,1
BIG_MEK__MELEE_BIG_MEK__BIG_MEK_POWER_KLAW,POWER_KLAW_BIG_MEK,SELECTED,1
BIG_MEK__MELEE_BIG_MEK__BIG_MEK_DRILLA,DRILLA,SELECTED,1
TANKBUSTAS__NOB_ROKKIT_PISTOL_TANKBUSTAS__TANKBUSTAS_ROKKIT_PISTOL_X1,ROKKIT_PISTOL,SELECTED,1
TANKBUSTAS__NOB_ROKKIT_PISTOL_TANKBUSTAS__TANKBUSTAS_ROKKIT_PISTOL_X1,SMASH_HAMMER,SELECTED,2
TANKBUSTAS__NOB_ROKKIT_PISTOL_TANKBUSTAS__TANKBUSTAS_ROKKIT_PISTOL_X2,ROKKIT_PISTOL_X2_TANKBUSTAS,SELECTED,1
