Unit_ID,Ability_ID,Ability_Type
BANNERNOB,WAAAGH_BANNER,ABILITY
BANNERNOB,SUPPORT_BANNERNOB,ABILITY
BATTLEWAGON,MOBILE_FORTRESS,ABILITY
BATTLEWAGON,TRANSPORT_BATTLEWAGON,ABILITY
BATTLEWAGON,COMPOSITION_BATTLEWAGON,ABILITY
BATTLEWAGON,DAMAGED_1_6,CORE_ABILITY
BATTLEWAGON,DEADLY_DEMISE_D6,CORE_ABILITY
BATTLEWAGON,FIRING_DECK_11,CORE_ABILITY
BEAST_SNAGGA_BOYZ,MOBBED,ABILITY
BEAST_SNAGGA_BOYZ,COMPOSITION_BEAST_SNAGGA_BOYZ,ABILITY
BEAST_SNAGGA_BOYZ,LED_BY_BEAST_SNAGGA_BOYZ,ABILITY
BEASTBOSS,KEEP_HUNTIN,ABILITY
BEASTBOSS,DODGE_DIS,ABILITY
BEASTBOSS,LEADER_BEASTBOSS,ABILITY
BEASTBOSS,FEEL_NO_PAIN_6,CORE_ABILITY
BEASTBOSS_ON_SQUIGOSAUR,THUNDERING_STAMPEDE,ABILITY
BEASTBOSS_ON_SQUIGOSAUR,KEEP_HUNTIN,ABILITY
BEASTBOSS_ON_SQUIGOSAUR,BOSS_OF_DA_HUNT,ABILITY
BEASTBOSS_ON_SQUIGOSAUR,COMPOSITION_BEASTBOSS_SQUIGOSAUR,ABILITY
BEASTBOSS_ON_SQUIGOSAUR,FEEL_NO_PAIN_5,CORE_ABILITY
BIG_MEK,MORE_DAKKA,ABILITY
BIG_MEK,SHOKK_BOOSTA,ABILITY
BIG_MEK,COMPOSITION_BIG_MEK,ABILITY
BIG_MEK,LEADER_BIG_MEK,ABILITY
BIG_MEK_DAKKARIG,EVEN_MORE_DAKKA,ABILITY
BIG_MEK_DAKKARIG,BLITZ_DEM_GITS,ABILITY
BIG_MEK_DAKKARIG,DEADLY_DEMISE_1,CORE_ABILITY
BIG_MEK_WITH_SHOKK_ATTACK_GUN,MORE_DAKKA,ABILITY
BIG_MEK_WITH_SHOKK_ATTACK_GUN,SUPPORT_SHOKKA,ABILITY
BIG_MEK_WITH_SHOKK_ATTACK_GUN,LEADER_BIG_MEK_WITH_SHOKK_ATTACK_GUN,ABILITY
BIGBOSS,SOMETHIN_TO_PROVE,ABILITY
BIGBOSS,SUPPORT_BIGBOSS,ABILITY
BOSS_SNIKROT,KUNNIN_INFILTRATOR,ABILITY
BOSS_SNIKROT,DEFF_FROM_THE_SHADOWS,ABILITY
BOSS_SNIKROT,LEADER_BOSS_SNIKROT,ABILITY
