Unit_ID,Option_Group_ID,Option_ID,Legacy_Unit_ID,Sort_Order
GUNWAGON,MAIN_GUN,KILLKANNON,GUNWAGON_KILLKANNON,1
GUNWAGON,MAIN_GUN,ZZAP_GUN,GUNWAGON_ZZAP_GUN,1
GUNWAGON,MAIN_GUN,KANNON_FRAG,GUNWAGON_KANNON,1
BOYZ,RANGED_NOB,NOB_KOMBI_SKORCHA,BOYZ_OPT_1,1
BOYZ,RANGED_NOB,NOB_KOMBI_ROKKIT,BOYZ_OPT_2,1
BOYZ,RANGED_NOB,NOB_SLUGGA,BOYZ_OPT_3,1
BOYZ,MELEE_NOB,NOB_KUSTOM_CHOPPA,BOYZ_OPT_1,1
BOYZ,MELEE_NOB,NOB_KUSTOM_CHOPPA,BOYZ_OPT_2,2
BOYZ,MELEE_NOB,NOB_BIG_CHOPPA,BOYZ_OPT_3,1
WARBOSS,RANGED_WARBOSS,WARBOSS_KOMBI_SKORCHA,WARBOSS_CHOPPA_SKORCHA,1
WARBOSS,MELEE_WARBOSS,WARBOSS_KUSTOM_CHOPPA,WARBOSS_CHOPPA_SKORCHA,1
TRUKK,RANGED_TRUKK,TRUKK_DUAL_BIG_SHOOTA,TRUKK_OPT_1,1
TRUKK,SIDE_TRUKK,TRUKK_BUZZSAW,TRUKK_OPT_1,1
