Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Default,Sort_Order
GUNWAGON,MAIN_GUN,Main Gun,KILLKANNON,Killkannon,TRUE,1
GUNWAGON,MAIN_GUN,Main Gun,ZZAP_GUN,Zzap Gun,FALSE,2
GUNWAGON,MAIN_GUN,Main Gun,KANNON_FRAG,Kannon - Frag,FALSE,3
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_KOMBI_SKORCHA,Kombi-skorcha,FALSE,1
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_KOMBI_ROKKIT,Kombi-rokkit,FALSE,2
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_KUSTOM_SHOOTA,Kustom Shoota,FALSE,3
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_SLUGGA,Slugga,TRUE,4
BOYZ,MELEE_NOB,Melee Nob Weapon,NOB_KUSTOM_CHOPPA,Kustom Choppa,FALSE,1
BOYZ,MELEE_NOB,Melee Nob Weapon,NOB_POWER_KLAW,Power Klaw,FALSE,2
BOYZ,MELEE_NOB,Melee Nob Weapon,NOB_BIG_CHOPPA,Big Choppa,TRUE,3
WARBOSS,RANGED_WARBOSS,Ranged Weapon,WARBOSS_KUSTOM_SHOOTA,Kustom Shoota,TRUE,1
WARBOSS,RANGED_WARBOSS,Ranged Weapon,WARBOSS_KOMBI_ROKKIT,Kombi-rokkit,FALSE,2
WARBOSS,RANGED_WARBOSS,Ranged Weapon,WARBOSS_KOMBI_SKORCHA,Kombi-skorcha,FALSE,3
WARBOSS,MELEE_WARBOSS,Melee Weapon,WARBOSS_KUSTOM_CHOPPA,Kustom Choppa,TRUE,1
WARBOSS,MELEE_WARBOSS,Melee Weapon,WARBOSS_POWER_KLAW,Power Klaw,FALSE,2
TRUKK,RANGED_TRUKK,Ranged Weapon,TRUKK_DUAL_BIG_SHOOTA,Dual Big Shoota,TRUE,1
TRUKK,RANGED_TRUKK,Ranged Weapon,TRUKK_ROKKIT_LAUNCHA,Rokkit Launcha,FALSE,2
TRUKK,SIDE_TRUKK,Side Weapon,TRUKK_BUZZSAW,Buzzsaw,TRUE,1
TRUKK,SIDE_TRUKK,Side Weapon,TRUKK_GRABBIN_KLAW,Grabbin' Klaw,FALSE,2
STORMBOYZ,NOB_MELEE_STORMBOYZ,Nob Melee Weapon,STORMBOYZ_KUSTOM_CHOPPA,Kustom Choppa,TRUE,1
STORMBOYZ,NOB_MELEE_STORMBOYZ,Nob Melee Weapon,STORMBOYZ_POWER_KLAW,Power Klaw,FALSE,2
BIG_MEK,RANGED_BIG_MEK,Ranged Weapon,BIG_MEK_KUSTOM_MEGA_BLASTA,Kustom mega-blasta,FALSE,1
BIG_MEK,RANGED_BIG_MEK,Ranged Weapon,BIG_MEK_TRAKTOR_BLASTA,Traktor blasta,TRUE,2
BIG_MEK,MELEE_BIG_MEK,Melee Weapon,BIG_MEK_POWER_KLAW,Power klaw,FALSE,1
BIG_MEK,MELEE_BIG_MEK,Melee Weapon,BIG_MEK_DRILLA,Drilla,TRUE,2
TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,Nob Rokkit Pistol,TANKBUSTAS_ROKKIT_PISTOL_X1,Rokkit Pistol x1,TRUE,1
TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,Nob Rokkit Pistol,TANKBUSTAS_ROKKIT_PISTOL_X2,Rokkit Pistol x2,FALSE,2
