Unit_ID,Option_Group_ID,Option_ID,Weapon_ID,Weapon_Role,Sort_Order
GUNWAGON,MAIN_GUN,KILLKANNON,KILLKANNON,SELECTED,1
GUNWAGON,MAIN_GUN,ZZAP_GUN,ZZAP_GUN,SELECTED,1
GUNWAGON,MAIN_GUN,KANNON_FRAG,KANNON_FRAG,SELECTED,1
GUNWAGON,MAIN_GUN,KANNON_FRAG,KANNON_SHELL,SELECTED,2
BOYZ,RANGED_NOB,NOB_KOMBI_SKORCHA,KOMBI_SKORCHA_SHOOTA,SELECTED,1
BOYZ,RANGED_NOB,NOB_KOMBI_SKORCHA,KOMBI_SKORCHA_SKORCHA,SELECTED,2
BOYZ,RANGED_NOB,NOB_KOMBI_ROKKIT,KOMBI_ROKKIT_BUSTA,SELECTED,1
BOYZ,RANGED_NOB,NOB_KOMBI_ROKKIT,KOMBI_ROKKIT_SHOOTA,SELECTED,2
BOYZ,RANGED_NOB,NOB_KUSTOM_SHOOTA,KUSTOM_SHOOTA,SELECTED,1
BOYZ,RANGED_NOB,NOB_SLUGGA,SLUGGA,SELECTED,1
BOYZ,RANGED_NOB,NOB_SLUGGA,SLUGGA,PRESERVE,1
BOYZ,MELEE_NOB,NOB_KUSTOM_CHOPPA,KUSTOM_CHOPPA,SELECTED,1
BOYZ,MELEE_NOB,NOB_POWER_KLAW,POWER_KLAW,SELECTED,1
BOYZ,MELEE_NOB,NOB_BIG_CHOPPA,BIG_CHOPPA,SELECTED,1
WARBOSS,RANGED_WARBOSS,WARBOSS_KUSTOM_SHOOTA,KUSTOM_SHOOTA,SELECTED,1
WARBOSS,RANGED_WARBOSS,WARBOSS_KOMBI_ROKKIT,KOMBI_ROKKIT_BUSTA,SELECTED,1
WARBOSS,RANGED_WARBOSS,WARBOSS_KOMBI_ROKKIT,KOMBI_ROKKIT_SHOOTA,SELECTED,2
WARBOSS,RANGED_WARBOSS,WARBOSS_KOMBI_SKORCHA,KOMBI_SKORCHA_SHOOTA,SELECTED,1
WARBOSS,RANGED_WARBOSS,WARBOSS_KOMBI_SKORCHA,KOMBI_SKORCHA_SKORCHA,SELECTED,2
WARBOSS,MELEE_WARBOSS,WARBOSS_KUSTOM_CHOPPA,KUSTOM_CHOPPA_WARBOSS,SELECTED,1
WARBOSS,MELEE_WARBOSS,WARBOSS_POWER_KLAW,POWER_KLAW_WARBOSS,SELECTED,1
TRUKK,RANGED_TRUKK,TRUKK_DUAL_BIG_SHOOTA,DUAL_BIG_SHOOTA,SELECTED,1
TRUKK,RANGED_TRUKK,TRUKK_ROKKIT_LAUNCHA,ROKKIT_LAUNCHA_BLASTA,SELECTED,1
TRUKK,RANGED_TRUKK,TRUKK_ROKKIT_LAUNCHA,ROKKIT_LAUNCHA_BUSTA,SELECTED,2
TRUKK,SIDE_TRUKK,TRUKK_BUZZSAW,BUZZSAW,SELECTED,1
TRUKK,SIDE_TRUKK,TRUKK_GRABBIN_KLAW,GRABBIN_KLAW,SELECTED,1
STORMBOYZ,NOB_MELEE_STORMBOYZ,STORMBOYZ_KUSTOM_CHOPPA,KUSTOM_CHOPPA,SELECTED,1
STORMBOYZ,NOB_MELEE_STORMBOYZ,STORMBOYZ_POWER_KLAW,POWER_KLAW,SELECTED,1
BIG_MEK,RANGED_BIG_MEK,BIG_MEK_KUSTOM_MEGA_BLASTA,KUSTOM_MEGA_BLASTA_MEK,SELECTED,1
BIG_MEK,RANGED_BIG_MEK,BIG_MEK_TRAKTOR_BLASTA,TRAKTOR_BLASTA,SELECTED,1
BIG_MEK,MELEE_BIG_MEK,BIG_MEK_POWER_KLAW,POWER_KLAW_BIG_MEK,SELECTED,1
BIG_MEK,MELEE_BIG_MEK,BIG_MEK_DRILLA,DRILLA,SELECTED,1
TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,TANKBUSTAS_ROKKIT_PISTOL_X1,ROKKIT_PISTOL,SELECTED,1
TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,TANKBUSTAS_ROKKIT_PISTOL_X1,SMASH_HAMMER,SELECTED,2
TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,TANKBUSTAS_ROKKIT_PISTOL_X2,ROKKIT_PISTOL_X2_TANKBUSTAS,SELECTED,1
