Unit_ID,Point_Option_ID,Label,Cost,Sort_Order
BANNERNOB,point_1,x1,35,1
BATTLEWAGON,point_1,x1,150,1
BEAST_SNAGGA_BOYZ,point_1,x10,85,1
BEAST_SNAGGA_BOYZ,point_2,x20,170,2
BEASTBOSS,point_1,x1,85,1
BEASTBOSS_ON_SQUIGOSAUR,point_1,x1,140,1
BIG_MEK,point_1,x1,85,1
BIG_MEK_DAKKARIG,point_1,x1,135,1
BIG_MEK_WITH_SHOKK_ATTACK_GUN,point_1,x1,95,1
BIG_MEK_WITH_SHOKK_ATTACK_GUN,point_2,x1 high,105,2
BIGBOSS,point_1,x1,50,1
BOSS_SNIKROT,point_1,x1,80,1
BOYZ,point_1,x10,90,1
BOYZ,point_2,x20,180,2
BREAKA_BOYZ,point_1,x6,135,1
BURNA_BOYZ,point_1,x5,60,1
BURNA_BOYZ,point_2,x10,120,2
DEFFKILLA_WARTRIKE,point_1,x1,80,1
DEFFKOPTAS,point_1,x3,80,1
DEFFKOPTAS,point_2,x6,160,2
FLASH_GITZ,point_1,x5,105,1
FLASH_GITZ,point_2,x10,210,2
GHAZGHKULL_THRAKA,point_1,x1,300,1
GRETCHIN,point_1,x11,45,1
GRETCHIN,point_2,x20,80,2
GRETCHIN,point_3,11x2,90,3
KILL_RIG,point_1,x1,175,1
KILLA_KANS,point_1,x3,130,1
KILLA_KANS,point_2,x6,260,2
KOMMANDOS,point_1,x10,125,1
LOOTAS,point_1,x5,50,1
LOOTAS,point_2,x10,100,2
GROTSNIK,point_1,,80,1
MEK,point_1,x1,45,1
MOZROG_SKRAGBAD,point_1,x1,170,1
NOBZ,point_1,x5,125,1
NOBZ,point_2,x10,250,2
PAINBOY,point_1,x1,45,1
SQUIGHOG_BOYZ,point_1,x4,140,1
SQUIGHOG_BOYZ,point_2,x8,280,2
STOMPA,point_1,x1,700,1
STORMBOYZ,point_1,x5,70,1
STORMBOYZ,point_2,x10,140,2
STORMBOYZ,point_3,5x2,140,3
TANKBUSTAS,point_1,x6,145,1
TRUKK,point_1,x1,60,1
WARBIKERS,point_1,x3,75,1
WARBIKERS,point_2,x6,140,2
WARBOSS,point_1,x1,100,1
WARTRAKK,point_1,x1,70,1
WAZDAKKA_GUTSMEK,point_1,x1,200,1
WEIRDBOY,point_1,x1,65,1
ZODGROD_WORTSNAGGA,point_1,x1,50,1
MEGANOBZ,point_1,x2,75,1
MEGANOBZ,point_2,x3,110,2
MEGANOBZ,point_3,x5,185,3
MEGANOBZ,point_4,x6,225,4
NAZDREG,point_1,x1,175,1
DEFF_DREAD,point_1,x1,130,1
GORKANAUT,point_1,x1,325,1
MORKANAUT,point_1,x1,345,1
GUNWAGON,point_1,x1,150,1
HUNTA_RIG,point_1,x1,165,1
WARBOSS_MEGA_ARMOUR,point_1,x1,125,1
BIG_MEK_MEGA_ARMOUR,point_1,x1,90,1
RUNTHERD,point_1,x1,10,1
PAINBOSS,point_1,x1,60,1
MEK_GUNZ,point_1,x1,55,1
MEK_GUNZ,point_2,x2,110,2
MEK_GUNZ,point_3,x3,165,3
RUKKATRUKK_SQUIGBUGGIE,point_1,x1,80,1
RUKKATRUKK_SQUIGBUGGIE,point_2,x2,160,2
WARBUGGIES,point_1,x1,70,1
WARBUGGIES,point_2,x2,140,2
BIGED_BOSSBUNKA,point_1,x1,145,1
BLITZA_BOMMER,point_1,x1,115,1
DAKKAJET,point_1,x1,125,1
BURNA_BOMMER,point_1,x1,125,1
WAZBOM_BLASTAJET,point_1,x1,215,1
