Unit_ID,Option_Group_ID,Group_Label,Option_ID,Option_Name,Weapon_IDs,Ability_IDs,Points_Label_1,Points_Cost_1,Points_Label_2,Points_Cost_2,Default,Sort_Order,Preserve_Weapon_IDs,Compatible_With
GUNWAGON,MAIN_GUN,Main Gun,KILLKANNON,Killkannon,KILLKANNON,,,,,,TRUE,1,,
GUNWAGON,MAIN_GUN,Main Gun,ZZAP_GUN,Zzap Gun,ZZAP_GUN,GUNWAGON_ZZAP_GUN_POINTS,,,,,FALSE,2,,
GUNWAGON,MAIN_GUN,Main Gun,KANNON_FRAG,Kannon - Frag,"KANNON_FRAG, KANNON_SHELL",,,,,,FALSE,3,,
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_KOMBI_SKORCHA,Kombi-skorcha,"KOMBI_SKORCHA_SHOOTA, KOMBI_SKORCHA_SKORCHA",,,,,,FALSE,1,,MELEE_NOB=NOB_KUSTOM_CHOPPA|NOB_POWER_KLAW
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_KOMBI_ROKKIT,Kombi-rokkit,"KOMBI_ROKKIT_BUSTA, KOMBI_ROKKIT_SHOOTA",,,,,,FALSE,2,,MELEE_NOB=NOB_KUSTOM_CHOPPA|NOB_POWER_KLAW
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_KUSTOM_SHOOTA,Kustom Shoota,KUSTOM_SHOOTA,,,,,,FALSE,3,,MELEE_NOB=NOB_KUSTOM_CHOPPA|NOB_POWER_KLAW
BOYZ,RANGED_NOB,Ranged Nob Weapon,NOB_SLUGGA,Slugga,SLUGGA,,,,,,TRUE,4,SLUGGA,MELEE_NOB=NOB_KUSTOM_CHOPPA|NOB_POWER_KLAW|NOB_BIG_CHOPPA
BOYZ,MELEE_NOB,Melee Nob Weapon,NOB_KUSTOM_CHOPPA,Kustom Choppa,KUSTOM_CHOPPA,,,,,,FALSE,1,,
BOYZ,MELEE_NOB,Melee Nob Weapon,NOB_POWER_KLAW,Power Klaw,POWER_KLAW,,,,,,FALSE,2,,
BOYZ,MELEE_NOB,Melee Nob Weapon,NOB_BIG_CHOPPA,Big Choppa,BIG_CHOPPA,,,,,,TRUE,3,,RANGED_NOB=NOB_SLUGGA
WARBOSS,RANGED_WARBOSS,Ranged Weapon,WARBOSS_KUSTOM_SHOOTA,Kustom Shoota,KUSTOM_SHOOTA,,,,,,TRUE,1,,
WARBOSS,RANGED_WARBOSS,Ranged Weapon,WARBOSS_KOMBI_ROKKIT,Kombi-rokkit,"KOMBI_ROKKIT_BUSTA, KOMBI_ROKKIT_SHOOTA",,,,,,FALSE,2,,
WARBOSS,RANGED_WARBOSS,Ranged Weapon,WARBOSS_KOMBI_SKORCHA,Kombi-skorcha,"KOMBI_SKORCHA_SHOOTA, KOMBI_SKORCHA_SKORCHA",,,,,,FALSE,3,,
WARBOSS,MELEE_WARBOSS,Melee Weapon,WARBOSS_KUSTOM_CHOPPA,Kustom Choppa,KUSTOM_CHOPPA_WARBOSS,,,,,,TRUE,1,,
WARBOSS,MELEE_WARBOSS,Melee Weapon,WARBOSS_POWER_KLAW,Power Klaw,POWER_KLAW_WARBOSS,,,,,,FALSE,2,,
TRUKK,RANGED_TRUKK,Ranged Weapon,TRUKK_DUAL_BIG_SHOOTA,Dual Big Shoota,DUAL_BIG_SHOOTA,,,,,,TRUE,1,,
TRUKK,RANGED_TRUKK,Ranged Weapon,TRUKK_ROKKIT_LAUNCHA,Rokkit Launcha,"ROKKIT_LAUNCHA_BLASTA, ROKKIT_LAUNCHA_BUSTA",,,,,,FALSE,2,,
TRUKK,SIDE_TRUKK,Side Weapon,TRUKK_BUZZSAW,Buzzsaw,BUZZSAW,,,,,,TRUE,1,,
TRUKK,SIDE_TRUKK,Side Weapon,TRUKK_GRABBIN_KLAW,Grabbin' Klaw,GRABBIN_KLAW,,,,,,FALSE,2,,
STORMBOYZ,NOB_MELEE_STORMBOYZ,Nob Melee Weapon,STORMBOYZ_KUSTOM_CHOPPA,Kustom Choppa,KUSTOM_CHOPPA,,,,,,TRUE,1,,
STORMBOYZ,NOB_MELEE_STORMBOYZ,Nob Melee Weapon,STORMBOYZ_POWER_KLAW,Power Klaw,POWER_KLAW,,,,,,FALSE,2,,
BIG_MEK,RANGED_BIG_MEK,Ranged Weapon,BIG_MEK_KUSTOM_MEGA_BLASTA,Kustom mega-blasta,KUSTOM_MEGA_BLASTA_MEK,,,,,,FALSE,1,,
BIG_MEK,RANGED_BIG_MEK,Ranged Weapon,BIG_MEK_TRAKTOR_BLASTA,Traktor blasta,TRAKTOR_BLASTA,,,,,,TRUE,2,,
BIG_MEK,MELEE_BIG_MEK,Melee Weapon,BIG_MEK_POWER_KLAW,Power klaw,POWER_KLAW_BIG_MEK,,,,,,FALSE,1,,
BIG_MEK,MELEE_BIG_MEK,Melee Weapon,BIG_MEK_DRILLA,Drilla,DRILLA,,,,,,TRUE,2,,
TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,Nob Rokkit Pistol,TANKBUSTAS_ROKKIT_PISTOL_X1,Rokkit Pistol x1,"ROKKIT_PISTOL, SMASH_HAMMER",,,,,,TRUE,1,,
TANKBUSTAS,NOB_ROKKIT_PISTOL_TANKBUSTAS,Nob Rokkit Pistol,TANKBUSTAS_ROKKIT_PISTOL_X2,Rokkit Pistol x2,ROKKIT_PISTOL_X2_TANKBUSTAS,,,,,,FALSE,2,,
