Unit_ID,Unit Name,Ability_IDs,Core_Ability_IDs,Weapon_IDs,"M""",T,SV,W,LD,OC,Keywords,Hyperlink,Points_Label_1,Points_Cost_1,Points_Label_2,Points_Cost_2,Points_Label_3,Points_Cost_3,Points_Label_4,Points_Cost_4
BANNERNOB,Bannernob,"WAAAGH_BANNER, SUPPORT_BANNERNOB",,"SHOOTA_BANNERNOB, KUSTOM_CHOPPA_BANNERNOB","6""",5,4+,4,7+,3,"INFANTRY, CHARACTER, BANNERNOB",https://wahapedia.ru/wh40k11ed/factions/orks/Bannernob,x1,35,,,,,,
BATTLEWAGON,Battlewagon,"MOBILE_FORTRESS, TRANSPORT_BATTLEWAGON, COMPOSITION_BATTLEWAGON","DAMAGED_1_6, DEADLY_DEMISE_D6, FIRING_DECK_11","BIG_SHOOTA_X4, CRUSHIN_BULK_BATTLEWAGON, GRABBIN_KLAW, WRECKIN_BALL","10""",11,3+ / 6++,16,7+,5,"VEHICLE, FRAME, TRANSPORT, WAGON",https://wahapedia.ru/wh40k11ed/factions/orks/Battlewagon,x1,150,,,,,,
BEAST_SNAGGA_BOYZ,Beast Snagga Boyz,"MOBBED, COMPOSITION_BEAST_SNAGGA_BOYZ",,"SLUGGA, THUMP_GUN, CHOPPA, HUNTER_CHOPPA, POWER_SNAPPA","6""",5,5+ / 6++,1,7+,2,"INFANTRY, BATTLELINE, BEAST SNAGGA, MOB",https://wahapedia.ru/wh40k11ed/factions/orks/Beast-Snagga-Boyz,x10,85,x20,170,,,,
BEASTBOSS,Beastboss,"KEEP_HUNTIN, DODGE_DIS, LEADER_BEASTBOSS",FEEL_NO_PAIN_6,"SHOOTA_BEASTBOSS, BEAST_SNAGGA_KLAW_BEASTCHOPPA","6""",6,4+ / 5++,6,6+,1,"INFANTRY, BEAST SNAGGA, CHARACTER, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Beastboss,x1,85,,,,,,
BEASTBOSS_ON_SQUIGOSAUR,Beastboss on Squigosaur,"THUNDERING_STAMPEDE, KEEP_HUNTIN, BOSS_OF_DA_HUNT, COMPOSITION_BEASTBOSS_SQUIGOSAUR",FEEL_NO_PAIN_5,"SLUGGA_SQUIGOSAUR, THUMP_GUN_SQUIGOSAUR, BEASTCHOPPA_STANDARD, BEASTCHOPPA_HUNTER, SQUIGOSAURS_JAWS","10""",9,3+ / 5++,10,6+,3,"MONSTER, BEAST SNAGGA, CHARACTER, WARBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Beastboss-On-Squigosaur,x1,140,,,,,,
BIG_MEK,Big Mek,"MORE_DAKKA, SHOKK_BOOSTA, COMPOSITION_BIG_MEK, LEADER_BIG_MEK",,"KUSTOM_MEGA_BLASTA_MEK, TRAKTOR_BLASTA, DRILLA, POWER_KLAW_BIG_MEK","6""",5,3+,6,7+,1,"INFANTRY, CHARACTER, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Big-Mek,x1,85,,,,,,
BIG_MEK_DAKKARIG,Big Mek Dakkarig,"EVEN_MORE_DAKKA,BLITZ_DEM_GITS",DEADLY_DEMISE_1,"BLITZKANNON, MULTI_BUSTA_LAUNCHA_DAKKA, STOMPY_FEET","8""",8,3+ / 5++,11,7+,3,"VEHICLE, WALKER, BIG MEK, DAKKARIG",https://wahapedia.ru/wh40k11ed/factions/orks/Big-Mek-Dakkarig,x1,135,,,,,,
BIG_MEK_WITH_SHOKK_ATTACK_GUN,Big Mek with Shokk Attack Gun,"MORE_DAKKA, SUPPORT_SHOKKA, LEADER_BIG_MEK_WITH_SHOKK_ATTACK_GUN",,"SHOKK_ATTACK_GUN, BIG_MEKS_TOOLZ","6""",5,4+,5,7+,1,"INFANTRY, BIG MEK, CHARACTER, EXPLOSIVES",https://wahapedia.ru/wh40k11ed/factions/orks/Big-Mek-With-Shokk-Attack-Gun,x1,95,x1 high,105,,,,
BIGBOSS,Bigboss,"SOMETHIN_TO_PROVE, SUPPORT_BIGBOSS",,"SLUGGA_BIGBOSS, BIG_CHOPPA_BIGBOSS","6""",5,4+,5,7+,1,"INFANTRY, CHARACTER, BIGBOSS",https://wahapedia.ru/wh40k11ed/factions/orks/Bigboss,x1,50,,,,,,
BOSS_SNIKROT,Boss Snikrot,"KUNNIN_INFILTRATOR, DEFF_FROM_THE_SHADOWS, LEADER_BOSS_SNIKROT","INFILTRATORS, LONE_OPERATIVE, STEALTH","SLUGGA_SNIKROT, MORKS_TEEF","6""",5,5+ / 5++,6,6+,1,"INFANTRY, CHARACTER",https://wahapedia.ru/wh40k11ed/factions/orks/Boss-Snikrot,x1,80,,,,,,
