Weapon_ID,Weapon_Ability_ID,Ability_Type,Target,Value,Condition,Separator_Before,Sort_Order
ATTACK_SQUIG,ATTACK_SQUIG:ability_1,EXTRA ATTACKS,,,,,1
BEAST_SNAGGA_KLAW,BEAST_SNAGGA_KLAW:ability_1,ANTI,MONSTER,4+,,,1
BEAST_SNAGGA_KLAW,BEAST_SNAGGA_KLAW:ability_2,ANTI,VEHICLE,4+,,", ",2
BEASTCHOPPA,BEASTCHOPPA:ability_1,ANTI,MONSTER,4+,,,1
BEASTCHOPPA,BEASTCHOPPA:ability_2,ANTI,VEHICLE,4+,,", ",2
BIG_CHOMPAS_JAWS,BIG_CHOMPAS_JAWS:ability_1,ANTI,MONSTER/VEHICLE,3+,,,1
BIG_CHOMPAS_JAWS,BIG_CHOMPAS_JAWS:ability_2,EXTRA ATTACKS,,,,", ",2
BIG_SHOOTA_TRUKK,BIG_SHOOTA_TRUKK:ability_1,RAPID FIRE,,2,,,1
BIG_SHOOTA_X3_STOMPA,BIG_SHOOTA_X3_STOMPA:ability_1,RAPID FIRE,,6,,,1
BIG_SHOOTA_X4,BIG_SHOOTA_X4:ability_1,RAPID FIRE,,8,,,1
BIG_SHOOTA_X4,BIG_SHOOTA_X4:ability_2,LETHAL HITS,,,non-MONSTER/VEHICLE,", ",2
BIG_SHOOTA_X5,BIG_SHOOTA_X5:ability_1,RAPID FIRE,,10,,,1
BIG_SHOOTA_X5,BIG_SHOOTA_X5:ability_2,LETHAL HITS,,,non-MONSTER/VEHICLE,", ",2
BLITZKANNON,BLITZKANNON:ability_1,IGNORES COVER,,,,,1
BLITZKANNON,BLITZKANNON:ability_2,LETHAL HITS,,,non-MONSTER/VEHICLE,", ",2
BOOMSTIKKS,BOOMSTIKKS:ability_1,ASSAULT,,,,,1
BURNA,BURNA:ability_1,BLAST,,1,,,1
BURNA,BURNA:ability_2,TORRENT,,,,", ",2
BUTCHA_BOYZ,BUTCHA_BOYZ:ability_1,ANTI,MONSTER,4+,,,1
BUTCHA_BOYZ,BUTCHA_BOYZ:ability_2,ANTI,VEHICLE,4+,,", ",2
BUTCHA_BOYZ,BUTCHA_BOYZ:ability_3,EXTRA ATTACKS,,,,", ",3
DEFFGUN,DEFFGUN:ability_1,HEAVY,,,,,1
DEFFGUN,DEFFGUN:ability_2,RAPID FIRE,,1,,", ",2
DEFFKANNON,DEFFKANNON:ability_1,BLAST,,,,,1
EADBANGER,EADBANGER:ability_1,PRECISION,,,,,1
EADBANGER,EADBANGER:ability_2,PSYCHIC,,,,", ",2
EAVY_LOBBA,EAVY_LOBBA:ability_1,BLAST,,2,,,1
EAVY_LOBBA,EAVY_LOBBA:ability_2,INDIRECT FIRE,,,,", ",2
FIXITS_WRENCH,FIXITS_WRENCH:ability_1,EXTRA ATTACKS,,,,,1
GRABBA_DRAGGA_MELEE,GRABBA_DRAGGA_MELEE:ability_1,CLEAVE,,2,,,1
GRABBA_DRAGGA_MELEE,GRABBA_DRAGGA_MELEE:ability_2,LANCE,,,,", ",2
GRABBA_DRAGGA_RANGE,GRABBA_DRAGGA_RANGE:ability_1,ASSAULT,,,,,1
GRABBA_DRAGGA_RANGE,GRABBA_DRAGGA_RANGE:ability_2,PRECISION,,,,", ",2
