Weapon_ID,Weapon Name,"R""",A,WS,St,AP,D
ATTACK_SQUIG,Attack Squig,-,2,4,4,0,1
BEAST_SNAGGA_KLAW,Beast Snagga klaw,-,4,3,10,-2,2
BEASTCHOPPA,Beastchoppa,-,6,2,6,-1,2
BIG_CHOMPAS_JAWS,Big Chompa's Jaws,-,3,3+,7,-2,4
BIG_CHOPPA_NOBZ,Big Choppa (Nobz),-,3,3,7,-1,2
-,-,-,-,-,-,-,-
BIG_CHOPPA_WARBIKERS,Big Choppa,-,3,3,7,-1,2
BIG_SHOOTA_TRUKK,Big Shoota (Trukk),"36""",3,5,5,0,1
BIG_SHOOTA_X3_STOMPA,Big shoota x3 (Stompa),"36""",9,5,5,0,1
BIG_SHOOTA_X4,Big shoota x4,"36""",12,5,5,0,1
BIG_SHOOTA_X5,Big shoota x5,"36""",15,5+,5,0,1
BLASTA_GRETCHIN,Blasta [CLOSE-QUARTERS],"12""",1,4,3,0,1
BLITZKANNON,Blitzkannon,"24""",8,4+,7,-2,2
BOOMSTIKKS,Boomstikks,"12""",6,5,5,0,1
BREACHA_RAM,Breacha ram,-,2,4,8,-2,2
BURNA,Burna,"12""",3,-,4,0,1
BUTCHA_BOYZ,Butcha boyz,-,4,3,5,-1,1
CHOPPA_BANNERNOB,Choppa,-,5,3+,4,-1,1
CHOPPA_BOYZ,Choppa,-,3,3,4,-1,1
CHOPPA_GITZ,Choppa,-,4,3,5,-1,1
CHOPPA_SNAGGA,Choppa,-,3,3,5,-1,1
CHOPPAS_WATTRAKK,Choppas,-,5,3,4,-1,1
CLOSE_COMBAT_WEAPON_BIG_MEK,Close combat weapon (Big Mek),-,4,3,5,0,1
CLOSE_COMBAT_WEAPON_BOYZ,Close combat weapon (Boyz),-,2,3,4,0,1
CLOSE_COMBAT_WEAPON_GRETCHIN,Close combat weapon,-,1,5,2,0,1
CLOSE_COMBAT_WEAPON_SNAGGA,Close combat weapon (Snagga),-,2,3,5,0,1
CLOSE_COMBAT_WEAPON_TANKBUSTAS,Close combat weapon (Tankbustas),-,3,3,5,0,1
CUTTIN_FLAMES,Cuttin’ flames,-,2,4,4,-2,1
DA_GRABZAPPA,Da Grabzappa,-,5,2+,7,-2,2
DEFF_ROLLA,Deff rolla,-,6,3,9,-1,2
DEFFGUN,Deffgun,"48""",2,6,8,-1,2
DEFFKANNON,Deffkannon,"72""",3D6,5,14,-3,D6
DRILLA,Drilla,-,3,3+,12,-3,3
EADBANGER,’Eadbanger,"24""",1,4,6,-3,1
