Matchup_ID,Your_Disposition_ID,Opponent_Disposition_ID,Primary_Mission_ID
TAKE_AND_HOLD__VS__TAKE_AND_HOLD,TAKE_AND_HOLD,TAKE_AND_HOLD,BATTLEFIELD_DOMINANCE
TAKE_AND_HOLD__VS__PURGE_THE_FOE,TAKE_AND_HOLD,PURGE_THE_FOE,IMMOVABLE_OBJECT
TAKE_AND_HOLD__VS__DISRUPTION,TAKE_AND_HOLD,DISRUPTION,DETERMINED_ACQUISITION
TAKE_AND_HOLD__VS__RECON,TAKE_AND_HOLD,RECON,PURGE_AND_SECURE
TAKE_AND_HOLD__VS__PRIORITY_ASSETS,TAKE_AND_HOLD,PRIORITY_ASSETS,INESCAPABLE_DOMINION
PURGE_THE_FOE__VS__TAKE_AND_HOLD,PURGE_THE_FOE,TAKE_AND_HOLD,UNSTOPPABLE_FORCE
PURGE_THE_FOE__VS__PURGE_THE_FOE,PURGE_THE_FOE,PURGE_THE_FOE,MEATGRINDER
PURGE_THE_FOE__VS__DISRUPTION,PURGE_THE_FOE,DISRUPTION,PUNISHMENT
PURGE_THE_FOE__VS__RECON,PURGE_THE_FOE,RECON,CONSECRATE
PURGE_THE_FOE__VS__PRIORITY_ASSETS,PURGE_THE_FOE,PRIORITY_ASSETS,DESTROYER_S_WRATH
DISRUPTION__VS__TAKE_AND_HOLD,DISRUPTION,TAKE_AND_HOLD,DEATH_TRAP
DISRUPTION__VS__PURGE_THE_FOE,DISRUPTION,PURGE_THE_FOE,DELAYING_ACTION
DISRUPTION__VS__DISRUPTION,DISRUPTION,DISRUPTION,OUTMANOEUVRE
DISRUPTION__VS__RECON,DISRUPTION,RECON,SMOKE_AND_MIRRORS
DISRUPTION__VS__PRIORITY_ASSETS,DISRUPTION,PRIORITY_ASSETS,LOCATE_AND_DENY
RECON__VS__TAKE_AND_HOLD,RECON,TAKE_AND_HOLD,RECONNAISSANCE_SWEEP
RECON__VS__PURGE_THE_FOE,RECON,PURGE_THE_FOE,TRIANGULATION
RECON__VS__DISRUPTION,RECON,DISRUPTION,SURVEIL_THE_FOE
RECON__VS__RECON,RECON,RECON,GATHER_INTEL
RECON__VS__PRIORITY_ASSETS,RECON,PRIORITY_ASSETS,SEARCH_AND_SCOUR
PRIORITY_ASSETS__VS__TAKE_AND_HOLD,PRIORITY_ASSETS,TAKE_AND_HOLD,SECURE_ASSET
PRIORITY_ASSETS__VS__PURGE_THE_FOE,PRIORITY_ASSETS,PURGE_THE_FOE,VITAL_LINK
PRIORITY_ASSETS__VS__DISRUPTION,PRIORITY_ASSETS,DISRUPTION,EXTRACT_RELIC
PRIORITY_ASSETS__VS__RECON,PRIORITY_ASSETS,RECON,VANGUARD_OPERATION
PRIORITY_ASSETS__VS__PRIORITY_ASSETS,PRIORITY_ASSETS,PRIORITY_ASSETS,SABOTAGE
