Primary_Mission_ID,Disposition_ID,Mission_Name,Sort_Order
BATTLEFIELD_DOMINANCE,TAKE_AND_HOLD,Battlefield Dominance,1
DETERMINED_ACQUISITION,TAKE_AND_HOLD,Determined Acquisition,2
IMMOVABLE_OBJECT,TAKE_AND_HOLD,Immovable Object,3
INESCAPABLE_DOMINION,TAKE_AND_HOLD,Inescapable Dominion,4
PURGE_AND_SECURE,TAKE_AND_HOLD,Purge and Secure,5
CONSECRATE,PURGE_THE_FOE,Consecrate,1
DESTROYER_S_WRATH,PURGE_THE_FOE,Destroyer's Wrath,2
MEATGRINDER,PURGE_THE_FOE,Meatgrinder,3
PUNISHMENT,PURGE_THE_FOE,Punishment,4
UNSTOPPABLE_FORCE,PURGE_THE_FOE,Unstoppable Force,5
GATHER_INTEL,RECON,Gather Intel,1
RECONNAISSANCE_SWEEP,RECON,Reconnaissance Sweep,2
SEARCH_AND_SCOUR,RECON,Search and Scour,3
SURVEIL_THE_FOE,RECON,Surveil the Foe,4
TRIANGULATION,RECON,Triangulation,5
EXTRACT_RELIC,PRIORITY_ASSETS,Extract Relic,1
SABOTAGE,PRIORITY_ASSETS,Sabotage,2
SECURE_ASSET,PRIORITY_ASSETS,Secure Asset,3
VANGUARD_OPERATION,PRIORITY_ASSETS,Vanguard Operation,4
VITAL_LINK,PRIORITY_ASSETS,Vital Link,5
DEATH_TRAP,DISRUPTION,Death Trap,1
DELAYING_ACTION,DISRUPTION,Delaying Action,2
LOCATE_AND_DENY,DISRUPTION,Locate and Deny,3
OUTMANOEUVRE,DISRUPTION,Outmanoeuvre,4
SMOKE_AND_MIRRORS,DISRUPTION,Smoke and Mirrors,5
