Tag_ID,Display_Tag,Title,Category,Affects,Description,Editable,Effect_Type,Target,Stat,Operation,Value,Sort_Order
PLUS_1_W,+1 W,+1 Wound,Unit Stats,Unit,Adds 1 Wound to the Unit.,TRUE,STAT,UNIT,W,ADD,1,1
PLUS_1_T,+1 T,+1 Toughness,Unit Stats,Unit,Adds 1 Toughness to the Unit.,TRUE,STAT,UNIT,T,ADD,1,2
PLUS_1_OC,+1 OC,+1 Objective Control,Unit Stats,Unit,Adds 1 Objective Control to the Unit.,TRUE,STAT,UNIT,OC,ADD,1,3
PLUS_1_M,+1 M”,+1 Movement,Unit Stats,Unit,Adds 1” Movement to the Unit.,TRUE,STAT,UNIT,M,ADD,1,4
PLUS_2_M,+2 M”,+2 Movement,Unit Stats,Unit,Adds 2” Movement to the Unit.,TRUE,STAT,UNIT,M,ADD,2,5
PLUS_1_A_MELEE,+1 A,+1 Attack,Melee - Weapon Stats,Melee Weapons,Adds 1 Attack to each Melee Weapon on the Unit.,TRUE,WEAPON_STAT,MELEE,A,ADD,1,6
PLUS_3_A_MELEE,+3 A,+3 Attack,Melee - Weapon Stats,Melee Weapons,Adds 3 Attacks to each Melee Weapon on the Unit.,TRUE,WEAPON_STAT,MELEE,A,ADD,3,7
PLUS_1_S_MELEE,+1 S,+1 Strength,Melee - Weapon Stats,Melee Weapons,Adds 1 Strength to each Melee Weapon on the Unit.,TRUE,WEAPON_STAT,MELEE,S,ADD,1,8
PLUS_1_AP_MELEE,+1 AP,+1 AP,Melee - Weapon Stats,Melee Weapons,Improves the AP of each Melee Weapon on the Unit by 1. Example: AP -1 becomes AP -2.,TRUE,WEAPON_STAT,MELEE,AP,IMPROVE,1,9
PLUS_1_D_MELEE,+1 D,+1 Damage,Melee - Weapon Stats,Melee Weapons,Adds 1 Damage to each Melee Weapon on the Unit.,TRUE,WEAPON_STAT,MELEE,D,ADD,1,10
PLUS_5_PTS,+5 Pts,+5 Pts,Points,Unit,Changes the cost for each model in the unit.,FALSE,POINTS_PER_MODEL,UNIT,PTS,ADD,5,11
PLUS_10_PTS,+10 Pts,+10 Pts,Points,Unit,Changes the cost for each model in the unit.,FALSE,POINTS_PER_MODEL,UNIT,PTS,ADD,10,12
PLUS_20_PTS,+20 Pts,+20 Pts,Points,Unit,Changes the cost for each model in the unit.,FALSE,POINTS_PER_MODEL,UNIT,PTS,ADD,20,13
PLUS_4_A_MELEE,+4 A,+4 Attacks,Melee - Weapon Stats,Melee Weapons,Adds 4 Attacks to each Melee Weapon on the Unit.,TRUE,WEAPON_STAT,MELEE,A,ADD,4,14
PLUS_2_S_MELEE,+2 S,+2 Strength,Melee - Weapon Stats,Melee Weapons,Adds 2 Strength to each Melee Weapon on the Unit.,TRUE,WEAPON_STAT,MELEE,S,ADD,2,15
PLUS_1_A_RANGE,+1 A,+1 Attack,Range - Weapon Stats,Ranged Weapons,Adds 1 Attack to each Ranged Weapon on the Unit.,TRUE,WEAPON_STAT,RANGE,A,ADD,1,16
PLUS_6_A_RANGE,+6 A,+6 Attacks,Range - Weapon Stats,Ranged Weapons,Adds 6 Attacks to each Ranged Weapon on the Unit.,TRUE,WEAPON_STAT,RANGE,A,ADD,6,17
PLUS_1_S_RANGE,+1 S,+1 Strength,Range - Weapon Stats,Ranged Weapons,Adds 1 Strength to each Ranged Weapon on the Unit.,TRUE,WEAPON_STAT,RANGE,S,ADD,1,18
PLUS_1_AP_RANGE,+1 AP,+1 AP,Range - Weapon Stats,Ranged Weapons,Improves the AP of each Ranged Weapon on the Unit by 1. Example: AP -1 becomes AP -2.,TRUE,WEAPON_STAT,RANGE,AP,IMPROVE,1,19
PLUS_1_D_RANGE,+1 D,+1 Damage,Range - Weapon Stats,Ranged Weapons,Adds 1 Damage to each Ranged Weapon on the Unit.,TRUE,WEAPON_STAT,RANGE,D,ADD,1,20
PLUS_6_M,+6 M”,+6 Movement,Unit Stats,Unit,Adds 6” Movement to the Unit.,TRUE,STAT,UNIT,M,ADD,6,21
PLUS_4_M,+4 M”,+4 Movement,Unit Stats,Unit,Adds 4” Movement to the Unit.,TRUE,STAT,UNIT,M,ADD,4,22
PLUS_2_A_MELEE,+2 A,+2 Attacks,Melee - Weapon Stats,Melee Weapons,Adds 2 Attacks to each Melee Weapon on the Unit.,TRUE,WEAPON_STAT,MELEE,A,ADD,2,22
INFO_INCOMING_MINUS_1_WOUND,INCOMING -1 TO WOUND,Incoming -1 To Wound,Informational - Incoming,Display only,Incoming attacks can suffer -1 to wound as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,900
INFO_INCOMING_RANGE_MINUS_1_WOUND,INCOMING RANGE -1 TO WOUND,Incoming Ranged -1 To Wound,Informational - Incoming,Display only,Incoming ranged attacks can suffer -1 to wound as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,901
INFO_INCOMING_RANGE_MINUS_1_D,INCOMING RANGE -1 D,Incoming Ranged -1 Damage,Informational - Incoming,Display only,Incoming ranged attacks have a damage reduction as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,902
INFO_INCOMING_MINUS_1_D,INCOMING -1 D,Incoming -1 Damage,Informational - Incoming,Display only,Incoming attacks have a damage reduction as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,903
INFO_INCOMING_MINUS_1_AP,INCOMING -1 AP,Incoming AP Worsened,Informational - Incoming,Display only,Incoming attacks have their AP worsened as described by the source rule. Informational only; no runtime effect.,TRUE,,,,,,904
