Ability_ID,Ability Name,Short Description,Long Description
ANTI (New),ANTI (New),Critical Wounds on X+ against specified keyword,"ANTI: This ability always takes the form [ANTI-X Y+]. Each time an attack is made with an [ANTI] weapon, if the target unit has the keyword denoted by X, an unmodified Wound roll of Y+ is a Critical Wound."
ANTI-FLY 2+,ANTI-FLY 2+,Critical Wounds on 2+ vs FLY,"ANTI-FLY 2+: Each time an attack is made with this weapon against a FLY unit, an unmodified Wound roll of 2+ scores a Critical Wound."
ANTI-FLY 4+,ANTI-FLY 4+,Critical Wounds on 4+ vs FLY,"ANTI-FLY 4+: Each time an attack is made with this weapon against a FLY unit, an unmodified Wound roll of 4+ scores a Critical Wound."
ANTI-INFANTRY 2+,ANTI-INFANTRY 2+,Critical Wounds on 2+ vs INFANTRY,"ANTI-INFANTRY 2+: Each time an attack is made with this weapon against a INFANTRY unit, an unmodified Wound roll of 2+ scores a Critical Wound."
ANTI-INFANTRY 4+,ANTI-INFANTRY 4+,Critical Wounds on 4+ vs INFANTRY,"ANTI-INFANTRY 4+: Each time an attack is made with this weapon against a INFANTRY unit, an unmodified Wound roll of 4+ scores a Critical Wound."
ANTI-MONSTER 2+,ANTI-MONSTER 2+,Critical Wounds on 2+ vs MONSTER,"ANTI-MONSTER 2+: Each time an attack is made with this weapon against a MONSTER unit, an unmodified Wound roll of 2+ scores a Critical Wound."
ANTI-MONSTER 4+,ANTI-MONSTER 4+,Critical Wounds on 4+ vs MONSTER,"ANTI-MONSTER 4+: Each time an attack is made with this weapon against a MONSTER unit, an unmodified Wound roll of 4+ scores a Critical Wound."
ANTI-MONSTER 5+,ANTI-MONSTER 5+,Critical Wounds on 5+ vs MONSTER,"ANTI-MONSTER 5+: Each time an attack is made with this weapon against a MONSTER unit, an unmodified Wound roll of 5+ scores a Critical Wound."
ANTI-PSYKER 4+,ANTI-PSYKER 4+,Critical Wounds on 4+ vs PSYKER,"ANTI-PSYKER 4+: Each time an attack is made with this weapon against a PSYKER unit, an unmodified Wound roll of 4+ scores a Critical Wound."
ANTI-VEHICLE 2+,ANTI-VEHICLE 2+,Critical Wounds on 2+ vs VEHICLE,"ANTI-VEHICLE 2+: Each time an attack is made with this weapon against a VEHICLE unit, an unmodified Wound roll of 2+ scores a Critical Wound."
ANTI-VEHICLE 3+,ANTI-VEHICLE 3+,Critical Wounds on 3+ vs VEHICLE,"ANTI-VEHICLE 3+: Each time an attack is made with this weapon against a VEHICLE unit, an unmodified Wound roll of 3+ scores a Critical Wound."
ANTI-VEHICLE 4+,ANTI-VEHICLE 4+,Critical Wounds on 4+ vs VEHICLE,"ANTI-VEHICLE 4+: Each time an attack is made with this weapon against a VEHICLE unit, an unmodified Wound roll of 4+ scores a Critical Wound."
ANTI-VEHICLE 5+,ANTI-VEHICLE 5+,Critical Wounds on 5+ vs VEHICLE,"ANTI-VEHICLE 5+: Each time an attack is made with this weapon against a VEHICLE unit, an unmodified Wound roll of 5+ scores a Critical Wound."
